number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"You plot a course directly East from N41°16'33"" W94°3'52"" to N41°16'33"" W94°46'3"". What is the distance between these two points?",23.1 NM,27.2 NM,31.7 NM,42.2 NM,C,31.7 NM,,multiple_choice,,,,Courses and headings
2,"What is your angle of descent if you are descending at 1800'/minute at a TAS of 285 KTS? The wind is 240° at 76 KTS, and your true course is 043°.",1.9°,2.3°,2.9°,3.6°,C,2.9°,,multiple_choice,,,,Rate of descent
3,"Your Cessna has 6"" radius tires. If you touch down at 47 knots ground speed, what RPM do the tires spin up to?",1320 RPM,1510 RPM,1680 RPM,3030 RPM,B,1510 RPM,,multiple_choice,,,,Multiplication / division
4,"You depart with full fuel (46 gallons), and fly a 448 NM flight at 127 knots ground speed. If your aircraft burns 9.6 GPH and the fuel arm is 45.9"", what is your landing CG? You took off at 2,180 LBS with a CG of 32.4"".","28.1""","31.0""","31.4""","33.5""",B,"31.0""",,multiple_choice,,,,Weight change
5,"Your flight was 129 NM on a true course of 178°. You use your GPS to track directly to the destination and fly at 137 KTAS. If your MH is 169° in cruise and the flight takes 62 minutes, what are the winds aloft? [[NEXT_LINE]] Variation=5E.",030° at 12 KTS,100° at 35 KTS,140° at 15 KTS,220° at 19 KTS,C,140° at 15 KTS,,multiple_choice,,,,Wind correction
6,"Referencing the previous question, if you applied brakes at 98 knots with 4,300' of runway remaining, and released the brakes 7 seconds later at 20 knots with 1,100' of runway remaining, what was your rate of deceleration?",6.6 ft/sec²,16.3 ft/sec²,18.7 ft/sec²,24.4 ft/sec²,C,18.7 ft/sec²,,multiple_choice,,"Referenced question 5: Your flight was 129 NM on a true course of 178°. You use your GPS to track directly to the destination and fly at 137 KTAS. If your MH is 169° in cruise and the flight takes 62 minutes, what are the winds aloft? [[NEXT_LINE]] Variation=5E.",,Acceleration
7,"After performing a rejected takeoff at 98 knots, you want to know how hot your brakes are. Looking at the manufacturer testing data, you see that maximum braking at 120 knots will increase brake temperatures by 35°C per 10 knots of speed reduction. Additionally, they note that for every 10 knots of speed reduction, the rate of temperature increase is reduced by 6%. If you applied maximum braking until reaching 20 knots, what were your brake temperatures?",181.5°C,209.4°C,231.6°C,246.4°C,A,181.5°C,,multiple_choice,,,,Miscellaneous
8,"You just got your brand new all electric airplane and you want to try it out on a short cross country flight. Your flight is 63 NM on a true course of 216°, and winds aloft are 170° at 32 KTS. Your new airplane cruises at 93 KTAS while consuming 72 Amp-hours (Ah) of power per hour. If the aircraft is equipped with a 250-Ah battery, what is the minimum charge level for departure if you want to land with your legal VFR reserve of 30 minutes?",27%,34%,41%,46%,C,41%,,multiple_choice,,,,Fuel burn / fuel required
9,"After flying 113 NM of your 186 NM flight, you check your position and see that you have drifted 3.5° left of course. If you continue on your current track, how far from your destination will you be when you arrive?",3.2 NM,6.6 NM,8.9 NM,10.9 NM,D,10.9 NM,,multiple_choice,,,,Off-Course
10,"In the previous scenario, what heading correction should you make to fly directly to the destination?",3° right,5° right,9° right,12° right,C,9° right,,multiple_choice,,"Referenced question 9: After flying 113 NM of your 186 NM flight, you check your position and see that you have drifted 3.5° left of course. If you continue on your current track, how far from your destination will you be when you arrive?",,Off-Course
11,"You're the captain of a Boeing 777 preparing to fly from Hong Kong to Memphis, TN. Your planned fuel burn for this flight is 173,000 pounds of Jet-A. While the aircraft is being loaded, aircraft maintenance notifies you that they've had to remove 4 feet of a rubber seal from your flaps. Per the aircraft manual you're required to apply a 0.09% over burn for each foot of missing seal. At the same time, you get notification from the ramp crew that you will be carrying dry ice in both your forward and aft belly cargo compartments. Per the aircraft manual, carriage of dry ice requires a 0.4% over burn for each belly compartment in which the dry ice is located. How much additional fuel do you need to put on the aircraft, knowing that in Hong Kong, the fuel measurement is in liters? (Assume fuel weight of 6.7 pounds/gallon.)",1130 liters,166 liters,1660 liters,740 liters,A,1130 liters,,multiple_choice,,,,Fuel burn / fuel required
12,"Cruising from KEYW to MYNN (092° TC, 483 NM away) your ETP to your first overwater alternate is 50 NM from KEYW. From that point you know the course to your alternate of 07FA is 046°. Cruising at 185 KTAS with winds at 284° at 32 KTS, how far from 07FA is your equal time point?",50 NM,115 NM,65 NM,201 NM,C,65 NM,,multiple_choice,,,,Equal time to point
13,"From the previous question, what is your ground speed to 07FA?",177 MPH,230 MPH,248 MPH,200 MPH,B,230 MPH,,multiple_choice,,"Referenced question 12: Cruising from KEYW to MYNN (092° TC, 483 NM away) your ETP to your first overwater alternate is 50 NM from KEYW. From that point you know the course to your alternate of 07FA is 046°. Cruising at 185 KTAS with winds at 284° at 32 KTS, how far from 07FA is your equal time point?",,Wind correction
14,"You and your friend decide to go to Las Vegas for the weekend. You depart from Mesquite (70 NM away) on a course of 219° and 105 KTAS. If your friend wants to arrive at the same time as you (1548Z), and he is departing from St. George on a course of 223° and 98 NM, what time would he have to depart if he wants to cruise at 105 KTAS? (Wind is 265° at 23 KTS)",14:40:15,15:00:17,14:52:01,15:07:27,A,14:40:15,,multiple_choice,,,,Time problems with hours/min/sec
15,"From the previous question, If your friend departs at the same time as you do, what TAS would he have to fly to land at the same time as you?",123 KTS,141 KTS,292 KTS,309 KTS,B,141 KTS,,multiple_choice,,"Referenced question 14: You and your friend decide to go to Las Vegas for the weekend. You depart from Mesquite (70 NM away) on a course of 219° and 105 KTAS. If your friend wants to arrive at the same time as you (1548Z), and he is departing from St. George on a course of 223° and 98 NM, what time would he have to depart if he wants to cruise at 105 KTAS? (Wind is 265° at 23 KTS)",,Miscellaneous
16,"ATC tells you to descend at 2,300 feet per minute for crossing traffic. What would that be in meters per second?",26.1,261,11.7,114,C,11.7,,multiple_choice,,,,Conversions
17,"You are departing out of Eagle, CO (6547') where the altimeter setting is 30.24"" Hg and the temperature is 94°F. What is the density altitude?","15,646'","10,519'","10,134'",9749',D,9749',,multiple_choice,,,,Density altitude
18,"From the previous question, what is the altimeter setting in hectopascals?","1,024.10",768.1,14.85,101.65,A,"1,024.10",,multiple_choice,,"Referenced question 17: You are departing out of Eagle, CO (6547') where the altimeter setting is 30.24"" Hg and the temperature is 94°F. What is the density altitude?",,Conversions
19,"Climbing out of Eagle, CO you are maintaining 82 KIAS and need to achieve 580'/NM. In calm winds, what climb rate do you need to maintain? (Outside air temperature is 94°F and altimeter setting is 30.24"" Hg).",919 FPM,791 FPM,679 FPM,489 FPM,A,919 FPM,,multiple_choice,,,,Climb gradient
20,"After you landed from your flight, you figured out you burned 5,319 LBS of Jet A, how many kilograms is that?",782.205,780.431,"2,417.72","2,420.21",C,"2,417.72",,multiple_choice,,,,Conversions
21,"In cruise the Boeing 737 burns 2,916 LBS/HR per engine, the Challenger 300 burns 880 LBS/HR per engine. If both aircraft cruise at 0.80 Mach (-50°C). How much more efficient is the Challenger than the 737?",8.775 NM/LBS,4.373 NM/LBS,0.37 NM/LBS,0.185 NM/LBS,D,0.185 NM/LBS,,multiple_choice,,,,Fuel burn / fuel required
22,You are flying an approach over some buildings that requires a steeper than normal glide path of 3.5°. The tower reports a 15-kt headwind and you note your ground speed of 145 KTS. What is the required rate of descent to maintain the glide path?,371.0 FPM,768.5 FPM,803.8 FPM,896.6 FPM,D,896.6 FPM,,multiple_choice,,,,Rate of descent
23,"As the Concorde approaches land it must slow from its supersonic speed. If it is at FL400 how much lower will the airspeed indicator read after having slowed from 2.0 Mach to 0.85 Mach, assuming IAS=CAS and the temperature is ISA?",647 KTS,478 KTS,319 KTS,248 KTS,C,319 KTS,,multiple_choice,,,,Airspeed / Mach
24,"Under the same conditions as the previous question, how many miles would it travel per second at 2.0 Mach cruise with calm winds?",1.87 NM per second,0.089 NM per second,0.133 NM per second,0.313 NM per second,D,0.313 NM per second,,multiple_choice,,Referenced question 23: As the Concorde approaches land it must slow from its supersonic speed. If it is at FL400 how much lower will the airspeed indicator read after having slowed from 2.0 Mach to 0.85 Mach Assuming IAS=CAS and the temperature is ISA?,,Airspeed / Mach
25,"At the airport you are flying over (elev. 1,265') the AWOS is reporting a temperature of 10°C and altimeter setting of 29.67"" Hg. At your cruise altitude of 7,500' MSL the temperature is -10°C. What is your true altitude?","7,265'","7,760'","6,645'","6,000'",A,"7,265'",,multiple_choice,,,,Miscellaneous
26,"Your fully loaded aircraft weighs 2,160 LBS with a CG of 48"". If you then load 35 US gallons of fuel at an average station of 36"" what will the resultant aircraft CG be?","49.06""","47.89""","48.11""","46.94""",D,"46.94""",,multiple_choice,,,,Weight change
