number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,28.4 liters is equal to how many US gallons?,7.5,6.2,10.7,23.6,A,7.5,,multiple_choice,,,,Conversions
2,75 millimeters is equal to how many feet?,2.4,0.246,0.295,1.59,B,0.246,,multiple_choice,,,,Conversions
3,"Find winds aloft. True course = 312°, true heading = 320°, true airspeed = 179 kilometers per hour, ground speed = 103 miles per hour.",118° at 6 MPH,020° at 14 KTS,348° at 15 KMPH,352° at 11 KTS,B,020° at 14 KTS,,multiple_choice,,,,Wind correction
4,"Find the true altitude when flying at 4,317' on a sunny 94°F day. The altimeter setting is 29.55"" Hg.","4,753'","4,687'","4,019'","4,344'",A,"4,753'",,multiple_choice,,,,Miscellaneous
5,"Barb is practicing ground reference maneuvers today. She sees rows of trees spaced a statute mile apart perpendicular to a highway. She picks the intersection of a row of trees and the highway and sets up for a turn around that point. She maintains a constant radius in the turn and starts when she is over the highway and halfway between two rows of trees. If her average speed in the turn is 85 MPH, how long does it take to complete one full circle?",221 SECS,4.4 MINS,133 SECS,2.6 MINS,C,133 SECS,,multiple_choice,,,,Miscellaneous
6,0.05 Statute mile per second = ___ meters per second.,4.4,80.5,264,14.4,B,80.5,,multiple_choice,,,,Conversions
7,At what angle to an aircraft's course is the wind blowing if winds are 210° at 18 KTS and TAS is 103 KTS? The crosswind component of the wind is 11 KTS.,6°,15°,22°,36°,D,36°,,multiple_choice,,,,Crosswind component
8,What is the effective TAS of an aircraft flying a 176° course with winds from 088° at 35 KTS with a ground speed of 98 KTS?,99.5 KTS,120.8 MPH,111.3 KTS,90.4 MPH,A,99.5 KTS,,multiple_choice,,,,Wind correction
9,How long will it take an aircraft to fly 194 NM at an average speed of 108 MPH?,1:23:09,1:33:20,1:40:17,2:03:58,D,2:03:58,,multiple_choice,,,,Time problems with hours/min/sec
10,How far has an aircraft traveled after burning 15.3 gallons of fuel from their 32-gallon capacity at an average burn of 10.7 GPH and average speed of 150 MPH?,247 SM,215 NM,397 KM,345 KM,D,345 KM,,multiple_choice,,,,Fuel burn / fuel required
11,"With 28 gallons of usable fuel, beyond what point along the flight will it be faster to continue to KTYS rather than return to KMRN? For this question use cruise ground speed as the average for the whole flight.",53.9 NM from KMRN,64.1 NM from KMRN,42.8 NM from KTYS,72.1 NM from KTYS,B,64.1 NM from KMRN,,multiple_choice,,"Use the following information for questions 11-15: Joey plans a flight from KMRN (1270') to KTYS (979') at 8,500' MSL on a true course of 277°. The total distance is 118 NM and he will cruise at 145 MPH TAS and 8.7 GPH with winds aloft 240° at 14 KTS. His average climb performance will be 650 FPM at 92 KTAS and 9.8 GPH with average winds of 215° at 15 KTS. His average descent performance will be 900 FPM at 110 KTAS and 5.2 GPH with average winds of 320° at 8 KTS.",,Equal time to point
12,At what point would he begin his descent into KTYS?,15.8 NM from KMRN,16.0 NM from KTYS,11.3 NM from KTYS,14.5 NM from KTYS,D,14.5 NM from KTYS,,multiple_choice,,"Use the following information for questions 11-15: Joey plans a flight from KMRN (1270') to KTYS (979') at 8,500' MSL on a true course of 277°. The total distance is 118 NM and he will cruise at 145 MPH TAS and 8.7 GPH with winds aloft 240° at 14 KTS. His average climb performance will be 650 FPM at 92 KTAS and 9.8 GPH with average winds of 215° at 15 KTS. His average descent performance will be 900 FPM at 110 KTAS and 5.2 GPH with average winds of 320° at 8 KTS.",,Rate of descent
13,What heading will he fly in cruise?,277°,280°,273°,283°,C,273°,,multiple_choice,,"Use the following information for questions 11-15: Joey plans a flight from KMRN (1270') to KTYS (979') at 8,500' MSL on a true course of 277°. The total distance is 118 NM and he will cruise at 145 MPH TAS and 8.7 GPH with winds aloft 240° at 14 KTS. His average climb performance will be 650 FPM at 92 KTAS and 9.8 GPH with average winds of 215° at 15 KTS. His average descent performance will be 900 FPM at 110 KTAS and 5.2 GPH with average winds of 320° at 8 KTS.",,Wind correction
14,How much fuel will he burn in total?,9.2 GALS,6.7 GALS,11.4 GALS,10.1 GALS,A,9.2 GALS,,multiple_choice,,"Use the following information for questions 11-15: Joey plans a flight from KMRN (1270') to KTYS (979') at 8,500' MSL on a true course of 277°. The total distance is 118 NM and he will cruise at 145 MPH TAS and 8.7 GPH with winds aloft 240° at 14 KTS. His average climb performance will be 650 FPM at 92 KTAS and 9.8 GPH with average winds of 215° at 15 KTS. His average descent performance will be 900 FPM at 110 KTAS and 5.2 GPH with average winds of 320° at 8 KTS.",,Fuel burn / fuel required
