number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
1,"Chicago O'Hare (ORD) airport has multiple runways. RWY 10L is 2.14 nm long, RWY 10C is 329,200 cm long, RWY 9R is 3753 yards long, and RWY 22L is 96,900 inches long. Which of the four runways is the longest?",10L,10C,9R,22L,A,10L,Conversion Length,multiple_choice,,,,Conversions
2,"You are practicing instrument flying skills with your flight instructor. The instructor tells you to turn 360° at a standard rate of 3° per second. Upon the completion of the turn, the instructor looks at the ground and determines that the winds aloft pushed you 1.1 nm away from your original point. How strong are the winds aloft?",17 knots,25 knots,33 knots,40 knots,C,33 knots,Rate Time-Speed-Distance,multiple_choice,,,,Time Problems with Hours/Min/Sec
3,You calculate that your C150 can climb at 475 FPM given the outside conditions. How fast is that in meters per second?,2.1 meters per second,2.4 meters per second,2.8 meters per second,3.2 meters per second,B,2.4 meters per second,Conversion Climb Rate,multiple_choice,,,,Conversions
4,A commercial Steep Turn requires 50° of bank for the maneuver. What is the load factor for this bank?,1.79 G's,1.56 G's,1.32 G's,1 G,B,1.56 G's,Load factor,multiple_choice,,,,Miscellaneous
5,"It takes you 46 seconds to fly between two adjacent VOR radials at 87 knots groundspeed. Assuming the winds are calm, how long would it take you to fly to the VOR?",7.2 minutes,13 minutes,18 minutes,23 minutes,D,23 minutes,Time Between Radials; Time to VOR,multiple_choice,,,,Time to VOR
6,"A localizer signal can be received 18 nm away from the runway threshold. At that distance, you tune the localizer and discover that you are 10° to the right of the course. How far laterally are you from the extended runway centerline?",3.0 nm,2.6 nm,2.2 nm,1.8 nm,A,3.0 nm,Distance off-course by angular deviation,multiple_choice,,,,60:1 Rule
7,"ATC needs you to stay level at 3100' MSL until beginning your final descent to land at a runway which is currently 6.5 nm away. You maintain 75 knots groundspeed and plan a 3.2° descent angle. If the touchdown zone elevation is 1400' MSL, how long will it take before you start descent?",61 seconds,72 seconds,81 seconds,97 seconds,B,72 seconds,Descent Planning; Time-Rate-Distance,multiple_choice,,,,Time Problems with Hours/Min/Sec
8,"You are flying a cross-country flight. The winds aloft are rather strong today at 300° at 48 knots. If you were flying at 129 KTAS on a course of 010°, what is your new effective true airspeed?",91 knots,108 knots,120 knots,128 knots,C,120 knots,Effective TAS,multiple_choice,,,,Wind Correction
9,"You depart from Lansing Capital Region Airport (KLAN) and head due west towards a circular field. Today you're planning to practice turns around a point. KLAN is at N42°46'48"" W84°35'24"" while the field is at N42°46'48"" W84°58'24"". How far is the circular field from the airport?",23 nautical miles,21 nautical miles,19 nautical miles,17 nautical miles,D,17 nautical miles,Distance between coordinates,multiple_choice,,,,60:1 Rule
10,A tank holds 180 ounces of oil. How much does all of that oil weigh?,14.8 pounds,13 pounds,10.5 pounds,9.7 pounds,C,10.5 pounds,Conversion Oil weight,multiple_choice,,,,Conversions
