number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"Your aircraft weighs 1,437 lbs empty with a CG of 39.7"". You weigh 195 lbs and will sit in the pilot's seat at 33"", and you have 27 gallons of fuel in the tanks at 44"". How many quarts of oil can you carry in the baggage compartment (130"") without exceeding the aft CG limit of 42""?",7 quarts,28 quarts,42 quarts,73 quarts,B,28 quarts,,multiple_choice,,,,Weight change
2,"Your performance chart indicates a takeoff roll of 930' with the following notes: [[NEXT_LINE]] - Increase takeoff roll by 7% of charted distance for every 10°C above ISA. [[NEXT_LINE]] - Increase takeoff roll by 4% of charted distance for every 1% runway upslope. [[NEXT_LINE]] - Decrease takeoff roll by 9% of charted distance for every 10 knots of headwind. [[NEXT_LINE]] If you depart from runway 13 at sea level, the OAT is 28°C, the runway has a 1.6% upslope, and the wind is 180° at 13 knots, what is your takeoff ground roll?",852',966',"1,008'","1,134'",C,"1,008'",,multiple_choice,,,,Miscellaneous
3,"Due to terrain, the PAPI on runway 14 has a 3.6° slope. You approach at 101 MPH TAS, and the wind is 180° at 8 KTS, what is your descent rate?",383'/min,528'/min,553'/min,611'/min,B,528'/min,,multiple_choice,,,,Rate of descent
4,"You are practicing turns around a point, and while flying at 115 KTAS, you notice that it takes 46 seconds to complete a 360° turn. How far are you from the point?",851',"1,283'","1,427'","2,852'",C,"1,427'",,multiple_choice,,,,Miscellaneous
5,Your cross country flight is 278 sm long on a true course of 172°. You will cruise at 173 KTAS while burning 12.3 GPH. Winds aloft are 220° at 28 knots. What is your minimum takeoff fuel to maintain a 30-minute VFR reserve?,156 lbs,171 lbs,198 lbs,255 lbs,A,156 lbs,,multiple_choice,,,,Fuel burn / fuel required
6,"The fuel truck pumps 220 gallons of JET-A (6.8 lbs/gal) per minute. Each of your wing tanks holds 14,000 lbs, and the center tank holds 10,500 lbs. If you landed with 6,000 lbs total, how long will it take to top off all the tanks?","12 minutes, 21 seconds","16 minutes, 22 seconds","21 minutes, 43 seconds","24 minutes, 37 seconds",C,"21 minutes, 43 seconds",,multiple_choice,,,,Fuel burn / fuel required
7,"You depart on your planned heading of 329° and ground speed of 109 KTS; your trip is 176 nm long. After 24 minutes, you notice that you are 2.7 sm left of course. What heading will take you directly to your destination?",330°,334°,338°,341°,B,334°,,multiple_choice,,,,Off-Course
8,"You are instructed to hold east on the 090° radial at 31 km with right turns and standard legs. While abeam the holding fix on the outbound leg, you center a second CDI needle and determine you are now on the 081° radial at 31 km. With this information, what is the radius of your outbound turn?",2.52 nm,2.22 km,4.44 km,1.45 sm,D,1.45 sm,,multiple_choice,,,,DME arc
9,"An ARFF Fire Truck can pump water at a rate of 1,235 gallons per minute. How long would it take to fill an Olympic-sized swimming pool which can hold 660,253 gallons?",9 hours,"29,875 seconds",0.375 days,535 minutes,D,535 minutes,,multiple_choice,,,,Multiplication / division
10,Driving to work is a nuisance. You must travel 15 km straight ahead before making a right turn and traveling 8 km before making a final left turn and driving an additional 17 km. How much quicker would it be to fly direct in a helicopter with a ground speed of 70 knots as opposed to driving at 99 km/h?,3 minutes,6 minutes,9 minutes,12 minutes,C,9 minutes,,multiple_choice,,,,Time problems with hours/min/sec
11,"You are flying at FL320 and trying to navigate around thunderstorms. Your weather radar is tilted -2.5° and the bottom of the radar beam is painting the ground (4,000' MSL) as displayed on the 40 nm ring on the MFD. Your radar has a 7-degree beam width. You want to place the center of the radar beam at the freezing level (FL120) at 40 nm to get the best picture of reflectivity. What tilt angle should you set the radar?",-4.0°,-1.0°,-0.5°,+3.0°,A,-4.0°,,multiple_choice,,,,Miscellaneous
12,"You plot a course east from N47°57'14"" W97°11'27"" to N48°4'27"" W96°11'8"". What is the distance between these two points?",33 nm,37 nm,41 nm,52 nm,C,41 nm,,multiple_choice,,,,Conversions
13,"Airflow is the primary means of cooling an engine. The manufacturer has determined that decelerating from 100 KTS to 95 KTS, the engine is warmed by 7°F. However, for every 5-knot reduction in airspeed, the rate of temperature increase is reduced by 2.5%. Cruising at 90 knots the engine indicates 170°F. After slowing to 47 KTS, what is the new engine temperature?",217.8°F,221.5°F,225.6°F,229.9°F,B,221.5°F,,multiple_choice,,,,Miscellaneous
14,"After flying 113 nm of your 432 nm flight, you check your position and see that you have drifted 11.5° left of course. If you continue on your current track, how far from your destination will you be when you arrive?",51.8 nm,61.2 nm,82.9 nm,100.5 nm,C,82.9 nm,,multiple_choice,,,,Off-Course
15,What heading correction should you make to fly directly to the destination?,4° Right,12° Right,14° Right,16° Right,D,16° Right,,multiple_choice,,"Referenced question 14: After flying 113 nm of your 432 nm flight, you check your position and see that you have drifted 11.5° left of course. If you continue on your current track, how far from your destination will you be when you arrive?",,Off-Course
16,"You put a fresh set of batteries into your headset giving it a capacity of 2,400 mAh. There is 432 nm remaining on your flight. True course is 114°. The winds aloft are 050° at 21 KTS and your TAS is 90 knots. The headset drains at 80 mA and you accidently leave your headset on for an additional 2 hours after landing. How much battery remains for your next flight?",71%,75%,82%,87%,B,75%,,multiple_choice,,,,Time problems with hours/min/sec
17,"The current winds are 320° at 84 knots. Your vertical speed indicator reads a 3,300 FPM descent. Your true airspeed is 330 knots with a true course of 117°. What is your angle of descent?",2.8°,3.9°,4.6°,5.3°,C,4.6°,,multiple_choice,,,,Rate of descent
18,"At Flight Level 190, the outside air temperature is -23°C and the airspeed indicator is indicating 447 MPH. What is the Mach number?",0.63,0.72,0.85,0.94,C,0.85,,multiple_choice,,,,Airspeed / Mach
19,"If part of the airfoil has just reached the speed of sound, what is the difference in velocity between the free stream airflow and the accelerated sonic airflow over the wings?",36 KTS,227 KTS,172 KTS,91 KTS,D,91 KTS,,multiple_choice,,"Referenced question 18: At Flight Level 190, the outside air temperature is -23°C and the airspeed indicator is indicating 447 MPH. What is the Mach number?",,Airspeed / Mach
20,"Taking off from a small 2,652' grass strip, you rotate with 782' remaining. If you cross the end of the runway at 50' what is your climb gradient?",141'/nm,167'/nm,338'/nm,389'/nm,D,389'/nm,,multiple_choice,,,,Climb gradient
21,"You are climbing out at 56 KCAS. The current conditions are 86°F and A30.12"" Hg which yields a density altitude of 2,850'. What is your climb TAS?",62 knots,58 knots,53 knots,51 knots,B,58 knots,,multiple_choice,,,,Conversions
22,You note that the cabin of your TBM 960 can pressurize up to 6.2 psi. How many inches of mercury does that equate to?,"42,747.50",42.75,1.26,12.62,D,12.62,,multiple_choice,,,,Conversions
23,"An Airbus A320 can hold 41,285 pounds of Jet A. How many imperial gallons is that assuming a specific gravity of 6.76 lbs/US gallon?",6107.25,5089.38,6880.8,5734,B,5089.38,,multiple_choice,,,,Conversions
24,"Your C172 cruise speed is 105 KTAS. With an average wind of 315° at 28 KTS, how long would it take you to fly from JFK to LAX? The distance is 2473 sm on a true course of 275°.","1,809.51 mins","1,228.82 mins","1,573.49 mins",20.48 hours,C,"1,573.49 mins",,multiple_choice,,,,Time problems with hours/min/sec
25,"Your aircraft (177,000 lbs, CG 147.3"") transfers 4,845 liters of Jet A (6.8 lbs/gal) from the aft auxiliary tank (180"") to the main tanks (155"") in 7 minutes. Meanwhile, your engines are burning 6,300 lbs per hour total. After the transfer is complete, what is your new CG?","145.1""","145.6""","146.0""","147.1""",C,"146.0""",,multiple_choice,,,,Weight shift
26,"Your rotation speed is 76 knots, and it takes 11 seconds to reach rotation speed on takeoff with no wind. What is your acceleration rate?",3.55 meters/sec²,12.8 meters/sec²,21.3 meters/sec²,38.8 meters/sec²,A,3.55 meters/sec²,,multiple_choice,,,,Acceleration
27,"You are planning a 276 km cross country flight at 138 KTAS. You will be flying over remote terrain, so how long into the flight will the time to continue equal the time to return? Your true course is 227° and the winds aloft are 190° at 27 knots.","32 minutes, 47 seconds","37 minutes, 55 seconds","44 minutes, 41 seconds","87 minutes, 4 seconds",C,"44 minutes, 41 seconds",,multiple_choice,,,,Equal time to point
28,"If a 50-gallon oil drum is 88% full, how much does it weigh?",330 kg,150 kg,726 kg,120 kg,B,150 kg,,multiple_choice,,,,Conversions
29,"An aircraft is currently loaded up to 2,345 lbs with a CG of 43.2"". Your friend (78 kg) decides that he would like to move to the back seat to sit with his Poodle (3 kg) for the next leg of the trip. How much will the CG shift when he moves from the front seat (Arm = 24"") to the back seat (Arm = 45"")?","1.54""","0.154""","1.32""","0.132""",A,"1.54""",,multiple_choice,,,,Weight shift
30,"Flying 130 KIAS at a pressure altitude of 7,500' and OAT of -36°C, what is the TAS?",135.5,137.5,141.5,130.5,A,135.5,,multiple_choice,,,,Conversions
31,What is the density altitude?,"2,400'","2,800'","3,400'","3,700'",B,"2,800'",,multiple_choice,,"Referenced question 30: Flying 130 KIAS at a pressure altitude of 7,500' and OAT of -36°C, what is the TAS?",,Density altitude
32,What is your ground speed under the following conditions? [[NEXT_LINE]] Wind: 255° at 32 MPH [[NEXT_LINE]] True Course: 114° [[NEXT_LINE]] TAS: 263 km/h,203.5 knots,184.1 knots,165.4 knots,162.8 knots,D,162.8 knots,,multiple_choice,,,,Courses and headings
33,"Crossing a lake that is 37 sm from shore to shore, you wish to know your equal time point. Your current course is 309° at a ground speed of 213 km/h. The winds aloft are 355° at 15 knots. How far across the lake will you be when the time to continue equals the time it would take to turn back?",17.4 nm,20.0 nm,29.5 km,62.0 km,A,17.4 nm,,multiple_choice,,,,Equal time to point
34,"Your turbofan engine has a starting limitation of no more than 18 knots of tailwind. If your heading indicator shows 165° and the surface winds are from 020°, what is the highest wind speed that would be within your limit?",20.7 MPH,23.0 knots,37.1 ft/sec,43.5 km/h,C,37.1 ft/sec,,multiple_choice,,,,Crosswind component
35,"Flying a heading of 167° to maintain a course of 183°, you notice a ground speed of 118 knots while your airspeed indicator shows 99 knots. What are the winds aloft? Pressure altitude is 5,500' MSL at a temperature of -8°C.",063° at 34 knots,305° at 33 knots,052° at 37 knots,108° at 34 knots,A,063° at 34 knots,,multiple_choice,,,,Wind correction
36,"You cross NIFAA at 5,000'. Flying at 90 KIAS and maintaining a constant descent after crossing NIFAA, what is your glide slope angle in degrees?",3.00°,3.15°,3.60°,4.25°,B,3.15°,,multiple_choice,,"Use the following information for the remaining 5 questions. The AWOS broadcasts winds 150° at 24 KTS with a temperature of +9°C, Altimeter 29.79"" Hg. The fix ""NIFAA"" is 11.2 nm from the threshold of runway 18. Runway 18 has a magnetic course of 177° with a variation of 5° E and is located at 1,241' MSL. The weather is the same at all altitudes.",,60:1 Rule
37,What Wind Correction Angle must be maintained while on the approach?,6° Left,7° Left,8° Left,9° Left,B,7° Left,,multiple_choice,,"Use the following information for the remaining 5 questions. The AWOS broadcasts winds 150° at 24 KTS with a temperature of +9°C, Altimeter 29.79"" Hg. The fix ""NIFAA"" is 11.2 nm from the threshold of runway 18. Runway 18 has a magnetic course of 177° with a variation of 5° E and is located at 1,241' MSL. The weather is the same at all altitudes.",,Wind correction
38,What vertical speed will bring the aircraft from NIFAA to the runway threshold at the touchdown zone elevation?,397 FPM,431 FPM,499 FPM,554 FPM,B,431 FPM,,multiple_choice,,"Use the following information for the remaining 5 questions. The AWOS broadcasts winds 150° at 24 KTS with a temperature of +9°C, Altimeter 29.79"" Hg. The fix ""NIFAA"" is 11.2 nm from the threshold of runway 18. Runway 18 has a magnetic course of 177° with a variation of 5° E and is located at 1,241' MSL. The weather is the same at all altitudes.",,Rate of descent
39,"After flying the approach for 3 miles the course deviation indicates 0.2 nm off course to the right, how many degrees of total correction are needed to intercept the final approach course in 1 nm?",4° Left,12° Left,16° Left,20° Left,C,16° Left,,multiple_choice,,"Use the following information for the remaining 5 questions. The AWOS broadcasts winds 150° at 24 KTS with a temperature of +9°C, Altimeter 29.79"" Hg. The fix ""NIFAA"" is 11.2 nm from the threshold of runway 18. Runway 18 has a magnetic course of 177° with a variation of 5° E and is located at 1,241' MSL. The weather is the same at all altitudes.",,60:1 Rule
40,What will the crosswind component be on landing?,21.4 KTS,12.7 KTS,10.8 KTS,9.0 KTS,C,10.8 KTS,,multiple_choice,,"Use the following information for the remaining 5 questions. The AWOS broadcasts winds 150° at 24 KTS with a temperature of +9°C, Altimeter 29.79"" Hg. The fix ""NIFAA"" is 11.2 nm from the threshold of runway 18. Runway 18 has a magnetic course of 177° with a variation of 5° E and is located at 1,241' MSL. The weather is the same at all altitudes.",,Crosswind component
