number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"You're flying FedEx 1348, a Boeing 727 from Billings to Denver at a TAS of 483 knots with winds aloft of 310/78 true. While over Casper, Wyoming, the company calls and says they need to reroute you to Salt Lake City to pick up some extra freight. ATC clears you direct to Salt Lake City. Assuming a variation of 12E, what magnetic heading do you need to fly to maintain a direct course of 244 magnetic?",251,263,271,283,A,251,,multiple_choice,,,,Wind correction
2,"After turning on course to Salt Lake City, the company asks for your estimated time of arrival. When you turned, your wristwatch, which is set to central daylight time (UTC-5,) read 10:18pm. FedEx needs the information in UTC since that's all they use. If it's 278 nm from Casper to Salt Lake City, what will you give as your ETA?",4:56,2:56,3:56,5:56,C,3:56,,multiple_choice,,,,Time problems with hours/min/sec
3,"When you made the turn towards Salt Lake, you had 19700 pounds of fuel on board. How much fuel will you have upon arrival in Salt Lake City assuming that you burn an average of 9000 pounds per hour?",12000 pounds,13000 pounds,14000 pounds,15000 pounds,C,14000 pounds,,multiple_choice,,,,Fuel burn / fuel required
4,"According to your dispatch release, you'll need to bring the fuel load up to 37000 pounds for your next leg from Salt Lake City to Memphis. Knowing that the fuel gauges on the exterior refueling panel are deferred for maintenance, you figure that you need to tell the fuel truck driver to uplift how many gallons of Jet-A (6.7 pounds/gallon) to bring you up to your desired fuel load?",3731,3432,3582,3283,B,3432,,multiple_choice,,,,Fuel burn / fuel required
5,"You finally get on your way from Salt Lake City to Memphis, but you've been flight planned over Amarillo, Texas in order to avoid a line of thunderstorms over western Kansas. Your inbound heading to Amarillo is 126 magnetic while holding a course of 121 magnetic with a groundspeed of 531 knots. Your outbound heading from Amarillo is 088 while holding a course of 087 magnetic. Your true airspeed is 487 knots and variation is 10E, what are the winds aloft (true-)",115/57,280/63,260/58,270/60,D,270/60,,multiple_choice,,,,Wind correction
6,"A few months after your Salt Lake City trip, you upgrade to the MD-11 and start flying international. Flying between Shanghai, China and Almaty, Kazakhstan one day, ATC clears you to climb and maintain 10600 meters. (China uses the metric system.) What should your good, old-fashioned American altimeter say once you level off at your new altitude?",34650,36000,31800,32275,A,34650,,multiple_choice,,,,Conversions
7,"As you approach the Kazakhstan border, marked by COMMI intersection, ATC tells you to cross 15 kilometers east of COMMI at 9400 meters. According to your navigation display, you're currently 50 nautical miles due east of COMMI. Due to some sensitive cargo on board, you want to descend at no more than 1000 feet/minute. If you maintain a constant groundspeed of 454 knots, how far from COMMI will you have to start your descent to meet the crossing restriction?",37.6 nautical miles,29.5 nautical miles,54.4 kilometers,91 kilometers,A,37.6 nautical miles,,multiple_choice,,,,Rate of descent
8,"As you descend into the Almaty airport, your captain asks you to get the ATIS. The winds are reported as 360 at 3 meters per second. If you're landing on runway 5, what is your crosswind component?",11 knots,9 knots,7 knots,5 knots,D,5 knots,,multiple_choice,,,,Crosswind component
9,"After your great layover in Almaty, you get ready to depart for Frankfurt, Germany. Not that the MD-11 is lacking in takeoff performance, but knowing that you're in close proximity to the Himalaya mountains, you wonder what the density altitude is. Field elevation is 2300 feet, the temperature is 23C and the altimeter is 30.01. You determine that the answer is:",3100 feet,3800 feet,5300 feet,6800 feet,B,3800 feet,,multiple_choice,,,,Density altitude
10,How many of the containers can you take without exceeding your limit?,8,9,10,11,C,10,,multiple_choice,,"Referenced question 9: After your great layover in Almaty, you get ready to depart for Frankfurt, Germany. Not that the MD-11 is lacking in takeoff performance, but knowing that you're in close proximity to the Himalaya mountains, you wonder what the density altitude is. Field elevation is 2300 feet, the temperature is 23C and the altimeter is 30.01. You determine that the answer is: [[DIVIDER]] With the density altitude calculated in the previous question, and the required fuel load to get to Frankfurt, your onboard computer says that you're limited to 120000 pounds of cargo. The ground crew has already loaded 50000 pounds of freight and has 15 more containers of freight to go. They tell you that each container weighs 3000 kilograms.",,Multiplication / division
11,"After returning home to the USA, you're out flying with your alma-mater's NIFA team helping them prepare for nationals. While riding along on a practice navigation route at 7500 feet MSL with an altimeter setting of 30.12, you decide to see if you still have your old skills. The pilot is flying a heading of 069 magnetic while maintaining a course of 057 magnetic, the variation is 12E, the winds aloft are 253/24 true and the temperature is 12C. What indicated airspeed does the pilot need to fly to maintain a planned groundspeed of 128 knots?",105 knots,92 knots,113 knots,97 knots,B,92 knots,,multiple_choice,,,,Airspeed / Mach
12,"After loading up your Cessna Caravan for a cargo run, you determine that the CG is 1.3"" ahead of the forward limit. Assuming a gross weight of 8700 lbs, how far back must a 68 kg pallet be moved to bring the airplane within CG limits?","166.5""","75.8""","22.3""","16.7""",B,"75.8""",,multiple_choice,,,,Weight shift
13,"A takeoff from Runway 10L in Billings, MT requires a climb gradient of 260' / nm in order to clear a set of towers. Assuming a groundspeed of 145 knots, what rate of climb will ensure you will clear the towers?",1075 ft / min,10.5 meters / sec,3.2 meters / sec,530 ft / min,C,3.2 meters / sec,,multiple_choice,,,,Climb gradient
