number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"You are descending from a cruise of 12,500 feet MSL to Death Valley Airport (-300 feet MSL), at 125 kts groundspeed and 800 feet per minute. How far out must you start down?",14 minutes or 29 nautical miles,15 minutes or 31 nautical miles,16 minutes or 33 nautical miles,17 minutes or 35 nautical miles,C,16 minutes or 33 nautical miles,,multiple_choice,,,,Rate of descent
2,"When filled up, your Mooney's projected weight will be 2830 pounds, 130 pounds over its max. ramp weight. Your current CG is 71.00 inches with a forward limit of 70.2 inches. Where will you remove 130 lbs from the aircraft to move the CG to the forward limit?",16.6 inches,87.6 inches,166 inches,54.4 inches,B,87.6 inches,,multiple_choice,,,,Weight change
3,"You are departing from Camas Municipal Airport, WA heading north to Seattle-Tacoma International Airport, WA. To check your groundspeed you use the few sections of land (1 section of land = 1 statute mile) that exist. If you cross 5 sections of land in 3 minutes and 36 seconds, how fast are you going?",43.2 knots,72.4 knots,83.5 knots,89.9 knots,B,72.4 knots,,multiple_choice,,,,Time problems with hours/min/sec
4,"If you maintain the calculated groundspeed from question 3 and a rate of climb of 700 feet per minute, will you be able to climb high enough to clear the TFR?","Yes, by 3.1 nautical miles","No, by 1.9 nautical miles","No, by 5.2 nautical miles","Yes, by 8.1 nautical miles",A,"Yes, by 3.1 nautical miles",,multiple_choice,,"Referenced question 3: You are departing from Camas Municipal Airport, WA heading north to Seattle-Tacoma International Airport, WA. To check your groundspeed you use the few sections of land (1 section of land = 1 statute mile) that exist. If you cross 5 sections of land in 3 minutes and 36 seconds, how fast are you going? [[DIVIDER]] In question 3, you were heading north towards Seattle. At 17.8 nautical miles from the center of Mt. St. Helens at 7400 feet MSL, you realize that you have forgotten about the temporary flight restriction (TFR) up to 13,000 ft MSL within a 5 nautical mile radius around the center of Mt. St. Helens.",,Climb gradient
5,"Tom, a former Navy pilot, one day recalls his training at Cecil Field. He remembers using an airfield to the northwest that was 5300 feet long with a 750 foot section marked off for practice carrier ops. He then wonders, what percentage of the field was not used?",86%,84%,88%,82%,A,86%,,multiple_choice,,,,Miscellaneous
6,"One day you get the opportunity to jump into an Antonov Colt. You find the altimeter and the airspeed indicator are stuck at 630 meters and 160 km/hr, respectively. What are these readings in feet and knots?","207.0 feet, 88 knots","1920.0 feet, 101 knots","192.0 feet, 101 knots","2070.0 feet, 88 knots",D,"2070.0 feet, 88 knots",,multiple_choice,,,,Conversions
7,You want to take your three nephews flying. They have all three been learning about the metric system and other weights in school. They give their weights as follows: [[NEXT_LINE]] Nephew 1 = 36 kilograms [[NEXT_LINE]] Nephew 2 = 12 imperial gallons of Avgas [[NEXT_LINE]] Nephew 3 = 40.5 liters of oil [[NEXT_LINE]] What is the combined weight of your three nephews?,215.2 pounds,227.3 pounds,236.7 pounds,245.9 pounds,D,245.9 pounds,,multiple_choice,,,,Conversions
8,How far will John miss Mt. Adams by?,He will only miss it by 1.17 nautical miles,He will miss the mountain by 11.7 nautical miles,He will miss the mountain by 7.0 nautical miles,He will only miss it by 3.10 nautical miles,B,He will miss the mountain by 11.7 nautical miles,,multiple_choice,,"John wants to fly directly from The Dalles, OR to Seattle, WA. However, the only problem is that there is a 12,000 foot mountain the way, Mt. Adams. There are calm winds aloft. He plans on flying the 118 nautical mile, true course of 324° route as follows: [[NEXT_LINE]] 1st Fly 20 nautical miles on the original true course. [[NEXT_LINE]] 2nd Fly on a true course of 310° for 93 km. This puts you abeam Mt. Adams. [[NEXT_LINE]] 3rd Fly on a true course of 345° to regain his original course.",,Off-Course
9,Will he rejoin his course prior to getting to Seattle? If so how far from Seattle will he rejoin his course?,"No, he will need at least a correction to a true heading of 356°","Yes, he will rejoin his course 14 nautical miles from Seattle","Yes, he will rejoin his course 20 nautical miles from Seattle","Yes, he will rejoin his course 7 nautical miles from Seattle",B,"Yes, he will rejoin his course 14 nautical miles from Seattle",,multiple_choice,,"John wants to fly directly from The Dalles, OR to Seattle, WA. However, the only problem is that there is a 12,000 foot mountain the way, Mt. Adams. There are calm winds aloft. He plans on flying the 118 nautical mile, true course of 324° route as follows: [[NEXT_LINE]] 1st Fly 20 nautical miles on the original true course. [[NEXT_LINE]] 2nd Fly on a true course of 310° for 93 km. This puts you abeam Mt. Adams. [[NEXT_LINE]] 3rd Fly on a true course of 345° to regain his original course.",,Off-Course
10,"For calculation, you use a straight line distance from The Dalles to Seattle, a groundspeed of 118 km/hr, and an assumption of an extra 5.2 minutes to deviate. What is the total time enroute?",101.5 minutes,107.5 minutes,111.5 minutes,116.5 minutes,D,116.5 minutes,,multiple_choice,,"John wants to fly directly from The Dalles, OR to Seattle, WA. However, the only problem is that there is a 12,000 foot mountain the way, Mt. Adams. There are calm winds aloft. He plans on flying the 118 nautical mile, true course of 324° route as follows: [[NEXT_LINE]] 1st Fly 20 nautical miles on the original true course. [[NEXT_LINE]] 2nd Fly on a true course of 310° for 93 km. This puts you abeam Mt. Adams. [[NEXT_LINE]] 3rd Fly on a true course of 345° to regain his original course.",,Time problems with hours/min/sec
