number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"A 757 (two-engine airliner) has its 11,480 gallon tanks completely filled early in the cool morning when the Jet A density is 6.74 lbs./gal. The aircraft is delayed and the rising temperature causes the Jet A to expand and subsequently leak out the fuel vents. At its peak temperature, the Jet A had a density of 6.62 lbs./gal. How much fuel was lost through the vents?",1212 lbs.,1378 lbs.,1440 lbs.,2525 lbs.,B,1378 lbs.,,multiple_choice,,,,Fuel burn / fuel required
2,"Referencing the above question, what is the resulting loss of endurance if the aircraft planned on burning 1550 lbs./hr./engine, in cruise?",55 min 45 sec,27 min 52 sec,23 min 14 sec,26 min 40 sec,D,26 min 40 sec,,multiple_choice,,"Referenced question 1: A 757 (two-engine airliner) has its 11,480 gallon tanks completely filled early in the cool morning when the Jet A density is 6.74 lbs./gal. The aircraft is delayed and the rising temperature causes the Jet A to expand and subsequently leak out the fuel vents. At its peak temperature, the Jet A had a density of 6.62 lbs./gal. How much fuel was lost through the vents?",,Fuel burn / fuel required
3,"ATC is trying to keep 10 NM spacing between aircraft on approach. Aircraft ABC is currently spaced perfectly with preceding aircraft and is maintaining that 10 NM separation at 200 KTAS. ABC is currently 13 NM from the fix NIFAH. Aircraft XYZ is 14 NM behind ABC. If XYZ is maintaining his max speed of 250 KTAS, where will they be relative to 10 NM in trail when ABC reaches NIFAH?",0.25 NM under,0.5 NM under,0.5 NM over,0.75 NM over,D,0.75 NM over,,multiple_choice,,,,Overtaking aircraft
4,"Regardless of the previous answer, ATC decides to slow XYZ down to make room for departures instead. ATC wants XYZ to be at least 15 NM in trail of ABC at NIFAH. What is the max true airspeed XYZ can do and still have the needed spacing? (assume speed reduction is immediate)",233 knots,205 mph,182 knots,213 mph,D,213 mph,,multiple_choice,,"Referenced question 3: ATC is trying to keep 10 NM spacing between aircraft on approach. Aircraft ABC is currently spaced perfectly with preceding aircraft and is maintaining that 10 NM separation at 200 KTAS. ABC is currently 13 NM from the fix NIFAH. Aircraft XYZ is 14 NM behind ABC. If XYZ is maintaining his max speed of 250 KTAS, where will they be relative to 10 NM in trail when ABC reaches NIFAH?",,Overtaking aircraft
5,"After you shifted 143 lbs. of your 3460 lb. airplane, your CG shifted from 47.6"" to 46.7"". From what station did you shift the weight if it is now at station 45.4""?","21.8""","23.6""","67.2""","69.0""",C,"67.2""",,multiple_choice,,,,Weight shift
6,From the above question what is your percent MAC after the shift if your LEMAC is 23.3 and your TEMAC is 62.7?,59%,23%,62%,24%,A,59%,,multiple_choice,,"Referenced question 5: After you shifted 143 lbs. of your 3460 lb. airplane, your CG shifted from 47.6"" to 46.7"". From what station did you shift the weight if it is now at station 45.4""?",,CG in % MAC
7,"Your hangar neighbor has the same kind of airplane as yours, except that his airspeed indicator is calibrated in miles per hour, while yours is calibrated in knots. While flying in formation at the same speed, you maintain 104 knots. His airspeed indicator shows 125 miles per hour. You are sure that yours is correct, so which can you correctly say about his airspeed indictor?",It is indicating correctly,It is indicating about 5.3 miles per hour too fast,It is indicating about 3.5 miles per hour too slow,It is indicating about 10% too fast.,B,It is indicating about 5.3 miles per hour too fast,,multiple_choice,,,,Conversions
8,"Two pilots are discussing the virtues of high-speed cruise flight. One pilot operates an airplane that cruises at Mach 0.74. The other operates an airplane that cruises at Mach 0.90. To better understand what speed advantage the faster airplane has in real-world terms, the pilots turn to their flight computers. Cruising at a hypothetical 36000 feet for 2500 nautical miles with an outside temperature of -67°F and no wind, how much shorter will the faster airplane's cruise flight be?",22 minutes,43 minutes,62 minutes,72 minutes,C,62 minutes,,multiple_choice,,,,Airspeed / Mach
9,"The lowest (from sea level) artificially made point with open sky is likely the Hambach surface mine in Germany, which is 293 meters below sea level. If your home airport elevation is 1428 feet above sea level, how cold must it get at your home airport for the density altitude to equal 293 meters below sea level? Assume the altimeter setting is 29.92.",-18°F,-18°C,-7°C,-14°F,C,-7°C,,multiple_choice,,,,Density altitude
10,"Pete and Repeat were in a flying boat and Pete jumped out. The flying boat was loaded per the table below: [[TABLE]] Takeoff CG: 141.08 Wt.: 4137.5 [[NEXT_LINE]] Landing CG: 141.38 Wt.: 3943.1 [[NEXT_LINE]] If both Pete and Repeat were seated in the forward seating area and weigh the same amount, what is the new landing Weight and CG?","3838.1 lbs., 141.54","4032.5 lbs., 148.38","3838.1 lbs., 148.95","4032.5 lbs., 155.79",A,"3838.1 lbs., 141.54",,multiple_choice,,,"{""type"":""table"",""headers"":[""Station"",""Arm"",""Weight (lb.)"",""Moment""],""rows"":[[""Empty"",""135.3"",""3156.5"",""427074.5""],[""Fuel (65g)"",""135"",""390.0"",""52650.0""],[""Fwd Seating"",""135.5"",""210.0"",""28455.0""],[""Mid Seating"",""177"",""178.0"",""31506.0""],[""Aft Seating"",""218.8"",""96.0"",""21004.8""],[""Fwd Baggage"",""88.6"",""22.0"",""1949.2""],[""Aft Baggage"",""248.2"",""85.0"",""21097.0""]]}",Weight change
11,"A standard rate turn completes a full 360° in 120 seconds. If a plane begins a left turn on a 315° heading at standard rate, what heading will it roll out on after 0.45 minutes?",180°,288°,115°,234°,D,234°,,multiple_choice,,,,Courses and headings
12,"If you are flying along with a heading of 028° while tracking 032°, it takes you 22 minutes to fly 59.5 nm at an IAS of 127 knots at a pressure altitude of 9,500 feet and an OAT of -17°C, what are the winds aloft?",243° at 37.3 feet/second,360° at 223 feet/minute,062° at 25.3 mph,186° at 11.3 meters/second,A,243° at 37.3 feet/second,,multiple_choice,,,,Wind correction
13,"You are flying a heading of 013° and see a drift of 8° left while maintaining 154 knots over the ground. You then turn to a heading of 148° and slow to 136 knots, noting drift of 6° right. What are the winds aloft?",118° at 27.3 MPH,097° at 38.9 KPH,174° at 45 KTS,341° at 58.5 MPH,A,118° at 27.3 MPH,,multiple_choice,,,,Wind correction
14,"San Francisco's (elevation 13 feet) EUGEN9 departure requires that aircraft cross 4.0 DME from the SFO VOR at 1,900 ft. Assuming you lift off directly abeam the VOR, if your aircraft climbs at a ground speed of 158 mph, what climb rate must you have in order to meet this requirement?",1085 feet/minute,475 feet/minute,2085 feet/minute,1254 feet/minute,A,1085 feet/minute,,multiple_choice,,,,Climb gradient
15,"Shortly after takeoff on a cross-country flight you notice a new ethanol plant being constructed. As you gawk at the plant, your eyes are off the instruments for a while. When you look back you are 4.3 miles off course and had only traveled 20 miles. If the total distance remaining to your destination is 153 miles, how many degrees must you turn to parallel your course?",2.15°,12.9°,16.9°,28.1°,B,12.9°,,multiple_choice,,,,Off-Course
16,"Find magnetic heading given the following: [[NEXT_LINE]] Wind: 235° at 32 knots [[NEXT_LINE]] Temperature: ISA+8°C [[NEXT_LINE]] Magnetic Course: 007° [[NEXT_LINE]] Altitude: 8,500' MSL [[NEXT_LINE]] CAS: 155 mph [[NEXT_LINE]] Altimeter Setting: 30.58"" Hg",358°,355°,360°,017°,A,358°,,multiple_choice,,,,Wind correction
17,"In cruise at FL200 and 270 KTAS, a pilot sees the indicated OAT is -25°C. Looking at a quick reference chart, it appears that the temperature rise on the OAT probe is 13°C. What density altitude is the pilot cruising at?","15,700'","18,300'","22,400'","20,000'",B,"18,300'",,multiple_choice,,,,Density altitude
18,999 mb = ____ inches Hg,"30.46"" Hg","29.50"" Hg","30.33"" Hg","29.78"" Hg",B,"29.50"" Hg",,multiple_choice,,,,Conversions
19,"What is the temperature at 12,000' if you notice that you cross 2 section lines in 33 seconds with a true course of 053° at a CAS of 170 mph? Your altimeter setting is 29.67"" Hg and your compass shows a heading of 060°. Variation is 5E and your compass deviation is -5. Winds aloft are 171°@57 knots.",-22° F,-20° C,-33° F,-25° C,A,-22° F,,multiple_choice,,,,Miscellaneous
20,Every few months you fly your single engine plane loaded with Girl Scout cookies out to a secluded island. It is 192 sm away on a 264° course. How much more fuel is burned flying out to the island compared to the return flight back? Each flight you burn 3 gallons climbing and descending. All climbs and descents happen over the airport. Winds aloft are 300@29 knots and flying at 142 KTAS your cruise fuel burn is 8.8 GPH.,1.8 gallons,14.3 pounds,13.2 liters,65 kilograms,C,13.2 liters,,multiple_choice,,,,Fuel burn / fuel required
21,A pilot flying along a straight course at 135 knots takes note of his time passing between two radials. What is the distance between the radials if the first one is passed at 17:22:18 and the second at 17:27:06? The radials are 23 degrees apart.,2.8 NM,12.4 SM,52.1 KM,6.5 SM,B,12.4 SM,,multiple_choice,,,,Distance to VOR
22,"Using information from the previous question, if the pilot turned directly toward the station at the second radial, how long would it take before he flew over?",3.0 minutes,5.5 minutes,12.5 minutes,28.2 minutes,C,12.5 minutes,,multiple_choice,,Referenced question 21: A pilot flying along a straight course at 135 knots takes note of his time passing between two radials. What is the distance between the radials if the first one is passed at 17:22:18 and the second at 17:27:06? The radials are 23 degrees apart.,,Time to VOR
23,"The empty weight of a 55-liter fuel drum is 32 pounds. Your aircraft is capable of transporting 3250 pounds. Your customer prefers to ship full drums of heating oil that weighs 0.905 kilograms per liter, but will ship a single partial drum to comply with your limits. How many full drums can you carry to still be in the aircraft's capability?",22,14,10,8,A,22,,multiple_choice,,,,Weight change
24,"You're planning a trip from Page Field, Fort Myers (FMY) to Panama City, FL (ECP) in your Grumman Tiger. You're bringing a lot of bags so you want to maximize payload by carrying only the total burn plus a 45 min reserve. How much fuel do you depart with?",23.3 gallons,31.6 gallons,27.5 gallons,26.5 gallons,A,23.3 gallons,,multiple_choice,,"Use the following information to answer questions 24-26. [[NEXT_LINE]] TC = 334°, Distance = 394 SM, TAS = 124 knots, True Winds = 229°@27 knots, Fuel Flow = 6.8 gal/hr. Cruise altitude = 8,000' MSL",,Fuel burn / fuel required
25,"The altimeter setting is 29.80"" and the OAT at cruise is 8° C. What is your calibrated airspeed?",110 MPH,96 knots,108 knots,193 KPH,C,108 knots,,multiple_choice,,"Use the following information to answer questions 24-26. [[NEXT_LINE]] TC = 334°, Distance = 394 SM, TAS = 124 knots, True Winds = 229°@27 knots, Fuel Flow = 6.8 gal/hr. Cruise altitude = 8,000' MSL",,Airspeed / Mach
26,169 SM from ECP you realize an unforecast squall line is over ECP and moving towards you. You decide to forget about ECP all together and would like to return to FMY. Can you turn around and still make it to FMY with a 45 min reserve?,"No, you passed that point 23 NM ago","No, you passed that point 35 NM ago","Yes, but you need to do it right this instant","Yes, you have a whole 42 NM before you'd have to turn back.",B,"No, you passed that point 35 NM ago",,multiple_choice,,"Use the following information to answer questions 24-26. [[NEXT_LINE]] TC = 334°, Distance = 394 SM, TAS = 124 knots, True Winds = 229°@27 knots, Fuel Flow = 6.8 gal/hr. Cruise altitude = 8,000' MSL",,Radius of action
27,"The POH for your single engine aircraft specifies a 12:1 glide ratio if the engine were to fail. If you were cruising at 8,000 feet over the Gulf of Mexico, how far away from the shoreline could you be if you wanted to remain within gliding range of land?",19.2 SM,15.5 NM,19.2 NM,29.3 KM,D,29.3 KM,,multiple_choice,,,,Miscellaneous
28,A trailer-mounted auxiliary fueling device holds 100 gallons of AVGAS in a horizontally-oriented cylindrical tank that measures 22 inches in diameter. Fuel is dispensed by a 12-volt electric pump at the rate of 12 gallons per minute. What is the quantity of the fuel remaining in the tank after the pump has been running for 3.2 minutes?,39 gallons,370 pounds,61 pounds,450 pounds,B,370 pounds,,multiple_choice,,,,Fuel burn / fuel required
29,"After installing a fuel flow meter, you learn to lean your engine based on indicated AVGAS fuel flow. Before leaning, your engine is set for cruise power and is burning 9.5 gallons per hour. After leaning, it is burning 7.8 gallons per hour. How much fuel does the leaned condition save over 1 hour and 46 minutes in cruise?",3 gallons,4.5 liters,18 kilograms,8.2 pounds,A,3 gallons,,multiple_choice,,,,Fuel burn / fuel required
30,"You are cruising at 137 KIAS at 7500' MSL, the pressure is 30.18"" HG and ISA-10C. What is your current true airspeed?",276.6 KPH,231.3 KPH,152.2 KTS,125.4 KTS,A,276.6 KPH,,multiple_choice,,,,Airspeed / Mach
31,Using the answer above what are your winds aloft if your GPS states your groundspeed is 147 MPH and there is a wind correction of 6 degrees to the left and you are tracking 148° course?,044°@16 KTS,359°@26 KTS,186°@26 KTS,111°@26 KTS,D,111°@26 KTS,,multiple_choice,,"Referenced question 30: You are cruising at 137 KIAS at 7500' MSL, the pressure is 30.18"" HG and ISA-10C. What is your current true airspeed?",,Wind correction
32,"As you are tracking inbound of the VXV VOR, your needle shows you 4° off course to the left. If you are at 142 nm from the station, how many miles off course are you?",4.73 NM,9.47 NM,16.9 NM,21.3 NM,B,9.47 NM,,multiple_choice,,,,Off-Course
33,As you approach KTVC you note that runway 28 is 2103 meters long. How long is the runway in yards?,6898,2299,6309,2103,B,2299,,multiple_choice,,,,Conversions
34,During an emergency descent your reach 2300 FPM. How fast are you descending vertically?,2.61 KTS,2.27 KTS,26.1 KTS,22.7 KTS,D,22.7 KTS,,multiple_choice,,,,Rate of descent
35,Your true altitude is 8760' above Tulsa airport (elev. 677') and your altimeter is indicating 8500'. What is your pressure altitude if your OAT is showing 5°C,8500',9000',9500',10000',C,9500',,multiple_choice,,,,Density altitude
36,"While you are tracking a 3.0° glideslope you are descending at 862fpm. If you are at 1,590' AGL when you are 5 NM from the runway, what is your groundspeed?",198 MPH,221 MPH,162 MPH,187 MPH,D,187 MPH,,multiple_choice,,,,Rate of descent
37,"Your C172 has a steady electrical load of 23.2 amps. Halfway through your flight, you lose your alternator and are running off your 35 amp-hour battery. Assuming you are able to shed 8.7 amps, how many minutes can you fly before depleting your battery?",145,241,150,91,A,145,,multiple_choice,,,,Time problems with hours/min/sec
38,"You decide to fly on an international cross country flight. When you get to your destination, you decide to refuel. However, the airport's truck only measures fuel in liters. If you need 38 gallons of fuel, how many liters do you tell the fueler to put in?",172.1 liters,83.4 liters,143.8 liters,100.7 liters,C,143.8 liters,,multiple_choice,,,,Conversions
39,"You are taking your friends for a $100 hamburger. Your aircraft, fully loaded, weighs 3844 lbs. with a moment of 323,000. On the way home, your 163 lb. friend decides he wants to let your other 221 lb. friend sit up front this time. If the front and rear seats are 39 inches apart, what is your new CG?","78.2""","83.5""","84.7""","90.0""",B,"83.5""",,multiple_choice,,,,Weight shift
40,What is your IAS if you are flying at Mach 0.79 at FL350 and an actual outside temperature of -38°C? Assume a 1.0 compression factor.,239 KIAS,472 KIAS,444 KIAS,254 KIAS,D,254 KIAS,,multiple_choice,,,,Airspeed / Mach
