number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
1,"The highest airport in the United States is Leadville-Lake County at 9,934 feet. On a warm 86°F day, what is your density altitude with a pressure of 30.25"" Hg?","13,100'","13,700'","14,400'","14,900'",B,"13,700'",,multiple_choice,,,,Miscellaneous
2,What is Leadville-Lake's elevation in meters?,"3,029","3,258","5,370","6,174",A,"3,029",,multiple_choice,,"Referenced question 1: The highest airport in the United States is Leadville-Lake County at 9,934 feet. On a warm 86°F day, what is your density altitude with a pressure of 30.25"" Hg?",,Conversions
3,"Each wing of your aircraft is 16' long with a 3.5' chord. If the maximum takeoff weight is 2,668 LBS, what is the maximum wing loading of the aircraft?",35.5 kg/m²,116 kg/m²,234 kg/m²,256 kg/m²,B,116 kg/m²,,multiple_choice,,,,Division
4,You must perform your commercial pilot steep turns at 50° of bank. What load factor (Gs) does your aircraft experience in a 50° bank turn at 115 KTAS?,1.29 Gs,1.51 Gs,1.56 Gs,1.74 Gs,C,1.56 Gs,,multiple_choice,,,,Miscellaneous
5,"You are preparing for a cross-country flight of 286 km on a true course of 022°. You will burn 75 LBS/HR of 100LL while cruising at 157 KTAS, and the winds aloft are 230° at 27 knots. How much fuel is required if you want to land with a 45-minute reserve?",20.2 gallons,21.6 gallons,23.7 gallons,29.1 gallons,A,20.2 gallons,,multiple_choice,,,,Wind Correction
6,"Your aircraft is currently loaded to 3647 LBS with a CG of 79.4"". How much ballast do you need in the forward baggage compartment (12"" aft) to bring the aircraft within the 78"" aft CG limit?",3.5 KG,25.7 KG,34.3 KG,35.1 KG,D,35.1 KG,,multiple_choice,,,,Weight Change
7,You are flying at M0.83 at FL390 and ISA+7°C. What is your indicated airspeed?,197 knots,225 knots,233 knots,242 knots,D,242 knots,,multiple_choice,,,,Miscellaneous
8,You have to navigate from the 112° radial at 22 DME to the 202° radial at 22 DME. How much shorter is an RNAV direct course compared to a 22 DME arc course?,3.4 NM,12.5 NM,13.8 NM,19.8 NM,A,3.4 NM,,multiple_choice,,,,60:1 Rule
9,"You've planned a 334 NM cross-country flight at 8.8 GPH on a true course of 183°. After flying 1.7 hours and with 108 NM remaining in the flight, the wind has shifted from 310° at 28 knots to 220° at 27 knots. How much does your groundspeed decrease?",18.2 knots,23.4 knots,28.7 knots,37.4 knots,D,37.4 knots,,multiple_choice,,,,Wind Correction
10,"Reference the previous question. From the point the wind shifted, how much more fuel will you actually burn to get to your destination compared to the original planned amount?",0.7 gallons,2.9 gallons,7.1 gallons,10.0 gallons,B,2.9 gallons,,multiple_choice,,"Referenced question 9: You've planned a 334 NM cross-country flight at 8.8 GPH on a true course of 183°. After flying 1.7 hours and with 108 NM remaining in the flight, the wind has shifted from 310° at 28 knots to 220° at 27 knots. How much does your groundspeed decrease?",,Wind Correction
11,"Having flown 37 NM of your 83 NM cross-country flight, you determine that you are 4.5 KM left of course. If you turn 9° right, how far off course will you be at your destination?",1.5 NM,2.3 NM,3.9 NM,4.6 NM,A,1.5 NM,,multiple_choice,,,,Off-Course
12,Engine displacement is a measure of the volume of air an engine can intake. A Lycoming IO-360 engine displaces 360 cubic centimeters. What is that volume of displacement in gallons considering 1 cc = 1 mL?,1.37,0.667,0.36,0.095,D,0.095,,multiple_choice,,,,Conversions
13,"You are departing an airport at 2347' MSL, the altimeter setting is 29.67"" Hg, and the OAT is 75°F. The performance charts indicate that your aircraft will climb at 68 MPH indicated airspeed and 689 FPM. If you are departing runway 24 with a wind of 200° at 17 knots, what is the maximum climb gradient you can maintain?",354' per KM,413' per KM,456' per KM,844' per KM,C,456' per KM,,multiple_choice,,,,Climb Gradient
14,"On your cross-country flight, you notice that it takes 4 minutes and 37 seconds to fly between two points 9.8 SM apart on a magnetic course of 117°. If you are flying a magnetic heading of 124° at 6,500' MSL in ISA conditions, and your indicated airspeed is 124 knots, what are the winds aloft?",150° at 30 knots,160° at 30 knots,170° at 20 knots,180° at 20 knots,A,150° at 30 knots,,multiple_choice,,,,Wind Correction
15,"If an aircraft burns 0.12 liters of fuel per minute, how much fuel will it burn on a 1 hour and 17 minute flight?",6.7 KG,10.1 KG,14.6 KG,18.5 KG,A,6.7 KG,,multiple_choice,,,,Time Problems with Hours/Min/Sec
16,A C150 is cruising at a true airspeed of 60 MPH. How many meters per second does that convert to?,19.7,26.8,28.4,30.5,B,26.8,,multiple_choice,,,,Conversions
17,"You're flying a Small UAS with a maximum airspeed of 30 MPH. Your mission site is located 6 SM due south from the geometric center of a major sports stadium. A 5 NM radius TFR is active for an event at the stadium. If you were to fly full ""throttle"" directly towards the stadium, how long would it take to enter restricted airspace? [[NEXT_LINE]] KABC 120855Z 12007KT 10SM CLR 23/17 A2969",25 seconds,41 seconds,19 seconds,36 seconds,A,25 seconds,,multiple_choice,,,,Time Problems with Hours/Min/Sec
18,"The Blue Angels are about to make an appearance at the Super Bowl! The singer won't start until they receive the go-ahead from the Blue Angel coordinator at the stadium. If the national anthem takes 1 minute 59 seconds to sing, and the jets fly formation at 230 KTAS, how far away will they be when their coordinator gives the singer the signal, assuming calm winds and a straight flight path?",8.75 NM,"16,200 meters",7.6 SM,"46,200 feet",D,"46,200 feet",,multiple_choice,,,,Time Problems with Hours/Min/Sec
19,"A certain cartoon character resides in a pineapple under the sea. For every 33 feet of depth, the water pressure increases by 1 standard atmosphere. If Spongebob feels 8258 millibars of pressure, and the airport at sea level is reporting 30.22"" Hg, how deep is Spongebob's house?",269 feet,236 feet,204 feet,295 feet,B,236 feet,,multiple_choice,,,,Miscellaneous
20,"ATC wants you to descend now to cross the NIIFA intersection at 11,000' MSL. Your navigation system estimates 9 minutes 42 seconds to get there. If you're currently at FL410 and have an average ground speed of 700 KM/HR, what is your descent rate?","4,760 FPM","3,650 FPM","6,500 FPM","3,090 FPM",D,"3,090 FPM",,multiple_choice,,,,Time Problems with Hours/Min/Sec
