number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"At maximum takeoff weight, the B757 takes 7000 feet to rotate at standard temperature. Its roll increases 10% for every 10° above standard. DFW is 625 feet MSL. Assuming the runway is 13,401 feet long, and the plane rotates with 5000 feet of runway left, what was the temperature at DFW? No wind.",13.8°C,33.8°C,36.2°C,37.5°C,B,33.8°C,,multiple_choice,,,,Miscellaneous
2,"Your climb profile is 290 KIAS until reaching M 0.76. If the temperature is -30°C when this occurs, what is your altitude?",FL266,FL272,FL280,FL 287,B,FL272,,multiple_choice,,,,Airspeed / Mach
3,You're flying your incomparable Cessna 150 around. It has a VOR receiver in it! Now you've been flying for 47 minutes at 100 kts on your 125 nm flight. Your VOR indicates you are 3° right of your course. How many miles are you off your course?,3.92 sm.,4.5 sm.,2.34 sm.,2.69 sm.,B,4.5 sm.,,multiple_choice,,,,Off-Course
4,"You're in Antarctica, and it's -100°C. What's your temp in °F?",-140°,-143°,-146°,-148°,D,-148°,,multiple_choice,,,,Conversions
5,What is your groundspeed?,132 kmph.,120 mph.,133 ft/sec.,90.1 kts.,D,90.1 kts.,,multiple_choice,,Use the following information for questions 5-7. You are flying between NDB bearings. You cross the 269° bearing at 11:48:42 and then cross the 279° bearing 11:50:54. Your distance to the station is 37 kilometers.,,Time to VOR
6,"Referencing the previous question, what is your time to the station?",13.2 minutes,809 seconds,.241 hours,9.01 minutes,A,13.2 minutes,,multiple_choice,,Use the following information for questions 5-7. You are flying between NDB bearings. You cross the 269? bearing at 11:48:42 and then cross the 279? bearing 11:50:54. Your distance to the station is 37 kilometers. [[DIVIDER]] Referenced question 5: What is your groundspeed?,,Time to VOR
7,"If this were an arc, how long would a full circle be around the NDB?",238.9 km,144.9 nm,125.6 sm,232.6 km,D,232.6 km,,multiple_choice,,Use the following information for questions 5-7. You are flying between NDB bearings. You cross the 269° bearing at 11:48:42 and then cross the 279° bearing 11:50:54. Your distance to the station is 37 kilometers.,,DME arc
8,"If 15 gallons of oil weigh X number of pounds, how many quarts will we use to fill our 15 gallon capacity?",113,60,90,Unable to determine,B,60,,multiple_choice,,,,Conversions
9,"You are running from Clay Matthews at 1800 feet per minute, and he is running at 12.2 meters per second. Yeah he runs fast. If he will tackle you when he catches you in 2 seconds, how far did you have to run?",16.6 meters,80 feet,60 feet,6.5 feet,C,60 feet,,multiple_choice,,,,Overtaking aircraft
10,"If a Cessna 172 is loaded up to 2,550 lbs, and your boyfriend, who weighs ""175 pounds on the button"" hops out of the back seat at station 73 inches, what's the new CG in inches? Original CG 105.918 cm.",39.39,43.85,39.69,44.08,A,39.39,,multiple_choice,,,,Weight change
