number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,What is the equivalent distance of 700 statute miles in nautical miles?,608,810,722,934,A,608,,multiple_choice,,,,Conversions
2,"At a ground speed of 184 knots, what will be the time required to cover 288 nautical miles?",86 minutes,90 minutes,94 minutes,98 minutes,C,94 minutes,,multiple_choice,,,,Time problems with hours/min/sec
3,"While preparing to take a load of cargo to a remote backcountry airstrip in the desert, you observe two steel 55-gallon drums. The freight forwarder has told you that one is completely filled with oil and that one is completely filled with AVGAS, but he can't remember which one is which. The following questions are based on this situation: Your destination has ordered fuel only. In an attempt to determine which drum should go, you decide to use a scale. The first drum that you try weighs 355 pounds, so you decide:",that your manual flight computer has dead batteries,"to take the first drum that you weighed, since you are believe that it is fuel",that the first barrel could not possibly be fuel,that the scale has an error of 85 pounds,B,"to take the first drum that you weighed, since you are believe that it is fuel",,multiple_choice,,,,Miscellaneous
4,"Just now you have noticed that there is a label on the second drum that is so faded that you can barely read it. You can make out that it says ""Gross Weight 198 kg."" How much does the empty drum weigh?",25 pounds,50 pounds,75 pounds,100 pounds,A,25 pounds,,multiple_choice,,,,Conversions
5,"The floor in your cargo area is only approved for a load of 50 pounds per square foot. If you put the drum on a 25- pound pallet that is 36"" square, will you even be able to take a 55-gallon drum of fuel?","Yes, and there is a 5% safety margin.","Yes, and you have 8 pounds per square foot to spare.","No, you cannot take the fuel because the floor load is exceeded","No, and the floor load limit is exceeded by 16 pounds per square foot.",B,"Yes, and you have 8 pounds per square foot to spare.",,multiple_choice,,,,Miscellaneous
6,"If you fly at 107 knots for 107 minutes, how far will you have travelled?",19 statue miles,120 statute miles,190 statute miles,"220 statute miles Two aircraft are both on final for the same runway at a busy, tower-controlled airport. The controller knows that the first aircraft will fly 144 mph after crossing a point 7 nautical miles from the end of the runway. The second aircraft is behind the first, also on a final approach. Use this information to answer",D,"220 statute miles Two aircraft are both on final for the same runway at a busy, tower-controlled airport. The controller knows that the first aircraft will fly 144 mph after crossing a point 7 nautical miles from the end of the runway. The second aircraft is behind the first, also on a final approach. Use this information to answer",,multiple_choice,,,,Time problems with hours/min/sec
7,"the following questions: If the winds are calm, how long will it take the first aircraft to travel the last 5 statute miles of the approach?",1 minute and 8 seconds,1 minute and 12 seconds,1 minute and 43 seconds,2 minutes and 4 seconds,D,2 minutes and 4 seconds,,multiple_choice,,,,Time problems with hours/min/sec
8,"The controller needs to assure that as the first aircraft arrives at the runway, the second aircraft is 5 statute miles behind so that he can make room for a departure. If the second aircraft is assigned a final approach speed of 150 knots when he is 6.5 statute miles behind the first aircraft and 12.5 statute miles from the airport, will he have adequate spacing to meet the 5-statute mile criteria?","No, the first aircraft will reach the runway with only 2 statute miles of spacing","No, the second aircraft would need to fly 300 km per hour to ensure spacing","Yes, the first aircraft will land 6.2 statute miles ahead of the second.","Yes, the first aircraft will land 5.3 statute miles ahead of the second.",D,"Yes, the first aircraft will land 5.3 statute miles ahead of the second.",,multiple_choice,,,,Overtaking aircraft
9,"Perhaps the pilot of the first aircraft has a rusty instrument scan, and actually flies 10 mph slower than his assigned speed. If the wind picks up to a 5-knot headwind component, what will his ground speed be on final?",127 knots,128 mph,154 knots,167 mph,B,128 mph,,multiple_choice,,,,Miscellaneous
10,"If the Density Altitude is 8000 feet and the temperature is 10°C, what is the pressure altitude?",8900 feet,7900 feet,6900 feet,6000 feet,C,6900 feet,,multiple_choice,,,,Density altitude
