number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"The manufacturer testing data notes that your airplane experiences 450 lbs. of parasite drag at a normal cruise speed of 145 knots. You remember from your aerodynamics class that parasite drag increases with the square of an increase in airspeed. If you slow down to 60 knots, how much parasite drag is the airplane experiencing?",76.8 lbs.,129.7 lbs.,185.9 lbs.,290.3 lbs.,A,76.8 lbs.,,multiple_choice,,,,Miscellaneous
2,"Your airplane has a 54"" diameter propeller, and the normal cruise power setting is 2400 RPM. In cruise, how fast are the propeller tips traveling?",565'/sec,1130'/sec,"6,800'/sec","33,960'/sec",A,565'/sec,,multiple_choice,,,,Multiplication / division
3,"Your B-model Cessna 182 is indicating 147 mph in cruise at 4,500' (ISA). If your handheld GPS shows a ground speed of 124 knots, what headwind component are you experiencing?",13 KTS,16 KTS,25 KTS,34 KTS,A,13 KTS,,multiple_choice,,,,Wind correction
4,"You have been hired to do a flyover of a stadium with your vintage F-86 on a blistering 95°F summer day. You are orbiting at low altitude 5 nm from the stadium when you get the radio call marking 5 minutes until the flyover. If you are going to make the approach and pass at Mach 0.90, when should you depart your orbit point? Assume calm winds.","3 minutes, 52 seconds after the radio call","4 minutes, 11 seconds after the radio call","4 minutes, 31 seconds after the radio call","4 minutes, 47 seconds after the radio call",C,"4 minutes, 31 seconds after the radio call",,multiple_choice,,,,Time problems with hours/min/sec
5,"You are following a standard 3° ILS glide slope for runway 17 (0' MSL). As you pass 3000', you know that the winds aloft are 140@16 kts, and your approach speed is 110 knots indicated. The OAT is showing 18°C, and the altimeter setting is 29.66"". What descent rate should keep you on the glide slope?",519'/min,551'/min,584'/min,627'/min,B,551'/min,,multiple_choice,,,,Rate of descent
6,"Your airplane has a current ramp weight of 2089 lbs. and a CG of 44.9 inches. You are trying to load it to the aft CG limit for maximum aerodynamic efficiency. How much ballast should you add to the aft baggage compartment (sta. 95"") to get the airplane to the aft CG limit of 47.3""?",53 lbs.,87 lbs.,101 lbs.,105 lbs.,D,105 lbs.,,multiple_choice,,,,Weight shift
7,"As you break out of the clouds, you see the MALSR lighting system at the approach end of the runway. You remember from instrument ground school that the RAIL (runway alignment indicator light, i.e. ""rabbit"") is 800' long and the lights flash in sequence twice per second. How fast does the ""rabbit"" appear to move?",272 MPH,948 MPH,1091 MPH,1600 MPH,C,1091 MPH,,multiple_choice,,,,Miscellaneous
8,"You are testing your new VOR/DME receiver, and you plan to depart the VOR on the 100 radial and fly to 25 DME. Reaching 25 DME, you will arc North and fly the 060 radial back to the VOR. If the winds are calm, and you are cruising at 118 KTAS, how long does it take to complete the test?","32 minutes, 48 seconds","34 minutes, 18 seconds","35 minutes, 42 seconds","36 minutes, 30 seconds",B,"34 minutes, 18 seconds",,multiple_choice,,,,DME arc
9,"You are approaching your home airport on a 346 course. When you are 18 nm away, you hear your friend call up on the CTAF, and she reports her position as 13 nm and flying a 256 course. How far away from your friend are you?",19.5 NM,22.2 NM,24.3 NM,26.9 NM,B,22.2 NM,,multiple_choice,,,,Miscellaneous
10,How fast is an aircraft flying if it burned 512 fluid ounces of avgas at a rate of 42.4 liters per hour over 86 statute miles?,241 KTS,306 MPH,344 MPH,388 KM/HR,D,388 KM/HR,,multiple_choice,,,,Fuel burn / fuel required
11,"What is the density altitude for an airport elevation of 2,570' with temperature of 95°F and altimeter setting of 29.09"" Hg?","6,200'","4,000'","2,800'","1,600'",A,"6,200'",,multiple_choice,,,,Density altitude
