number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"Tuning in the ATIS, you hear winds of 300° at 13 knots, gusting to 21 knots. What is the steady headwind component on runway 35R?",13 MPH,10 KTS,10 MPH,13 KTS,C,10 MPH,,multiple_choice,,,,Crosswind component
2,"Upon receiving the fuel slip, you review the amount of fuel uploaded to make sure you were charged appropriately. The slip says 11,300 liters were pumped (You're in Cancun today). How many U.S. gallons is this?","2,985 GALS","42,770 GALS",298.5 GALS,"4,277 GALS",A,"2,985 GALS",,multiple_choice,,,,Conversions
3,"Your aircraft has two altimeters. On the ground, Altimeter A reads 5,360 feet, and Altimeter B reads 5,420 feet. If the difference between the altimeters increases by 10% for every 10,000 feet you climb, what will Altimeter B read if Altimeter A indicates 35,000 feet?","34,920 FT","35,080 FT","35,020 FT","34,980 FT",B,"35,080 FT",,multiple_choice,,,,Miscellaneous
4,You are inbound on the 147° radial to JVL VOR. You are to intercept and fly the 13 NM DME arc south and west. How far have you flown on the arc if you exit at the 237° radial?,20.4 NM,"23,300 Meters",17.7 SM,61 NM,A,20.4 NM,,multiple_choice,,,,DME arc
5,How long will it take you to fly that distance at a ground speed of 174 kilometers per hour?,38.9 MINS,11.3 MINS,708 SECS,13.0 MINS,D,13.0 MINS,,multiple_choice,,Referenced question 4: You are inbound on the 147° radial to JVL VOR. You are to intercept and fly the 13 NM DME arc south and west. How far have you flown on the arc if you exit at the 237° radial?,,DME arc
6,"You plan to use a nice and shallow 2.5° descent all the way to your destination. At an altitude of 35,000 feet with a landing elevation of 13 feet, how far out do you need to start your descent with an average ground speed of 358 knots?",105 NM,115 NM,132 NM,140 NM,C,132 NM,,multiple_choice,,,,60:1 Rule
7,"(Using the information from the previous question) Unfortunately, ATC keeps you at 35,000 longer than you would like. They allow you to start your descent just 99 nm from your destination. You start down at a 4° angle to recapture your path. How long before you are back on your desired 2.5° glide path?",You never recapture the 2.5° path.,Approximately 44 nautical miles from the destination,About 9.2 minutes from the destination,Just around 63 statute miles from the destination,B,Approximately 44 nautical miles from the destination,,multiple_choice,,"Referenced question 6: You plan to use a nice and shallow 2.5° descent all the way to your destination. At an altitude of 35,000 feet with a landing elevation of 13 feet, how far out do you need to start your descent with an average ground speed of 358 knots?",,60:1 Rule
8,A jet flying directly west at FL290 is going 1 NM every 10 seconds. What Mach number is being maintained? Winds at that altitude are 290@55 and temperature is ISA +10°C.,Mach 0.51,Mach 0.68,Mach 0.61,Mach 0.86,B,Mach 0.68,,multiple_choice,,,,Airspeed / Mach
9,An experienced skydiver plans to jump over a sporting event and land centerfield. The jump from 9000' AGL to touchdown is estimated to take 52 seconds. What is the average descent rate in knots?,102.5 KTS,118 KTS,150 KTS,130.5 KTS,A,102.5 KTS,,multiple_choice,,,,Rate of descent
10,"Based on the previous question, where should the skydiver be positioned relative to the landing target at 9000' AGL? Assume the skydiver drifts with the wind, time is divided equally at each altitude, and wind change is linear between altitudes. Winds aloft are: [[TABLE]]",0.15 NM North,0.37 NM Northeast,0.42 NM Southwest,0.36 NM Southwest,D,0.36 NM Southwest,,multiple_choice,,Referenced question 9: An experienced skydiver plans to jump over a sporting event and land centerfield. The jump from 9000' AGL to touchdown is estimated to take 52 seconds. What is the average descent rate in knots?,"{""type"":""table"",""headers"":[""Altitude"",""Wind""],""rows"":[[""9000'"",""270°@31KTS""],[""6000'"",""250°@23KTS""],[""3000'"",""210°@22KTS""]]}",Wind correction
