number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
1,"Engine indications for turbine engines can be displayed as a percentage of maximum rotational speed. If the maximum for a given engine is 9000 RPM, what is 73% of that?",5325,6570,7390,8111,B,6570,simple math percentage,multiple_choice,,,,Multiplication
2,"After flying 190 minutes at 190 knots, how far have you traveled?",60.1 NM,601 NM,113 KM,"1,311 KM",B,601 NM,Speed Distance Time,multiple_choice,,,,Time Problems with Hours/Min/Sec
3,"ATC issued an altitude crossing restriction but the pilot got distracted and forgot to start their descent. With 27 NM remaining, they are still at FL290 and need to descend to 17,000' MSL. Assume standard pressure and an average ground speed of 450 knots in the descent. What is the required descent angle?",4.4°,3.3°,3.8°,4.2°,D,4.2°,descent angle,multiple_choice,,,,Climb Gradient
4,Reference the previous question. What is the minimum descent rate needed to meet that restriction?,"3,333 FPM","2,812 FPM","4,444 FPM","2,450 FPM",A,"3,333 FPM",ft/nm fpm,multiple_choice,,"Referenced question 3: ATC issued an altitude crossing restriction but the pilot got distracted and forgot to start their descent. With 27 NM remaining, they are still at FL290 and need to descend to 17,000' MSL. Assume standard pressure and an average ground speed of 450 knots in the descent. What is the required descent angle?",,Climb Gradient
5,"What is the density altitude on a hot summer day (97°F) at a mountainous airport (Elev. 4911') with an altimeter setting of 29.65"" Hg?","5,600'","6,850'","7,750'","8,800'",D,"8,800'",density altitude,multiple_choice,,,,Miscellaneous
6,"Your aircraft navigation system measures the drift of its computed position from actual position. Currently that drift is 0.15 NM per hour. After flying 752 SM at an average ground speed of 218 knots, the computed position could be within an area of how many nautical miles from the actual position?",0.64 NM,6.4 NM,0.85 NM,8.5 NM,A,0.64 NM,math area of circle,multiple_choice,,,,Multiplication
7,"Flying inbound on a course of 205° to a VFR reporting point 24.5 kilometers away, you see another aircraft ahead of you and decide to offset. You turn 30° to the left and fly for 4 minutes. Turning back direct the VFR reporting point, your ground track is now 235°. If you maintain 115 knots the whole time and assume calm winds, how long will it take to reach the VFR reporting point?",2 minutes,2.6 minutes,3.1 minutes,4 minutes,D,4 minutes,math - isosceles,multiple_choice,,,,Courses and Headings
8,"While flying downwind at 85 KTAS for Runway 32 (MC of 332°) with winds aloft of 020° at 14 knots, what heading is required to avoid drifting?",339°,323°,152°,145°,D,145°,wind heading,multiple_choice,,,,Wind Correction
9,"Jack took off out of KOSH on his way to KJVL, on a course of 195° cruising across the ground at 72 KTS. Jill takes off in the opposite direction going from KJVL to KOSH on the 84.5 NM journey getting a ground speed of 110 KTS. (Wind is 220° at 21 KTS and both airplanes fly at 91 KTAS.) At what point will they pass each other?",51.07 NM into Jack's flight,51.07 NM into Jill's flight,60.05 NM into Jack's flight,60.06 NM into Jill's flight,B,51.07 NM into Jill's flight,ETP,multiple_choice,,,,Equal Time Point
10,"Reference the previous question. KOSH is on MSN radial 031° and KJVL is on MSN radial 155°. After reaching KJVL, how much time would it take Jack if he now turned to fly to MSN?",34.1 minutes,25.1 minutes,46.8 minutes,30.6 minutes,B,25.1 minutes,ETP,multiple_choice,,"Referenced question 9: Jack took off out of KOSH on his way to KJVL, on a course of 195° cruising across the ground at 72 KTS. Jill takes off in the opposite direction going from KJVL to KOSH on the 84.5 NM journey getting a ground speed of 110 KTS. (Wind is 220° at 21 KTS and both airplanes fly at 91 KTAS.) At what point will they pass each other?",,Time to VOR
11,"A pilot in the Message Drop event flies at 90 knots over Runway 22 (6,701' long) in Janesville. The targets are located at each end of the runway. How long will the pilot have between the two drops?",51 seconds,15 seconds,91 seconds,44 seconds,D,44 seconds,SDT,multiple_choice,,,,Time Problems with Hours/Min/Sec
12,"You want to visit your friend Josh just outside of Billings. When you check in with KBIL tower, they clear you to land on Runway 10R (3,800' long). You know the approach end of the runway is 3,662' MSL and the departure end is 3,614' MSL. What is the slope of the runway?",0.792%,0.0792%,1.26%,0.126%,C,1.26%,math slope,multiple_choice,,,,Division
13,"The winds are 340° at 30 knots. If you are landing on Runway 31, what is the crosswind component?",26 knots from the left,15 knots from the left,26 knots from the right,15 knots from the right,D,15 knots from the right,XW,multiple_choice,,,,Wind Correction
14,"What is the speed of sound at 10,000' MSL on a standard day?",640 km/h,1220 km/h,1175 km/h,1200 km/h,C,1175 km/h,mach TAS,multiple_choice,,,,Miscellaneous
15,"A pilot's medical reads 6' 5"" for their height. Upon disembarking in the UK, the customs form requests the pilot's height in centimeters. What should the pilot write down?",174 cm,198 cm,195 cm,183 cm,C,195 cm,in - cm,multiple_choice,,,,Conversions
