number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,"There you were on a heading of 095° when you realize that you are 11 NM off course to the right. If you have traveled 68 NM up to this point, how many degrees must you turn to parallel your intended course?",1°,9°,12°,16°,B,9°,,multiple_choice,,,
2,"In the previous problem, if you have 195 km left to destination, how many total degrees would you have to turn to intercept the original course 15 SM before your destination?",7°,12°,15°,16°,D,16°,,multiple_choice,,"Referenced question 1: There you were on a heading of 095° when you realize that you are 11 NM off course to the right. If you have traveled 68 NM up to this point, how many degrees must you turn to parallel your intended course?",
3,"You are planning a flight to Grandma's airport, which is 155 SM away. True course is 085°. True airspeed is 127 knots. Winds are 300@17 knots. If fuel burn is 8.6 gph, how much fuel will you burn flying to Grandma's? Use given data for all phases of flight.",8.2 gal,9.2 gal,9.5 gal,10.4 gal,A,8.2 gal,,multiple_choice,,,
4,"You are tracking inbound to the EDY VOR on the 030° radial. At the point you cross over EDY you have 28.5 gal of fuel and are experiencing a 20 knot headwind. Your TAS is 126 knots. Assuming you have a constant burn rate of 11.3 gph, how far can you fly past EDY before having to turn around and cross back over EDY with 1 hour and 15 minutes of fuel left? Winds remain constant.",75 NM,78 NM,116 NM,156 NM,B,78 NM,,multiple_choice,,,
5,An aircraft is flying inbound to the ECK VORTAC on the 186° radial. The pilot intercepts the 27 DME arc and flies clockwise. How far has the aircraft traveled on the arc if he departs it at the 310° radial?,51 NM,170 NM,124 NM,58 NM,D,58 NM,,multiple_choice,,,
6,Given: [[NEXT_LINE]] Wind: 185@18 kts [[NEXT_LINE]] TC: 285° [[NEXT_LINE]] TAS: 125 kts [[NEXT_LINE]] Find: Groundspeed,123 kts,120 kts,127 kts,125 kts,C,127 kts,,multiple_choice,,,
7,"Using the data from the previous problem, what is your TH?",285°,293°,266°,277°,D,277°,,multiple_choice,,Referenced question 6: Given: [[NEXT_LINE]] Wind: 185@18 kts [[NEXT_LINE]] TC: 285° [[NEXT_LINE]] TAS: 125 kts [[NEXT_LINE]] Find: Groundspeed,
8,Given: [[NEXT_LINE]] Wind: 315@12 kts [[NEXT_LINE]] TH: 010° [[NEXT_LINE]] TAS: 116 kts [[NEXT_LINE]] Find: Groundspeed,108 kts,123 kts,121 kts,110 kts,D,110 kts,,multiple_choice,,,
9,"Using the data from the previous problem, what is your WCA?",5° L,5° R,4° R,7° L,A,5° L,,multiple_choice,,Referenced question 8: Given: [[NEXT_LINE]] Wind: 315@12 kts [[NEXT_LINE]] TH: 010° [[NEXT_LINE]] TAS: 116 kts [[NEXT_LINE]] Find: Groundspeed,
10,Given: [[NEXT_LINE]] TAS: 143 mph [[NEXT_LINE]] GS: 120 mph [[NEXT_LINE]] TC: 130° [[NEXT_LINE]] TH: 139° [[NEXT_LINE]] Find: Wind velocity,189@26 kts,177@27 kts,185@28 kts,177@31 kts,B,177@27 kts,,multiple_choice,,,
11,Given: [[NEXT_LINE]] Wind: 230@20 kts [[NEXT_LINE]] TAS: 145 kts [[NEXT_LINE]] TH: 005° [[NEXT_LINE]] Find: Groundspeed,130 kts,132 kts,158 kts,160 kts,D,160 kts,,multiple_choice,,,
12,Given: [[NEXT_LINE]] TAS: 110 mph [[NEXT_LINE]] TH: 219° [[NEXT_LINE]] Wind: 055@35 mph [[NEXT_LINE]] Find: TC,214°,223°,211°,225°,B,223°,,multiple_choice,,,
13,What is your groundspeed in the previous problem?,232 kmph,144 kmph,124 kmph,177 kmph,A,232 kmph,,multiple_choice,,Referenced question 12: Given: [[NEXT_LINE]] TAS: 110 mph [[NEXT_LINE]] TH: 219° [[NEXT_LINE]] Wind: 055@35 mph [[NEXT_LINE]] Find: TC,
14,"If your TAS is 100 knots, compass heading is 306°, true course is 300°, magnetic variation is 8E and deviation is +3, then what is your magnetic course?",295°,311°,303°,292°,D,292°,,multiple_choice,,,
15,"In the previous problem, what is your crosswind component?",19 knots,11 knots,14 knots,5 knots,A,19 knots,,multiple_choice,,"Referenced question 14: If your TAS is 100 knots, compass heading is 306°, true course is 300°, magnetic variation is 8E and deviation is +3, then what is your magnetic course?",
16,You are flying along with a constant TAS of 110 knots. You wish to impress your passengers by estimating actual winds. With your trusty Gatty Drift Indicator you take the following readings: [[NEXT_LINE]] On TH of 065° drift is 8° R [[NEXT_LINE]] On TH of 110° drift is 4° R [[NEXT_LINE]] On TH of 020° drift is 13° R [[NEXT_LINE]] What is your best estimate of winds aloft?,127@21 knots,290@28 knots,308@22 knots,323@16 knots,C,308@22 knots,,multiple_choice,,,
17,"Refer to the previous problem. If you stayed on a TH of 065° and your OAT is -30°C, what is your mach number?",.16 mach,.18 mach,.20 mach,.22 mach,B,.18 mach,,multiple_choice,,Referenced question 16: You are flying along with a constant TAS of 110 knots. You wish to impress your passengers by estimating actual winds. With your trusty Gatty Drift Indicator you take the following readings: [[NEXT_LINE]] On TH of 065° drift is 8° R [[NEXT_LINE]] On TH of 110° drift is 4° R [[NEXT_LINE]] On TH of 020° drift is 13° R [[NEXT_LINE]] What is your best estimate of winds aloft?,
