number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,"After trying your hand at dead reckoning, you peek at your GPS and notice that you are 6 nm off course. If you were flying for 32 minutes at an average ground speed of 140 mph, how many degrees must you adjust your heading to parallel your original intended course?",5.5°,55°,6.5°,65°,A,5.5°,,multiple_choice,,,
2,"Referring to the previous question, if you wish to rejoin your intended course in 24 nm from your current position, what must your total heading change be from your original heading?",7.0°,8.0°,20.5°,70.0°,C,20.5°,,multiple_choice,,"Referenced question 1: After trying your hand at dead reckoning, you peek at your GPS and notice that you are 6 nm off course. If you were flying for 32 minutes at an average ground speed of 140 mph, how many degrees must you adjust your heading to parallel your original intended course?",
3,"Today is Metric Practice Area Call Day. Before you begin to ""teach"" your instructor chandelles, you determine what to say in your practice area call. You are currently 8.4 nm south of Triple W airport at 5,400'. What should you say in your practice area call?","You are 15.6 km north of Triple W at 1,650 meters altitude.","You are 9.6 km south of Triple W at 17,700 meters altitude.","You are 13.5 km north of Triple W at 17,600 meters altitude.","You are 15.6 km south of Triple W at 1,650 meters altitude.",D,"You are 15.6 km south of Triple W at 1,650 meters altitude.",,multiple_choice,,,
4,"After loading your Boeing 737-400 for its daily flight to Cuba, you realize that your CG is too far aft. If your current weight is 124,000 lbs. with your CG 1 foot behind the aft limit, how many 45 lb. bags must you move from the aft cargo bay located at Station 80.5 (feet) to the forward cargo bay located at Station 23 (feet)?",5 bags,22 bags,24 bags,48 bags,D,48 bags,,multiple_choice,,,
5,"While descending through 18,000 feet into Atlanta-Hartsfield (elev. 1026 ft. MSL), you forget to set your altimeter to the local altimeter setting. If your altimeter is still set to the standard altimeter setting and barometric pressure is 30.24 in. Hg, what will your altimeter read when you pull into the gate?",706 ft. MSL,994 ft. MSL,1026 ft. MSL,1346 ft. MSL,A,706 ft. MSL,,multiple_choice,,,
6,"You decide to live on the edge and fly a Cessna 172 from Palm Beach International, Florida to Grand Bahama International, Bahamas. Using the following information, how far from Grand Bahama will you be when it will take just as long to continue to Grand Bahama as it will to turn around and go back to Palm Beach? [[NEXT_LINE]] Distance between airports: 76 nm [[NEXT_LINE]] Pressure Altitude: 7,000' MSL [[NEXT_LINE]] Indicated Airspeed: 116 KIAS [[NEXT_LINE]] OAT: 6°C [[NEXT_LINE]] True Course from Palm Beach: 095° [[NEXT_LINE]] True Wind: 302° at 39 mph [[NEXT_LINE]] Fuel On Board/Fuel Flow: 48 US gallons / 63 lb./hr.",29 nm,29 sm,47 nm,47 sm,C,47 nm,,multiple_choice,,,
7,"Referring to the previous question, what will your true heading be on the way to Grand Bahama International?",082°,088°,102°,108°,B,088°,,multiple_choice,,"Referenced question 6: You decide to live on the edge and fly a Cessna 172 from Palm Beach International, Florida to Grand Bahama International, Bahamas. Using the following information, how far from Grand Bahama will you be when it will take just as long to continue to Grand Bahama as it will to turn around and go back to Palm Beach? [[NEXT_LINE]] Distance between airports: 76 nm [[NEXT_LINE]] Pressure Altitude: 7,000' MSL [[NEXT_LINE]] Indicated Airspeed: 116 KIAS [[NEXT_LINE]] OAT: 6°C [[NEXT_LINE]] True Course from Palm Beach: 095° [[NEXT_LINE]] True Wind: 302° at 39 mph [[NEXT_LINE]] Fuel On Board/Fuel Flow: 48 US gallons / 63 lb./hr.",
8,"While flying around in your Piper Cub at a true airspeed of 78 KTAS, you decide to estimate the winds aloft. While flying a magnetic heading of 232°, you drift 6° to the right. Then while flying a magnetic heading of 127°, you drift 7° to the left. What are your magnetic winds aloft?",005° at 8 knots,010° at 11 knots,185° at 8 knots,190° at 11 knots,D,190° at 11 knots,,multiple_choice,,,
9,"While descending at 2,400 fpm, your descent gradient is 318 ft./nm. What is your ground speed?",79 knots,91 knots,452 mph,521 mph,D,521 mph,,multiple_choice,,,
10,"While cruising at FL340, your indicated airspeed is 264 KIAS. The outside air temperature is 8°C above standard. What is your Mach number?",Mach 0.44,Mach 0.74,Mach 0.81,Mach 0.84,C,Mach 0.81,,multiple_choice,,,
