number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,Winds are forecast to be 330° at 17 knots. You are planning a flight along a true course of 205° at 112 KTAS. Variation in the area is 16° W and your compass correction is +4°. What magnetic heading should you fly?,212°,228°,232°,205°,B,228°,3.a.ii,multiple_choice,,,,Courses and headings
2,"Reference the previous question. If your planned fuel flow is 9 gph and your destination is 71 nm away, how much fuel will you need with a 30-minute reserve?",5.3 gallons,7.6 gallons,9.8 gallons,11.2 gallons,C,9.8 gallons,2.b.ii,multiple_choice,,Referenced question 1: Winds are forecast to be 330° at 17 knots. You are planning a flight along a true course of 205° at 112 KTAS. Variation in the area is 16° W and your compass correction is +4°. What magnetic heading should you fly?,,Fuel burn / fuel required
3,"In order to avoid trees at the approach end of the runway, you will fly a 4° descent angle. If your approach speed is 72 knots, what rate of descent will you target?",509 fpm,353 fpm,424 fpm,689 fpm,A,509 fpm,2.d.ii,multiple_choice,,,,Rate of descent
4,"You are departing an airport with a field elevation of 989'. If the temperature is 68°F and the altimeter setting is 29.68"" Hg, what is the density altitude?","2,079'","1,067'","1,748'","2,361'",A,"2,079'",2.h.iii,multiple_choice,,,,Density altitude
5,"You add 36 gallons of Avgas into the fuel tank at an arm of 23"". If the aircraft weighed 2,167 lbs and had a CG of 46.57"" before refueling, what will the CG be after fueling?","44.22""","44.43""","48.71""","46.78""",B,"44.43""",2.k.ii,multiple_choice,,,,Weight change
6,"You now decide to move 30 lbs from the baggage area, 75"", to the back seat, 47"". What will be the new CG?","44.78""","46.22""","45.61""","44.08""",D,"44.08""",2.j.i,multiple_choice,,"Referenced question 5: You add 36 gallons of Avgas into the fuel tank at an arm of 23"". If the aircraft weighed 2,167 lbs and had a CG of 46.57"" before refueling, what will the CG be after fueling?",,Weight shift
7,"Your new-to-you 1952 Cessna 150 burns a bit of oil. After reviewing the logs, you've decided to find out exactly how much oil has been put through your engine. It turns out that 216 pints have been added over the years. How many kilograms is that?",202.5 kg,83.28 kg,183.70 kg,91.85 kg,D,91.85 kg,1.d.iii,multiple_choice,,,,Conversions
8,"During planning for a VFR cross-country flight, you determine that the first leg of your route is 112 nm. You calculate a ground speed of 243 km/hr. You'll lean for Best Economy and average 9.7 gph. How many gallons of fuel will be required for this leg including a 30-minute reserve?",8.3 gallons,13.2 gallons,9.4 gallons,12.1 gallons,B,13.2 gallons,2.b.ii,multiple_choice,,,,Fuel burn / fuel required
9,"You need to replace the tie-down ropes for your parking ""T"" on the ramp. You need three separate ropes, one for each wing and one for the tail. The wing tie-downs are 1.68 m above the ground. The tail tie-down is 1.07 m above the asphalt. If you add 24 inches for tying knots, how much total rope do you need to buy?","6' 6""","11' 0""","16' 7""","10' 3""",C,"16' 7""",1.c.i,multiple_choice,,,,Miscellaneous
10,"According to your performance calculations, you'll need 716 meters of runway to clear the standard 50' obstacle at the end of the runway. However, the winds reported by the tower are 340° at 16 kts. You're departing from runway 2. The charts allow you to subtract 50' for every 2 kts of headwind or add 100' for every knot of tailwind. What is your corrected takeoff distance?","3,580'","2,043'","1,872'","3,410'",B,"2,043'",3.e.ii,multiple_choice,,,,Miscellaneous
