number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"If the takeoff roll distance of an airplane is 283 yards, and the distance to clear a 50 foot obstacle is 145% of the takeoff roll, what is the total takeoff distance required to clear the obstacle?",410 yards,256 meters,849 feet,1350 feet,A,410 yards,,multiple_choice,,,,Multiplication / division
2,"If the previous takeoff roll distance is to be reduced by 28 feet for each knot of headwind component, the winds are 330@15 mph, and the takeoff runway is 26, what is the wind-corrected takeoff roll?",723 feet,198 meters,681 feet,1015 feet,A,723 feet,,multiple_choice,,"Referenced question 1: If the takeoff roll distance of an airplane is 283 yards, and the distance to clear a 50 foot obstacle is 145% of the takeoff roll, what is the total takeoff distance required to clear the obstacle?",,Miscellaneous
3,"After that takeoff, the average rate of climb is 1680 fpm for 200 feet and 1120 fpm for the rest of the climb. How long will it take to climb from the airport elevation of 985 feet to 3500 feet MSL?",187 seconds,131 seconds,134 seconds,2 minutes,B,131 seconds,,multiple_choice,,,,Rate of climb
4,"Assuming the wind was constant during the test flight, what was the wind?",180@10 knots,180@15 mph,360@35 km/hr,360@17 mph,D,360@17 mph,,multiple_choice,,"You do not know what the correction is from IAS to CAS on a new airplane. You fly at a constant indicated 55 knots on two reciprocal headings, 180 and 360, to collect data. The pressure altitude is 3655 and the OAT is 20°F. The southbound run lasts 67 seconds and covers 1.4 nautical miles. The northbound run lasts 112 seconds and covers the same 1.4 nautical miles. Use this information to answer the next four questions.",,Wind correction
5,"Keeping in mind that the IAS is suspected to be unreliable, what was the TAS?",52 knots,55 mph,60 mph,60 knots,D,60 knots,,multiple_choice,,"You do not know what the correction is from IAS to CAS on a new airplane. You fly at a constant indicated 55 knots on two reciprocal headings, 180 and 360, to collect data. The pressure altitude is 3655 and the OAT is 20°F. The southbound run lasts 67 seconds and covers 1.4 nautical miles. The northbound run lasts 112 seconds and covers the same 1.4 nautical miles. Use this information to answer the next four questions.",,Airspeed / Mach
6,What was the density altitude at the time of the test?,1888 feet,2405 feet,3508 feet,5069 feet,A,1888 feet,,multiple_choice,,"You do not know what the correction is from IAS to CAS on a new airplane. You fly at a constant indicated 55 knots on two reciprocal headings, 180 and 360, to collect data. The pressure altitude is 3655 and the OAT is 20°F. The southbound run lasts 67 seconds and covers 1.4 nautical miles. The northbound run lasts 112 seconds and covers the same 1.4 nautical miles. Use this information to answer the next four questions.",,Density altitude
7,"You repeat the test using an indicated speed of 50 knots under the same atmospheric conditions. In this second case, you calculate that your true airspeed is 55 knots. Find your CAS and determine that in this condition, the airspeed indicator's presentation is:",There is no error,6 knots slow,6 knots fast,4 knots slow,D,4 knots slow,,multiple_choice,,"You do not know what the correction is from IAS to CAS on a new airplane. You fly at a constant indicated 55 knots on two reciprocal headings, 180 and 360, to collect data. The pressure altitude is 3655 and the OAT is 20°F. The southbound run lasts 67 seconds and covers 1.4 nautical miles. The northbound run lasts 112 seconds and covers the same 1.4 nautical miles. Use this information to answer the next four questions.",,Airspeed / Mach
8,You fly a heading of 320 and drift 6? right. Then you fly a heading of 260 and drift 3? left. Your TAS is 155 knots. What is the wind direction and speed?,100 @ 22 knots,280 @ 21 knots,300 @ 13 mph,270 @ 15 mph,B,280 @ 21 knots,,multiple_choice,,,,Wind correction
9,You cross 8° of radials from a VOR in 4.5 minutes. How long will it take for you to fly directly to the VOR?,30 minutes,3.3 minutes,40 minutes,34 minutes,D,34 minutes,,multiple_choice,,,,Time to VOR
10,"Reading your altitude of 500' (with 30.01"" altimeter setting) on final you realize you forgot to set the current local altimeter setting, 30.24"". What is your actual altitude AGL if the elevation is 133'?",730 feet,597 feet,270 feet,137 feet,B,597 feet,,multiple_choice,,,,Miscellaneous
11,What is your TAS?,130 knots,150 mph,149 knots,135 mph,C,149 knots,,multiple_choice,,"Use the following data for questions 11-14: [[NEXT_LINE]] TC: 170 outbound Pressure altitude: 5,000' IAS: 140 knots. [[NEXT_LINE]] Winds: 200 @ 25 knots OAT: 0 C Fuel: 40 US gal Burn: 9.5 gph.",,Airspeed / Mach
