number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,495 statute miles =,569 NM,422 NM,430 NM,516 NM,C,430 NM,,multiple_choice,,,,Conversions
2,What is the density altitude? Given: [[TABLE]],3900',5100',4800',3100',A,3900',,multiple_choice,,,"{""type"":""table"",""headers"":[""Item"",""Value""],""rows"":[[""Field elevation"",""2970'""],[""Air temperature"",""71°F""],[""Altimeter setting"",""30.31\""""]]}",Density Altitude
3,How much fuel will you burn in 2:34:00 at 11.3 GPH?,25.7 gal.,29.0 gal.,23.4 gal.,30.7 gal.,B,29.0 gal.,,multiple_choice,,,,Fuel Burn / Fuel Required
4,"Based on the following data, what will your True Heading be? [[TABLE]]",085,073,080,068,C,080,,multiple_choice,,,"{""type"":""table"",""headers"":[""Item"",""Value""],""rows"":[[""True course"",""074""],[""Wind"",""129 @ 17 kts.""],[""Magnetic variation"",""5°W""],[""Magnetic deviation"",""3°E""],[""True airspeed"",""128 kts.""]]}",Wind Correction
5,How long will it take to travel 441 NM at a groundspeed of 424 km/h?,1:02:25,1:44:01,1:18:47,1:55:33,D,1:55:33,,multiple_choice,,,,Time Problems with Hours/Min/Sec
6,You need to clear a hilltop that is 3.1 NM from the end of the runway and is 2300' above the runway elevation. You estimate your groundspeed during the climb to be 78 kts. To clear the hilltop by 500' what must your minimum rate of climb be?,1174 ft./min.,961 ft./min.,715 ft./min.,1053 ft./min.,A,1174 ft./min.,,multiple_choice,,,,Climb Gradient
7,What is the wind correction angle? Given: [[TABLE]],9 W,7 W,6 E,8 E,A,9 W,,multiple_choice,,,"{""type"":""table"",""headers"":[""Item"",""Value""],""rows"":[[""Wind"",""290@28kts.""],[""True course"",""159°""],[""True airspeed"",""131 kts""]]}",Wind Correction
8,"You began a trip with full tanks. So far you've traveled for 2:32:00 at a ground speed of 118 mph and used 27 gallons of fuel. With 1:27:00 of flying time, 216 sm remaining and a ground speed of 127 kts., how much fuel will it take to fill the tanks at the end of the flight-.",26.9 gal.,42.5 gal.,32.6 gal.,15.7 gal.,B,42.5 gal.,,multiple_choice,,,,Fuel Burn / Fuel Required
9,How long will it take to travel 380 statute miles? Given: [[TABLE]],2:16,1:50,1:59,2:09,C,1:59,,multiple_choice,,,"{""type"":""table"",""headers"":[""Item"",""Value""],""rows"":[[""Average Ground Speed"",""167 kts.""],[""True Course"",""205""],[""Winds"",""332 @ 24 kts.""]]}",Time Problems with Hours/Min/Sec
10,What is your true altitude? Given: [[TABLE]],"12,050'","10,830'","12,880'","10,410'",B,"10,830'",,multiple_choice,,,"{""type"":""table"",""headers"":[""Item"",""Value""],""rows"":[[""Indicated altitude"",""12,100'""],[""Outside air temperature"",""-34°F""],[""Pressure altitude"",""same as indicated""]]}",True Altitude
