number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,Total Weight 7450 lbs CG location 81.5 Aft CG limit 79.8 How much weight must be shifted from station 150 to station 31 to move the CG to exactly the aft CG limit?,72.8 lbs,96.1 lbs,84.4 lbs,106.4 lbs,D,106.4 lbs,,multiple_choice,,,
2,Aircraft Weight 6000 lbs CG location 79.4 What is the location of the CG if 78 lbs were removed from station 135?,80.2,77.8,78.7,79.6,C,78.7,,multiple_choice,,,
3,You travel 5 nm in 2 minutes 13 seconds. Your TAS is 140 kts. Your ground track is 342° and your desired TC was 350°. Your MH is 346° with a 7 E variation. What's the wind direction (True) and wind speed?,061@32 kts,067@27 kts,074@23 kts,079@25 kts,B,067@27 kts,,multiple_choice,,,
4,Your TAS is 134 kts. TC out is 354° and wind is 116@25 kts. How long can you fly before turning back with 3 hours and 55 minutes of fuel on board?,1 hour 8 minutes,1 hour 45 minutes,2 hours 8 minutes,1 hour 31 minutes,B,1 hour 45 minutes,,multiple_choice,,,
5,How far can you fly before turning back?,294 sm,208 sm,303 sm,255 sm,A,294 sm,,multiple_choice,,Referenced question 4: Your TAS is 134 kts. TC out is 354° and wind is 116@25 kts. How long can you fly before turning back with 3 hours and 55 minutes of fuel on board?,
6,2.97 nm equals how many meters?,5500,4810,6050,5790,A,5500,,multiple_choice,,,
7,1722 lbs of oil equals how many 55 gallon barrels?,5.2,4.7,2.3,4.2,D,4.2,,multiple_choice,,,
8,231 liters equals how many Imperial Gallons?,60.1,50.8,105.7,55.7,B,50.8,,multiple_choice,,,
9,227 kilograms equals how many gallons of fuel?,79.1,91.0,83.4,88.3,C,83.4,,multiple_choice,,,
10,210 divided by 50.5 equals,4.21,4.07,4.29,4.16,D,4.16,,multiple_choice,,,
11,84 times 17 equals,1408,1448,1428,1438,C,1428,,multiple_choice,,,
12,The temperature at your point of departure is 43°F and the pressure altitude is 4500 ft. What is the Density Altitude?,4490',4710',4160',4305',A,4490',,multiple_choice,,,
13,Four hundredths of an hour is how many seconds? ______________________ (whole number only),,,,,142-146,142-146,,fill_in_blank,,,
14,A trip is 457 nm long and you're traveling at 187 kts. How long will it take?,2 hours 44 minutes,2 hours 26 minutes,1 hour 44 minutes,2 hours 11 minutes,B,2 hours 26 minutes,,multiple_choice,,,
15,You have been flying for 2 hours and 57 minutes at a ground speed of 169 kts. How far have you flown?,498 sm,487 sm,573 sm,534 sm,C,573 sm,,multiple_choice,,,
16,"Your aircraft burns 61.4 pph. With 43 gallons on board, how many hours can you fly?",4 hours 27 minutes,3 hours 57 minutes,4 hours 13 minutes,4 hours 19 minutes,C,4 hours 13 minutes,,multiple_choice,,,
17,"If an aircraft burns 4.2 gallons in 28 minutes, how much will it burn per hour?",8.8 gph,8.1 gph,9.0 gph,9.3 gph,C,9.0 gph,,multiple_choice,,,
18,"If an aircraft departs an airport with an elevation of 715 feet and climbs to 5500 feet with an average rate of climb of 515 fpm, how long will it take to climb?",9 minutes 02 seconds,9 minutes 17 seconds,9 minutes 23 seconds,9 minutes 29 seconds,B,9 minutes 17 seconds,,multiple_choice,,,
19,What IAS is needed to give a TAS of 152 mph with a Pressure Altitude of 6000 feet and an outside temperature of 26°C?,135 kts,172 kts,149 kts,117 kts,D,117 kts,,multiple_choice,,,
20,"To maintain a climb rate of 335 feet per nm with a groundspeed of 123 mph, what is the minimum climb rate needed in feet per minute?",597 fpm,625 fpm,581 fpm,687 fpm,A,597 fpm,,multiple_choice,,,
21,"You notice you have been flying 44 minutes now with a groundspeed of 117 kts and you are 13 nm off course. With 49 nm to your destination, what is the total correction needed to converge with you course at your destination?",9.0°,25.0°,9.7°,15.9°,B,25.0°,,multiple_choice,,,
22,Aircraft Weight 4160 lbs Current CG 75.2 What would be the location of the new CG if 140 lbs were moved from station 62 to station 105?,73.7,74.9,77.9,76.7,D,76.7,,multiple_choice,,,
23,Current aircraft weight 2945 lbs Current CG located at 76.7 What is the new location of the CG if 197 lbs were removed from station 119?,72.8,75.2,73.7,79.6,C,73.7,,multiple_choice,,,
24,You're flying a TH of 164° with a TAS of 98 kts all the while maintaining a TC of 168° and a GS of 67 kts. What is the wind speed?,24 mph,37 mph,42 mph,32 mph,B,37 mph,,multiple_choice,,,
25,An aircraft burns 4.9 gallons in 17 minutes and 22 seconds. How much will it burn in 2 hours and 37 minutes?,44.2 gal,42.8 gal,39.9 gal,47.3 gal,A,44.2 gal,,multiple_choice,,,
26,A vertical updraft of 8000 fpm is now many kts? ___________________________(whole number only),,,,,76-82,76-82,,fill_in_blank,,,
27,"Assuming a straight out departure and straight in landing, the total time of the trip is:",2:21:47,2:42:17,2:37:32,2:29:39,D,2:29:39,,multiple_choice,,"Use the following to answer questions 27 - 31. You're departing Hometown airport (elevation 2280') with a 400 fpm rate of climb to a cruise altitude of 6500 feet. Your groundspeed in the climb is 85 kts and in cruise it is 120 kts. You descend to 1000 feet above destination airport (elevation 1700) with a groundspeed of 140 kts and a de scent rate of 650 fpm. Your fuel consumption is 11 gph in climb, 9.5 gph in cruise and 7 gph in descent. You are carrying 27 gallons of usable fuel. The total distance of the flight is 295 nm.",
28,The total fuel consumed is,21.9 US Gal,24.9 US Gal,23.7 US Gal,26.2 US Gal,C,23.7 US Gal,,multiple_choice,,"Use the following to answer questions 27 - 31. You're departing Hometown airport (elevation 2280') with a 400 fpm rate of climb to a cruise altitude of 6500 feet. Your groundspeed in the climb is 85 kts and in cruise it is 120 kts. You descend to 1000 feet above destination airport (elevation 1700) with a groundspeed of 140 kts and a de scent rate of 650 fpm. Your fuel consumption is 11 gph in climb, 9.5 gph in cruise and 7 gph in descent. You are carrying 27 gallons of usable fuel. The total distance of the flight is 295 nm.",
29,The miles of flight during cruise will be,295.0 nm,277.7 nm,266.5 nm,249.6 nm,C,266.5 nm,,multiple_choice,,"Use the following to answer questions 27 - 31. You're departing Hometown airport (elevation 2280') with a 400 fpm rate of climb to a cruise altitude of 6500 feet. Your groundspeed in the climb is 85 kts and in cruise it is 120 kts. You descend to 1000 feet above destination airport (elevation 1700) with a groundspeed of 140 kts and a de scent rate of 650 fpm. Your fuel consumption is 11 gph in climb, 9.5 gph in cruise and 7 gph in descent. You are carrying 27 gallons of usable fuel. The total distance of the flight is 295 nm.",
30,The total elapsed time from the beginning of cruise to the end of descent is,2:19:06,2:22:06,2:29:30,2:11:06,A,2:19:06,,multiple_choice,,"Use the following to answer questions 27 - 31. You're departing Hometown airport (elevation 2280') with a 400 fpm rate of climb to a cruise altitude of 6500 feet. Your groundspeed in the climb is 85 kts and in cruise it is 120 kts. You descend to 1000 feet above destination airport (elevation 1700) with a groundspeed of 140 kts and a de scent rate of 650 fpm. Your fuel consumption is 11 gph in climb, 9.5 gph in cruise and 7 gph in descent. You are carrying 27 gallons of usable fuel. The total distance of the flight is 295 nm.",
31,Would you be able to make this flight and still have a 30 minute reserve?,Yes,No,,,B,No,,multiple_choice,,"Use the following to answer questions 27 - 31. You're departing Hometown airport (elevation 2280') with a 400 fpm rate of climb to a cruise altitude of 6500 feet. Your groundspeed in the climb is 85 kts and in cruise it is 120 kts. You descend to 1000 feet above destination airport (elevation 1700) with a groundspeed of 140 kts and a de scent rate of 650 fpm. Your fuel consumption is 11 gph in climb, 9.5 gph in cruise and 7 gph in descent. You are carrying 27 gallons of usable fuel. The total distance of the flight is 295 nm.",
32,"Field elevation is 8430 feet and the altimeter setting is 30.55"". If the temperature is 13°F, what is the density altitude?",8000',7400',6100',6900',D,6900',,multiple_choice,,,
33,TC = 234° [[NEXT_LINE]] TAS = 111 kts [[NEXT_LINE]] TH = 230° [[NEXT_LINE]] GS = 82 mph [[NEXT_LINE]] What is the crosswind?,9 kts L,4 kts L,13 kts L,9 kts R,A,9 kts L,,multiple_choice,,,
34,"You find that in order to maintain the 3.4° VASI, it takes -840 fpm at a groundspeed of what?",151 mph,159 mph,165 mph,171 mph,B,159 mph,,multiple_choice,,,
35,"Your aircraft has a roll rate of 37° per second. If you start at winds level and begin your roll to the right, what would be your bank angle after 51 seconds?",52° to the right,86° to the right,172° to the left,121° to the right,B,86° to the right,,multiple_choice,,,
