number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,We're covering.7 sm every eighteen seconds. What is our ground speed?,233 mph,140 mph,233 kts,142 kts,B,140 mph,,multiple_choice,,,,Airspeed / Mach
2,"You're traveling at 317 km/hr. If you've flown 502 km and burned 82.7 lbs./min, what is your total fuel burn?",1310 lbs,4937 lbs,2183 lbs,"7858 lbs BEW 2651 lbs. 264.32 Front Pas. 294 lbs. 59"" () Rear Pas. () 84"" 18.17 Bags 59 lbs. () 8.16 Fuel (84 Gals) 72"" ()",D,"7858 lbs BEW 2651 lbs. 264.32 Front Pas. 294 lbs. 59"" () Rear Pas. () 84"" 18.17 Bags 59 lbs. () 8.16 Fuel (84 Gals) 72"" ()",,multiple_choice,,,,Fuel burn / fuel required
3,What is the weight of the Rear Passengers?,216 lbs,191 lbs,187 lbs,234 lbs,A,216 lbs,,multiple_choice,,questions 3 through 6. [[DIVIDER]] Given: [[NEXT_LINE]] Weight Station Mom/1000 Fill in the above table to answer,,Miscellaneous
4,What is the Moment for the Front Passengers?,49.83,15.22,17.35,21.74,C,17.35,,multiple_choice,,questions 3 through 6. [[DIVIDER]] Given: [[NEXT_LINE]] Weight Station Mom/1000 Fill in the above table to answer,,Miscellaneous
5,What is the Station for the Bags?,48,126,107,138,D,138,,multiple_choice,,questions 3 through 6. [[DIVIDER]] Given: [[NEXT_LINE]] Weight Station Mom/1000 Fill in the above table to answer,,Miscellaneous
6,What is the Moment for the Fuel?,36.3,41.7,60.5,28.6,A,36.3,,multiple_choice,,questions 3 through 6. [[DIVIDER]] Given: [[NEXT_LINE]] Weight Station Mom/1000 Fill in the above table to answer,,Miscellaneous
7,.38 hours equals how many seconds?,6330,2280,1368,1512,C,1368,,multiple_choice,,,,Time problems with hours/min/sec
8,"Field Elevation = 5916' Temperature = 31°C [[NEXT_LINE]] Altimeter = 29.97"" [[NEXT_LINE]] What is the Density Altitude?",8410',8950',9300',9550 ',B,8950',,multiple_choice,,,,Density altitude
9,723 feet equals how many meters?,220,245,202,232 gal/hr Fuel load = 67 gals Var. = 11° W Dev. = -4°,A,220,,multiple_choice,,,,Conversions
10,"Given: [[NEXT_LINE]] Wind = 115°/18, kts, [[NEXT_LINE]] TAS = 148 kts. Temp. = -11°C [[NEXT_LINE]] Press. Alt. = 6500' TC (outbound) = 163° [[NEXT_LINE]] Fuel burn = 8.9 Find the time to turn.",7 hours 31 minutes,4 hours 04 minutes,3 hours 51 minutes,3 hours 36 minutes,B,4 hours 04 minutes,,multiple_choice,,,,Radius of action
11,"If you cover 1.7 nm in 1 minute 49 seconds, how many feet per minute do you need to maintain 348 feet per nautical mile?",372,325,387,341,B,325,,multiple_choice,,,,Rate of descent
12,You fly 407 nm in 2 hours 32 minutes. Your MH is 088° with a TAS of 154 kts. The variation is 4° W and the Wind correction angle is 9° R. What is the true wind direction and speed?,354° at 47 kts,313° at 32 kts,197° at 21 kts,185° at 26 kts,D,185° at 26 kts,,multiple_choice,,,,Wind correction
13,"You fly across Radial 342 and then Radial 018 at a ground speed of 115 kts. If it takes you 22 minutes to turn and fly to the station, how long will it take you to pass between the radials?",11 minutes,9 minutes,13 minutes,15 minutes,C,13 minutes,,multiple_choice,,,,Time to VOR
14,Altitude = 15500' Temperature = -2°C What TAS will give you 193 mph IAS?,188 kts,198 kts,219 kts,252 kts,C,219 kts,,multiple_choice,,,,Airspeed / Mach
15,"You fly between two airports, a total distance of 324 sm. The wind is 173°/23 kts and a TC of 148°. Your average fuel burn is 12.3 gal/hr and your TAS is 102 kts. What is the fuel required for this trip (US gals)?",42.7 gals,49.2 gals,50.9 gals,46.8 gals,A,42.7 gals,,multiple_choice,,,,Fuel burn / fuel required
16,227 liters of oil equals how many US gallons?,60,55.4,85.8,69.9,A,60,,multiple_choice,,,,Conversions
17,You travel 213 sm in 1 hour and 18 minutes. What is your speed?,164 kts,136 kts,142 kts,171 mph,C,142 kts,,multiple_choice,,,,Airspeed / Mach
18,"Given: [[NEXT_LINE]] MH = 354° [[NEXT_LINE]] TC = 009° [[NEXT_LINE]] MC = 359° [[NEXT_LINE]] Using the above information, what is the Wind Correction Angle?",5° L,10° L,15° L,10° R,A,5° L,,multiple_choice,,Referenced question 17: You travel 213 sm in 1 hour and 18 minutes. What is your speed?,,Wind correction
19,"Using the above information, what is the Variation?",5° E,10° E,15° E,15° W,B,10° E,,multiple_choice,,"Referenced question 17: You travel 213 sm in 1 hour and 18 minutes. What is your speed? [[DIVIDER]] Referenced question 18: Given: [[NEXT_LINE]] MH = 354° [[NEXT_LINE]] TC = 009° [[NEXT_LINE]] MC = 359° [[NEXT_LINE]] Using the above information, what is the Wind Correction Angle?",,Courses and headings
20,Your Density altitude is 6900' and the Pressure Altitude is 6100'. What TAS will equals the speed of sound?,614 kts,667 kts,623 kts,648 kts,D,648 kts,,multiple_choice,,,,Airspeed / Mach
21,"The winds are 151° at 34 kts. Your TAS is 171 kts. If your TC is 072°, what is your TH?",079°,077°,083°,087°,C,083°,,multiple_choice,,,,Wind correction
22,"If the ATIS indicates the wind to be 045/14 and the departure runway to be 07, what is the headwind component?",16 kts,8 kts,10 kts,13 kts,D,13 kts,,multiple_choice,,,,Crosswind component
23,Three 55 US gallon barrels of fuel weighs how much?,990 lbs,331 lbs,1237 lbs,667 lbs,A,990 lbs,,multiple_choice,,,,Conversions
24,Three 55 Imperial gallon barrels of oil weighs how much?,1486 lbs,1237 lbs,1334 lbs,1522 lbs,A,1486 lbs,,multiple_choice,,,,Conversions
25,"After doing the Weight and Balance, you find that you're.23"" aft of the CG limit. How much weight will you need to move from station 112 to station 80 in order to bring the aircraft safely within CG (1 inch inside of the aft limit) if you weigh 1322 kilos?",78.9 lbs,112.0 lbs,88.5 lbs,51.0 lbs,B,112.0 lbs,,multiple_choice,,,,Weight shift
26,"At 7500' the temperature is 11°C. The local altimeter setting is 30.08"". If your TAS is 154 mph, what is your IAS?",128 kts,135 kts,118 kts,140 kts,C,118 kts,,multiple_choice,,,,Airspeed / Mach
27,What is your Ground speed?,159 kts,164 kts,169 kts,182 mph,B,164 kts,,multiple_choice,,Use the following information to answer the next few questions. [[DIVIDER]] Winds true: 051° at 16 kts [[NEXT_LINE]] TC: 168° [[NEXT_LINE]] Dev: 6° W [[NEXT_LINE]] TAS: 157 kts [[NEXT_LINE]] Var: 11° W,,Wind correction
28,What is the Compass Course?,185°,182°,151°,174°,A,185°,,multiple_choice,,Use the following information to answer the next few questions.,,Courses and headings
29,What is your Magnetic Heading?,169°,185°,164°,174°,D,174°,,multiple_choice,,Use the following information to answer the next few questions.,,Wind correction
30,4.4 meters equals how many inches?,94,133,173,156,C,173,,multiple_choice,,Use the following information to answer the next few questions.,,Conversions
31,"What is the standard temperature at 19,500'?",-11°F,-35°F,-24°F,-18°F,A,-11°F,,multiple_choice,,,,Miscellaneous
32,"What is the True Altitude if at your Indicated Altitude of 7500' the temperature is 48°F and the altimeter setting 28.97""?",7220',7760',7030',7880',B,7760',,multiple_choice,,,,Miscellaneous
33,You're cruising at 141 mph. You cross radial 049 and 14 minutes later you cross radial 031. What is the distance to the VOR?,181 sm,107 sm,122 sm,99 nm,B,107 sm,,multiple_choice,,,,Distance to VOR
34,"You have flown for 22 minutes and the DME indicates that you've traveled 81 nm. You notice that you're 14 nm to the right of you intended course. If you have another 129 nm to your destination, what would be your new heading to your destination if your original heading was 062°?",079°,052°,056°,046°,D,046°,,multiple_choice,,,,Off-Course
35,"CG = 84.8"" Gross weight = 8052 kg CG aft limit = 84.2"" How much weight do we need to remove from station 123 in order to bring the aircraft within CG?",121 kilos,114 kilos,125 kilos,130 kilos,C,125 kilos,,multiple_choice,,,,Weight change
36,6.1 hours is how many seconds?,"21,960","36,660","10,166","16,990",A,"21,960",,multiple_choice,,,,Time problems with hours/min/sec
