number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,How many meters does it take to equal 121 feet?,37,40,21,45,A,37,,multiple_choice,,,
2,"If your speed is 131 knots, what is the speed in mph?",146,113,151,157,C,151,,multiple_choice,,,
3,The distance between two cities is 217 kilometers. What is this in nm?,390,117,267,132,B,117,,multiple_choice,,,
4,How many U.S. gallons does it take to equal 67 liters?,21,18,33,14,B,18,,multiple_choice,,,
5,161 U.S. gallons of fuel (gasoline) equal how many pounds?,268,498,821,966,D,966,,multiple_choice,,,
6,47 pounds of oil is equal to how many quarts?,25,18,29,6,A,25,,multiple_choice,,,
7,98 x 36 equals?,2750,3278,3528,3845,C,3528,,multiple_choice,,,
8,445 divided by 14.7 equals?,65.4,30.3,20.5,26.1,B,30.3,,multiple_choice,,,
9,You are flying at a P.,"of 10,500' at an IAS of 102 knots, and the OAT is -11°C. What is the TAS- a) 88 knots",119 knots,117 mph,232 kph 2009 Regional Computer Accuracy Exam,B,119 knots,,multiple_choice,,,
10,"The pressure altitude is 3,200' and the outside air temperature is 88°F. What is the density altitude?",5900 feet,4915 feet,6410 feet,5250 feet,A,5900 feet,,multiple_choice,,,
11,You plan a flight of 4:00 hours. Your plane uses 8.1 gallons of fuel per hour. How many gallons are required for the trip with a:30 fuel reserve?,27.3,34.1,36.5,32.4,C,36.5,,multiple_choice,,,
12,Your aircraft burns.8 gallons of fuel in 9 minutes. What is the hourly fuel burn rate?,9.9 gph,14.8 gph,6.7 gph,5.3 gph,D,5.3 gph,,multiple_choice,,,
13,"If you fly 402 nm, with a fuel burn rate of 12.5 gph, and use 35 gallons, what is your ground speed?",155 knots,144 knots,133 knots,176 knots,B,144 knots,,multiple_choice,,,
14,"You are planning a 296 sm flight; the PA is 5,000'; wind is calm; OAT is -1°C; IAS will be 129 mph and the fuel burn rate is 9.3 gph. How many gallons of fuel are required (no reserve)?",19.9,19.2,18.7,20.7,A,19.9,,multiple_choice,,,
15,A pilot files for 12 minutes and 17 seconds at a ground speed of 132 mph. What is the distance flown?,31 statute miles,22 statute miles,30 statute miles,27 statute miles,D,27 statute miles,,multiple_choice,,,
16,"You are flying a pressure altitude of 9,000' and the OAT Is -8°C. What IAS is needed to give a TAS of 154 knots?",174 knots,136 knots,142 knots,129 knots,B,136 knots,,multiple_choice,,,
17,If your aircraft burns 32.2 gallons of fuel at the rate of 9.7 gph while flying 385 miles; what is the aircraft's speed?,117 mph,131 mph,109 mph,144 mph 2009 Regional Computer Accuracy Exam,A,117 mph,,multiple_choice,,,
18,"You are flying at an Indicated Altitude of 6,000 feet; OAT is -27°C; and the altimeter setting is 29.78"" Hg. What is the pressure altitude and true altitude?",PA 5860' / TA 5400',PA 6140' / TA 6650',PA 5870' / TA 5390',PA 6140' / TA 5450',D,PA 6140' / TA 5450',,multiple_choice,,,
19,"How much fuel will be burned during the following flight? PA = 9,500', Temp = standard for that altitude, [[NEXT_LINE]] IAS = 153 mph, [[NEXT_LINE]] Wind = 044° at 26 knots, [[NEXT_LINE]] TC = 315°, [[NEXT_LINE]] Distance = 371 statute miles, [[NEXT_LINE]] Fuel Burn Rate = 63 lbs. per hour",19.7 gallons,21.0 gallons,22.3 gallons,22.9 gallons,C,22.3 gallons,,multiple_choice,,,
20,"You are flying at an airspeed of 431 knots, how many nm are you covering each minute?",2.59 nm per minute,7.18 nm per minute,5.51 nm per minute,8.21 nm per minute,B,7.18 nm per minute,,multiple_choice,,,
21,Convert 37.3 minutes to hundredths of an hour.,.55,.68,.57,.62,D,.62,,multiple_choice,,,
22,"Wind = 079° at 21 mph, [[NEXT_LINE]] TC = 025°, [[NEXT_LINE]] TAS = 158 mph. Find true heading and ground speed.",026° / 155 mph,031° / 145 mph,026° / 147 knots,180° / 149 knots,B,031° / 145 mph,,multiple_choice,,,
23,"TC = 229°, [[NEXT_LINE]] GS = 158 knots, [[NEXT_LINE]] TH = 220°, [[NEXT_LINE]] TAS = 143 knots. [[NEXT_LINE]] Find: Wind correction angle, wind direction, and wind velocity.","9° R, 279°, 27 kts","9° L, 091°, 24 kts","9° L, 112°, 32 kts","9° L, 101°, 27 kts",D,"9° L, 101°, 27 kts",,multiple_choice,,,
