number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,495 statute miles =,453 nm,470 nm,430 nm,533 nm,C,430 nm,,multiple_choice,,,
2,"What is the density altitude? Given: [[NEXT_LINE]] Field elevation: 4,510' [[NEXT_LINE]] Air temperature: 62°F","5,500'","5,100'","6,400'","6,000'",D,"6,000'",,multiple_choice,,,
3,How much fuel will you burn in 3:22:00 at 12.1 GPH?,39.7 gal.,37.9 gal.,40.7 gal.,42.1 gal.,C,40.7 gal.,,multiple_choice,,,
4,"Based on the following data, what will your TRUE HEADING be? Given: [[NEXT_LINE]] True course: 212° [[NEXT_LINE]] Wind: 270@17 kts. Magnetic variation: 5° W Magnetic deviation: 3° E [[NEXT_LINE]] True airspeed: 138 kts.",218°,206°,224°,199°,A,218°,,multiple_choice,,,
5,How long will it take to travel 315 NM at a groundspeed of 167 kts?,1 hour 47 minutes,1 hour 53 minutes,1 hour 41 minutes,1 hour 59 minutes,B,1 hour 53 minutes,,multiple_choice,,,
6,"You need to clear a hilltop that is 4.5 NM from the end of the runway that is 1700' above the runway elevation. You estimate your groundspee d during the climb to be 87 kts. To clear the hilltop by 500' what"" must your minimum rate of climb be?",709 ft./min.,548 ft./min.,677 ft./min.,732 ft./min.,A,709 ft./min.,,multiple_choice,,,
7,How long will it take to travel.75 NM at a groundspeed of 121 kts?,37 sec.,19 sec.,28 sec.,22 sec.,D,22 sec.,,multiple_choice,,,
8,You've traveled for 3/5 of an hour at a rate of 32 ft per second. How much distance did you cover?,11.2 sm,13.1 sm,15.1 sm,12.9 nm,B,13.1 sm,,multiple_choice,,,
9,"Given: [[NEXT_LINE]] MC = 072°, [[NEXT_LINE]] TH= 058°, [[NEXT_LINE]] Wind Direction = 101°, [[NEXT_LINE]] Variation = 22° W, [[NEXT_LINE]] Ground speed = 164 mph, [[NEXT_LINE]] Wind Speed = 31 kts, [[NEXT_LINE]] Deviation = 4° E, [[NEXT_LINE]] TAS = 177 kts [[NEXT_LINE]] What is your TC?",076-,054-,050-,058-,C,050-,,multiple_choice,,,
10,18 km equals how many feet?,9701',21055',59055',73568',C,59055',,multiple_choice,,,
11,84.1 Imperial gallons of fuel burned over a 5.43 hr flight. What was the burn rate (US)?,15.4 gph,18.6 gph,28.4 gph,25.8 gph,B,18.6 gph,,multiple_choice,,,
12,"Your TAS is 223 mph at 14,500' in a standard atmosphere. What is the Mach number?",.12 Mach,.37 Mach,.14 Mach,.31 Mach,D,.31 Mach,,multiple_choice,,,
13,You're departing runway 34 with the wind reported to be 295 - at 22 mph. What is the headwind component?,14 kts.,20 km/h,16 kts.,12 mph,A,14 kts.,,multiple_choice,,,
