number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,You calculate a short-field ground roll distance of 593'. You will depart runway 30. The current winds are 280° at 14 KTS. Your POH instructs you to subtract 12% from the ground roll for every 15 KTS of headwind. What will your new calculated short-field ground roll distance be?,522',531',569',656',B,531',,multiple_choice,,,,Miscellaneous
2,"The winds aloft are 265° at 28 KTS. With a true airspeed of 120 MPH, how long will it take you to fly 184 KM on a true course of 015°?",0:53:57,1:39:56,0:47:04,1:27:10,A,0:53:57,,multiple_choice,,,,Wind correction
3,"Referencing the question above, what will your true heading be?",003°,210°,360°,Not enough information given,C,360°,,multiple_choice,,"Referenced question 2: The winds aloft are 265° at 28 KTS. With a true airspeed of 120 MPH, how long will it take you to fly 184 KM on a true course of 015°?",,Wind correction
4,"Assuming an altimeter setting of 30.12"" Hg and sea level air temperature of 62°F, what will be M.85 at FL310? (Assume Standard Lapse Rate)",500 MPH,500 KM/HR,926 KTS,926 KM/HR,D,926 KM/HR,,multiple_choice,,,,Airspeed / Mach
5,How many gallons of engine oil does it take to balance a see-saw with 40 gallons of AVGAS on the other end?,50,32,41.18,36.27,B,32,,multiple_choice,,,,Miscellaneous
6,You are descending at 100 KTAS with 22 KTS of headwind. How many FPM do you need to descend at in order to maintain a 3° descent angle?,390 FPM,245 FPM,231 FPM,413 FPM,D,413 FPM,,multiple_choice,,,,Rate of descent
7,"Quinque plans to burn 5.67 GPH in cruise. However, after 4500 seconds in flight, he determines he has actually burned 31.42 liters. How much fuel will he burn after an additional 1 HR 45 MINS?",43.99 GALS,11.62 GALS,41.72 GALS,12.87 GALS,B,11.62 GALS,,multiple_choice,,,,Fuel burn / fuel required
8,"Stanley departs KABC at 8:45 AM and instantly accelerates to his cruise speed of 226 KTS. He flies directly towards KXYZ. Gordon departs KXYZ at 9:05 AM and immediately accelerates to his cruise speed of 170 MPH. He flies directly toward KABC. If the two airports are 420 NM apart, at what time will Stanley and Gordon pass each other? Both airports are located within the same time zone.",10:00 AM,9:40 AM,9:57 AM,9:55 AM,A,10:00 AM,,multiple_choice,,,,Miscellaneous
9,"You depart your home airport on a course of 265° for a destination 96 NM away. If you are planning to fly 105 KTAS and the winds are 240° @ 23 KTS, how long into the flight until it will take as long to reach your destination as it would to turn around and fly home?",55.62 MINS,40.78 MINS,57.64 MINS,38.36 MINS,B,40.78 MINS,,multiple_choice,,,,Equal time to point
10,How far from your destination will you be at this time?,57.64 NM,55.62 NM,40.38 NM,38.36 NM,D,38.36 NM,,multiple_choice,,"Referenced question 9: You depart your home airport on a course of 265° for a destination 96 NM away. If you are planning to fly 105 KTAS and the winds are 240° @ 23 KTS, how long into the flight until it will take as long to reach your destination as it would to turn around and fly home?",,Equal time to point
