number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"As you are on a 10 mile final, you have your aim point set in your windscreen right at the start of the runway but when you look down at your instruments you notice you are descending at 700 fpm and 74 TAS. You know the wind is 100@9 and you are landing runway 15L. What is your descent angle?",5.35°,5.67°,5.81°,6.15°,C,5.81°,,multiple_choice,,,,Rate of descent
2,Your instructor has taught you that you need to be stabilized by 500'. What descent rate must you maintain to get stabilized at a 3.0° descent angle? (Assume the wind is constant through the descent).,608 fpm,699 fpm,748 fpm,763 fpm,D,763 fpm,,multiple_choice,,"Referenced question 1: As you are on a 10 mile final, you have your aim point set in your windscreen right at the start of the runway but when you look down at your instruments you notice you are descending at 700 fpm and 74 TAS. You know the wind is 100@9 and you are landing runway 15L. What is your descent angle?",,Rate of descent
3,If over the course of all the Regional competitions through the country judges drink 100 12-cup pots of coffee. How many liters of coffee do the judges drink?,354.8 liters,283.9 liters,247.6 liters,198.2 liters,B,283.9 liters,,multiple_choice,,,,Conversions
4,"You are looking for a new death defying experience so you take a 172 and decide to fly across the largest lake in the United States, Lake Superior. You will be flying across the length of it at 350 sm. You will be cruising at 107 kts with a wind at 200@22. Your true course is 265°. How far away from the west shore is the point at which it will take you the same amount of time to return back the way you came as it does to continue to the other side of the lake?",138.71 nm,159.51 nm,165.65 nm,190.49 nm,A,138.71 nm,,multiple_choice,,,,Equal time to point
5,At what time in your trip across Lake Superior will you be at your equal time point?,99.91 mins,103.74 mins,102.61 mins,119.31 mins,B,103.74 mins,,multiple_choice,,"Referenced question 4: You are looking for a new death defying experience so you take a 172 and decide to fly across the largest lake in the United States, Lake Superior. You will be flying across the length of it at 350 sm. You will be cruising at 107 kts with a wind at 200@22. Your true course is 265°. How far away from the west shore is the point at which it will take you the same amount of time to return back the way you came as it does to continue to the other side of the lake?",,Equal time to point
6,"What is the speed of sound at 10,000' MSL on a standard day?",662 knots,640 knots,621 knots,613 knots,B,640 knots,,multiple_choice,,,,Airspeed / Mach
7,"It is a hot day in Denver, its 94°F outside. If the airport elevation is 5,431' feet and the altimeter is 29.72"", what is the density altitude?","8,100'","8,500'","8,900'","9,300'",C,"8,900'",,multiple_choice,,,,Density altitude
8,"You are flying in your Piper Seminole, and you burn 80 gallons of avgas at an arm of 95"" since the start of your trip. Your takeoff weight was 3739 lbs and CG was 89.2"", which is 43% aft of your LEMAC of 73"". What is your new CG in percent MAC?",45.5,41,36,35.5,B,41,,multiple_choice,,,,CG in % MAC
9,"The temperature in Denver is 36°C, what temperature do you tell your passengers in °F?",96°F,97°F,98°F,99°F,B,97°F,,multiple_choice,,,,Conversions
10,You have a young child who wants to be a pilot and they ask how fast they are going. You look down at your groundspeed and it reads 237 kts. What speed in mph do you tell them?,208,212,265,273,D,273,,multiple_choice,,,,Conversions
11,Which altitude has the greatest radius of action?,"6,500' MSL","8,500' MSL","10,500' MSL","11,500' MSL",D,"11,500' MSL",,multiple_choice,,Use the following information to answer questions 11 through 15: [[TABLE]],"{""type"":""table"",""headers"":[""Parameter"",""Value""],""rows"":[[""Winds"",""6,000': 220@18; 9,000': 250@26; 12,000': 290@38""],[""Cruise Performance"",""6,500' MSL: 133 KTAS; 8,500' MSL: 139 KTAS; 10,500' MSL: 146 KTAS; 11,500' MSL: 151 KTAS""],[""True Course"",""322° outbound""],[""Fuel on board"",""42 US gallons""],[""Fuel Burn"",""11.3 GPH at all altitudes""]]}",Radius of action
12,"How much fuel is used outbound at 8,500' MSL?",2.2 gallons,20.2 gallons,21.8 gallons,24.8 gallons,C,21.8 gallons,,multiple_choice,,Use the following information to answer questions 11 through 15: [[TABLE]],"{""type"":""table"",""headers"":[""Parameter"",""Value""],""rows"":[[""Winds"",""6,000': 220@18; 9,000': 250@26; 12,000': 290@38""],[""Cruise Performance"",""6,500' MSL: 133 KTAS; 8,500' MSL: 139 KTAS; 10,500' MSL: 146 KTAS; 11,500' MSL: 151 KTAS""],[""True Course"",""322° outbound""],[""Fuel on board"",""42 US gallons""],[""Fuel Burn"",""11.3 GPH at all altitudes""]]}",Fuel burn / fuel required
