number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"You wish to fly across Lake Michigan, but decide it would be a good idea to determine your equal time point across the lake in the unfortunate event that something goes wrong. If the wind is forecast to be out of 230° at 23 knots, the distance across the lake is 73 nautical miles with a true course of 270°, and your TAS is 120 knots, at what distance from your departure point will the time to continue to your destination be equal to the time it takes to return to your starting point?",36.5 NM,32.5 NM,41.7 NM,39.5 NM,C,41.7 NM,,multiple_choice,,,,Equal time to point
2,"ATC instructs you to look out for traffic at your 12 o'clock and 5 miles. The traffic is moving in the same direction you are, but you travel 28 knots faster. Five minutes later, ATC asks if you have him in sight. How many miles away are you from the traffic?",2.34 NM,2.66 NM,2.83 NM,3.12 NM,B,2.66 NM,,multiple_choice,,,,Overtaking aircraft
3,Yesterday you flew your Cessna 206 Stationair for 5.5 hours and burned 4 quarts of oil. How many pounds per hour are you burning?,5.45,1.31,0.73,1.36,D,1.36,,multiple_choice,,,,Conversions
4,"ATC gives you a crossing restriction to cross the JDB VOR at exactly 85 knots. You are currently at 100 knots and 2500 rpm. To properly cool your engine you must only reduce 100 rpm for every one minute of flight. For every 100 rpm you reduce, you slow your airspeed by 3 knots (assume airspeed loss is instantaneous). How far from the VOR must you begin to reduce power in order to pull the last 100 rpm exactly as you are crossing the VOR?",6.18 NM,7.6 NM,7.85 NM,9.27 NM,A,6.18 NM,,multiple_choice,,,,Time problems with hours/min/sec
5,"Your engine has been acting funny during climb, but it is a beautiful day so you decide to go fly anyway. After takeoff you climb at 830 fpm for a mere 1.7 minutes before your engine fails. With a 14:1 glide ratio, how far will you travel before crash landing.",1.66 NM,3.25 NM,3.74 NM,5.42 NM,B,3.25 NM,,multiple_choice,,,,Miscellaneous
6,"You are ready to fly your aircraft with a weight of 3,650 lbs and a moment of 155,125 in- lbs, when you decide to fill your tip tanks with 100LL which hold 15 gallons per side at station 48. What will your new CG be?",42.242,45.08,42.758,39.92,C,42.758,,multiple_choice,,,,Weight change
7,"Refer to the previous problem. You want to empty your tip tanks into your main tanks as quickly as you can, but your main tanks are completely full so you must burn off enough fuel first. It takes 30 minutes from the time you start the transfer for the tip tanks to be empty and you are burning 17.5 gph. How long after startup do you have to fly before starting the transfer if you want your mains to be completely full the instant the transfer is complete and the tips are empty? Add 1.5 gallons of fuel burn for taxi/takeoff.",72.9 minutes,97.7 minutes,102.9 minutes,67.7 minutes,D,67.7 minutes,,multiple_choice,,"Referenced question 6: You are ready to fly your aircraft with a weight of 3,650 lbs and a moment of 155,125 in-lbs, when you decide to fill your tip tanks with 100LL which hold 15 gallons per side at station 48. What will your new CG be?",,Fuel burn / fuel required
8,Your instructor asks you if you can circle a point with a 3/4 statute mile radius at a standard rate (3° per second). What TAS must you maintain in order to achieve this?,141 knots,53 knots,71 knots,123 knots,D,123 knots,,multiple_choice,,,,Miscellaneous
9,"How long will it take you to fly 1.5 NM at 4,500' MSL while indicating 95 knots under standard conditions and calm wind?",89 seconds,73.2 seconds,53.5 seconds,0.73 minutes,C,53.5 seconds,,multiple_choice,,,,Time problems with hours/min/sec
10,"You are on a 10 nautical mile final for runway 23R at 1,500' MSL. There is a bluff a half mile from the threshold at 173' MSL that you want to clear by 50'. In order to maintain a constant glide path throughout your approach, how far from the threshold will you begin your descent and what will the glide slope angle be? (Assume landing on the threshold, and the threshold elevation is 0' MSL.)",3.36 nm and 4.4°,3.36 nm and 4.2°,4.34 nm and 3.4°,4.34 nm and 3.2°,B,3.36 nm and 4.2°,,multiple_choice,,,,60:1 Rule
11,The specific range of an aircraft can be expressed as nautical miles per gallon (NM/GAL). What is the specific range for an aircraft after flying 3:15:00 at an average ground speed of 128 knots? Average fuel burn is 7.2 GPH.,17.78 NM/GAL,1.78 NM/GAL,0.056 NM/GAL,0.56 NM/GAL,A,17.78 NM/GAL,,multiple_choice,,,,Fuel burn / fuel required
12,"A cargo plane is loaded on the ramp while the pilot calculates the weight and balance. The plane's ramp weight is 7,379 pounds at a CG of 193.2"" when all of a sudden a last minute delivery truck drives up with 40 more boxes. Each box weighs 60 pounds. The boxes are put in Cargo Zone 2 (Station 141). What is the final ramp weight and CG once the boxes are loaded?","8,979 pounds and 183.9""","9,779 pounds and 194.5""","9,779 pounds and 176.2""","9,779 pounds and 180.4""",D,"9,779 pounds and 180.4""",,multiple_choice,,,,Weight change
13,"If an aircraft flying at Mach 0.62 plans to descend at a constant 3.5° descent angle, what descent rate should be maintained if the outside air temperature is -38°C?","2,288 FPM","3,700 FPM","1,567 FPM","2,164 FPM",A,"2,288 FPM",,multiple_choice,,,,Rate of descent
14,"The lateral guidance on an instrument landing system is called the localizer. At a particular runway, the radio antenna for the localizer is 50 feet beyond the departure end of the runway. It sends a signal at an optimum angle so the localizer course width is 700 feet at the runway threshold on the approach end. Find the width of the localizer course 3 nm from the threshold of the 8,000-ft runway.","2,285 feet","1,595 feet","1,386 feet",911 feet,A,"2,285 feet",,multiple_choice,,,,60:1 Rule
15,"At 165 knots in cruise on a 173° course, ATC advises that you have converging traffic 500 feet above you that is 60° off your nose to the left and 7 NM away. Their course is 233° and they are flying at 210 knots. Assuming calm winds, how long will it take until you cross the flight path of that traffic and will they be to the left, to the right, or directly above you?",0:02:33; the traffic is to your left,0:09:20; the traffic is directly above you,0:01:55; the traffic is to your left,0:02:33; the traffic is to your right,D,0:02:33; the traffic is to your right,,multiple_choice,,,,Miscellaneous
16,"Find ground speed under the following conditions: Wind 330° at 108 knots, true course of 122°, 324 KTAS, variation 13W.",402 knots,481 MPH,418 KM/HR,139 knots,B,481 MPH,,multiple_choice,,,,Wind correction
17,"Using the above information, find magnetic heading.",113°,102°,126°,144°,C,126°,,multiple_choice,,"Referenced question 16: Find ground speed under the following conditions: Wind 330° at 108 knots, true course of 122°, 324 KTAS, variation 13W.",,Courses and headings
18,5 KM = ____ feet,"30,381","24,134","18,878","16,405",D,"16,405",,multiple_choice,,,,Conversions
19,0.85 liters = ____ gallons,0.225,1.88,0.445,2.24,A,0.225,,multiple_choice,,,,Conversions
20,"An aircraft's temperature probe is affected by air compression at high speeds. On one particular aircraft, the temperature rise is 0.8° C for every 10 knots increase in airspeed. If that aircraft indicates -23° F at 270 knots, what will it indicate at 305 knots?",-2.2° C,-17.9° F,-20.2° F,-33.3° C,B,-17.9° F,,multiple_choice,,,,Conversions
21,"Traveling at 145 mph, you are instructed to do a left 360° turn. If you decide to do a standard 3° per sec turn how many miles do you travel in the turn?",4.85 NM,4.22 NM,5.56 SM,4.18 SM,B,4.22 NM,,multiple_choice,,,,Miscellaneous
22,Using the above information what was the diameter of your turn?,1.34 NM,1.55 NM,1.77 SM,1.67 SM,A,1.34 NM,,multiple_choice,,"Referenced question 21: Traveling at 145 mph, you are instructed to do a left 360° turn. If you decide to do a standard 3° per sec turn how many miles do you travel in the turn?",,Miscellaneous
23,"If your aircraft has a takeoff limitation not to exceed 8,000' density altitude, what is the maximum temperature you can takeoff out of KSLC (4227') at standard pressure?",32° C,41° F,106° F,90° F,C,106° F,,multiple_choice,,,,Density altitude
24,"You are traveling on a standard day at FL300 and indicating 285 KTS, What is your Mach number?",Mach .28,Mach .34,Mach .78,Mach .81,C,Mach .78,,multiple_choice,,,,Airspeed / Mach
25,"You are cruising at an altitude of 16,000' where the flat terrain is at an elevation of 160'. Your DME reads 8.26 nm what is your actual distance from the DME station?",6.7 NM,7.8 NM,9.1 NM,11.2 NM,B,7.8 NM,,multiple_choice,,,,Distance to VOR
26,"If your standard ground roll is 870' and the POH reads to add 25% for a grass runway then 12% of the computed value for every 1% of upslope, then subtract 9% of the computed value for every 12 KTS of headwind, what would your actual ground roll be on runway 35 (which is grass) that has a .6% upslope with the wind 040° at 12 KTS?",817',832',848',877',D,877',,multiple_choice,,,,Miscellaneous
