number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"Earth is 24,901 SM around at the equator. How long would it take you to fly around the earth nonstop at an average ground speed of 250 KTS?",86:33:36,99:36:14,51:55:50,59:45:36,A,86:33:36,,multiple_choice,,,,Time problems with hours/min/sec
2,The current wind is 16.15 MPH. How many knots is that?,18.57 KTS,14.04 KTS,13.89 KTS,18.26 KTS,B,14.04 KTS,,multiple_choice,,,,Conversions
3,You are currently 118 NM into your 300 SM trip. You decide to do a position check and determine that you are currently 3.6 SM off course. How many degrees do you need to turn to proceed direct to your destination?,1.6°,3.1°,2.9°,1.8°,C,2.9°,,multiple_choice,,,,Off-Course
4,"From the previous question, it took you 73 minutes to get to that point. You determine you are 7.6 minutes behind schedule, how many knots do you need to increase to make up your deficit by your destination?",7 KTS,10 KTS,8 KTS,9 KTS,D,9 KTS,,multiple_choice,,Referenced question 3: You are currently 118 NM into your 300 SM trip. You decide to do a position check and determine that you are currently 3.6 SM off course. How many degrees do you need to turn to proceed direct to your destination?,,Time problems with hours/min/sec
5,You are flying in Mexico and they tell you that the current pressure is 1045.3 MB. What would you put into your altimeter (inches Hg)?,30.67,30.75,30.86,30.98,C,30.86,,multiple_choice,,,,Conversions
6,"A Boeing 777 engine's N1 rotates at 2,550 RPM. If the fan blade is 4 feet long, how many statute miles does one fan blade travel in an hour?",1507.2,727.908,632.548,640.56,B,727.908,,multiple_choice,,,,Multiplication / division
7,"The coldest recorded temperature on earth was on July 21, 1983 at -128.6°C. What is that temperature in Fahrenheit?",-199.48°,-231.48°,-103.28°,-71.28°,A,-199.48°,,multiple_choice,,,,Conversions
8,"In straight & level flight your course passes by JFK VOR. First you cross radial 062° at 23:56:24Z and then radial 136° at 00:06:42Z. At 142 KTS ground speed, what is your time to the VOR if you turned to fly directly to it?",4.32 minutes,8.34 minutes,10.2 minutes,19.7 minutes,B,8.34 minutes,,multiple_choice,,,,Time to VOR
9,You are flying parallel to the highway and are displeased that it seems like a truck is keeping up with you. If you are flying due west at 90 KTS and the winds are 310° at 20 KTS who is faster assuming the truck is doing the 65 MPH speed limit?,You by 6 MPH,You by 21 MPH,You by 13 MPH,The truck by 5 MPH,B,You by 21 MPH,,multiple_choice,,,,Wind correction
10,"If the truck is driving between two cities 275 SM apart and leaves at noon, what time would you have to leave in your airplane to arrive at the same time?",12:51PM,1:02 PM,12:19 PM,12:36 PM,B,1:02 PM,,multiple_choice,,Referenced question 9: You are flying parallel to the highway and are displeased that it seems like a truck is keeping up with you. If you are flying due west at 90 KTS and the winds are 310° at 20 KTS who is faster assuming the truck is doing the 65 MPH speed limit?,,Time problems with hours/min/sec
11,"You are planning to fly a couple friends on a weekend trip and have calculated your weight at 2175 LBS and CG of 15.7"". At the last minute another friend decides to join. They weigh 145 LBS and will sit in the rear seat 55"". What is the new CG?","18.12""","15.94""","15.46""","16.87""",A,"18.12""",,multiple_choice,,,,Weight change
12,"For the next leg your two friends will switch seats. If your friend that was in the front (24"") weighs 165 LBS what is the CG after they switch?","15.97""","17.85""","18.39""","15.73""",C,"18.39""",,multiple_choice,,"Referenced question 11: You are planning to fly a couple friends on a weekend trip and have calculated your weight at 2175 LBS and CG of 15.7"". At the last minute another friend decides to join. They weigh 145 LBS and will sit in the rear seat 55"". What is the new CG?",,Weight shift
13,"You overfly your intended landing area to determine the surface condition and length. If you are flying at 60 KTS and it takes 15 seconds to fly the length of the landing area, how long is the landing area?",1320',1519',1663',1462',B,1519',,multiple_choice,,,,Multiplication / division
14,"It is now time to leave and the afternoon temperature is 86°F. If the elevation is 2,560' what is the density altitude? Assume standard pressure.","2,730'","5,687'","3,692'","4,962'",D,"4,962'",,multiple_choice,,,,Density altitude
15,You have just completed a 237 NM cross country at an average ground speed of 106 KTS. If you burn 9.3 GPH how much total fuel was burned?,22.4 gallons,20.8 gallons,19.4 gallons,18.2 gallons,B,20.8 gallons,,multiple_choice,,,,Fuel burn / fuel required
16,Reference the previous question. Fuel costs $1.79/liter. How much is it to refuel?,$141.17 ,$78.86 ,$169.41 ,$128.64 ,A,$141.17 ,,multiple_choice,,Referenced question 15: You have just completed a 237 NM cross country at an average ground speed of 106 KTS. If you burn 9.3 GPH how much total fuel was burned?,,Fuel burn / fuel required
17,"You are flying to Oshkosh and debating flying over Lake Michigan, or going around. The narrowest portion is 56 NM along a 286° course cruising at 106 KTAS. If the winds are 325° at 15 kts how far after leaving the eastern shore would it be an equal amount of time to continue or turn around?",25 NM,19 NM,38 NM,31 NM,D,31 NM,,multiple_choice,,,,Equal time to point
18,Reference the previous question. With a glide ratio of 9:1 at what altitude would you have to be to glide to shore from the middle of the lake in calm wind? Lake elevation is 650'.,"18,900'","16,425'","19,550'","17,075'",C,"19,550'",,multiple_choice,,"Referenced question 17: You are flying to Oshkosh and debating flying over Lake Michigan, or going around. The narrowest portion is 56 NM along a 286° course cruising at 106 KTAS. If the winds are 325° at 15 kts how far after leaving the eastern shore would it be an equal amount of time to continue or turn around?",,Miscellaneous
19,"A Cessna 152 pilot at the NIFA landings competition wants to takeoff and reach 400' AGL at the exact moment he crosses the end of the runway. They start the takeoff 1/4 way down a 6500' runway with an average ground speed of 67 knots and a 500' takeoff ground roll. With the VSI reading 555 FPM, does the pilot climb high enough?","Yes, will cross exactly at 400' AGL at the end of the runway","No, the 152 will be 360' AGL at the end of the runway","No, the 152 will be 270' AGL at the end of the runway","Yes, the 152 will be 430' AGL at the end of the runway",B,"No, the 152 will be 360' AGL at the end of the runway",,multiple_choice,,,,Climb gradient
20,"An F-16 just broke the sound barrier over the Atlantic Ocean. Peering down at his instruments, his TAT probe is reading +23°F with a recovery coefficient of 1.0. If his airspeed was 585 KTAS in a standard atmosphere, at what altitude did he break the sound barrier?","31,750'","35,200'","17,750'","29,250'",A,"31,750'",,multiple_choice,,,,Airspeed / Mach
21,"Just before turning on to runway 15 (true heading 141°), you calculate your takeoff distance. The POH shows 981 feet for a dry runway with a note to increase 7% for every 4° Celsius above standard and decrease 4% for every 5° Celsius below standard. It then notes to increase the distance by 10% when wet. If the elevation is 7520' and the temperature is 59°F, how many meters will you travel before you lift off?",402 meters,391 meters,367 meters,378 meters,D,378 meters,,multiple_choice,,,,Miscellaneous
22,"Referencing the previous question, how many full revolutions will your tires complete before liftoff? The tires have a 15 inch diameter.",134,275,315,165,C,315,,multiple_choice,,"Referenced question 21: Just before turning on to runway 15 (true heading 141°), you calculate your takeoff distance. The POH shows 981 feet for a dry runway with a note to increase 7% for every 4° Celsius above standard and decrease 4% for every 5° Celsius below standard. It then notes to increase the distance by 10% when wet. If the elevation is 7520' and the temperature is 59°F, how many meters will you travel before you lift off?",,Multiplication / division
23,"During the NIFA message drop event, a Cessna 152 is travelling next to runway 36 at 90 kts over the ground with a 20 mph tailwind. After dropping the message, the drop master calculates it took 9 seconds to hit the ground. During the freefall time of the message container, how far did the Cessna 152 travel?",0.22 NM,1630 FT,0.18 NM,0.31 SM,A,0.22 NM,,multiple_choice,,,,Multiplication / division
24,"You are flying in to meet a friend for lunch and are running behind schedule. In cruise at 7,500' MSL and 97 KTS ground speed with 118 NM remaining you wish to speed up to land 10 minutes quicker. What is your new required IAS on a standard day with a 12 knot headwind?",91 knots,113 knots,125 knots,139 knots,D,139 knots,,multiple_choice,,,,Airspeed / Mach
25,During a DME arc for your instrument checkride you decide you want to impress your examiner. He tells you to take the 7 DME arc north for 35° to intercept the 075° inbound course to the ILS. Ground speed is 94 KTS. The ILS portion takes 5.5 minutes. How much longer will you be before landing?,0:07:18,0:11:20,0:09:18,0:08:14,D,0:08:14,,multiple_choice,,,,DME arc
26,"On a flight from KNFA-KOSH, a distance of 78.6 NM and true course of 319° with wind from the south at 8 KTS, you take off with 4 gallons of fuel. Your 152 cruises at 92 KTAS at 5,000 feet and suddenly you realize your mistake of forgetting to check the fuel. You turn around and land back in KNFA just before the engine dies from fuel starvation. If the 152 burns 6.1 GPH, how many statute miles shy of KOSH did you have to turn around?",48.6 SM,30 SM,55.9 SM,34.5 SM,C,55.9 SM,,multiple_choice,,,,Radius of action
27,"You hear a radio call: ""Mayday Mayday! This is N521DE, we just crashed in a field 22.2 KM northwest of Miles Municipal Airport. We need help!"" If you are 41 nautical miles on the 258° radial from Miles Municipal at a ground speed of 151 MPH, how long will it be before you arrive overhead if you proceed direct to the crash site?",22.3 minutes,16.5 minutes,14.35 minutes,19.3 minutes,B,16.5 minutes,,multiple_choice,,,,Courses and headings
28,"Departing KOSH, you are 20 NM south when you see a target on your ADS-B. There is an aircraft directly abeam your left wing 30 NM away. What is his TC and distance to KOSH?","TC = 304, Distance = 36 NM","TC = 323, Distance = 50 NM","TC = 053, Distance = 50 NM","TC = 034, Distance = 36 NM",A,"TC = 304, Distance = 36 NM",,multiple_choice,,,,Courses and headings
