number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,Current position is N43°59.1' W88°33.4'. Your destination is N44°04.8' W91°42.7'. How far are you from your destination?,135 SM,148 SM,156 SM,165 SM,C,156 SM,,multiple_choice,,,,Courses and headings
2,Ground speed is 452 knots. How far will you travel in 17 minutes?,226 SM,147 SM,132 SM,128 SM,B,147 SM,,multiple_choice,,,,Time problems with hours/min/sec
3,"You are working as a fueler at an airport. A transient aircraft lands and requests to be refueled, but can only take on 78 pounds of 100LL because he is picking up a passenger that weighs 157 LBS. How many liters of fuel do you pump?",13,37.3,49.2,59,C,49.2,,multiple_choice,,,,Conversions
4,At what density altitude will a true airspeed of 142 knots equal a calibrated airspeed of 173 MPH?,0',"-3,900'","3,900'","1,865'",B,"-3,900'",,multiple_choice,,,,Density altitude
5,"You calculate a ground speed of 173 knots, and your G1000 shows a wind of 030° at 40 knots. What is your course, assuming your true airspeed is 142 knots and your wind correction angle is 9° to the left?",176°,242°,340°,074°,A,176°,,multiple_choice,,,,Courses and headings
6,"Checkpoint G and Checkpoint H lie on a magnetic course of 315°. Flying a magnetic heading of 323°, it takes you 16:45 to fly between them at 122 KTAS. What are the winds aloft if Checkpoint G and Checkpoint H are 78 KM apart?",129° at 35 knots,173° at 35 knots,106° at 35 knots,165° at 35 knots,C,106° at 35 knots,,multiple_choice,,,,Wind correction
7,How many 1-quart oil cans will it take to equal the weight of six 55-gallon drums of 100 LL avgas?,1056,72.8,1164.7,264,A,1056,,multiple_choice,,,,Conversions
8,"An airport has a field elevation of 3,150' MSL. With an altimeter setting of 1021 mb, what atmospheric temperature will yield a density altitude of 4,750'?",28°F,88°F,64°F,78°F,D,78°F,,multiple_choice,,,,Density altitude
9,"What is your radius of action with night VFR reserve fuel? Consider the following: Outbound course: 125°; Fuel: 54.5 US gallons, 6.4 liters unusable; [[NEXT_LINE]] Fuel burn: 9.6 GPH; Cruise speed: 286 KM/HR; [[NEXT_LINE]] Winds aloft: 274° at 41 knots.",365 NM,359 NM,377 NM,345 NM,D,345 NM,,multiple_choice,,,,Radius of action
10,How tall is a redwood tree if you are lying on the ground gazing at it from 1/4 SM away? The angle from your eyes to the top of the tree is 11.76°.,189 feet,246 feet,275 feet,311 feet,C,275 feet,,multiple_choice,,,,Miscellaneous
