number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"Tim is flying from General Mitchell International (MKE) in Milwaukee, WI to Kalamazoo/Battle Creek Regional (AZO) in Battle Creek, MI a distance of 281 nautical miles. His indicated airspeed is 142 knots at 7500 ft pressure altitude, on a true course of 094°, with the winds aloft of 160° at 25 knots. If Tim's altimeter setting is 29.99"" and the OAT is 15°C, what is Tim's groundspeed?",151 knots,130 knots,241 km/hr,205 mph,A,151 knots,,multiple_choice,,,,Wind correction
2,"If the winds aloft switch to 115° at 15 knots, giving him a groundspeed of 325 km/hr, what is the total flight time for the entire trip?",163 minutes,177 minutes,191 minutes,207 minutes,D,207 minutes,,multiple_choice,,"Referenced question 1: Tim is flying from General Mitchell International (MKE) in Milwaukee, WI to Kalamazoo/Battle Creek Regional (AZO) in Battle Creek, MI a distance of 281 nautical miles. His indicated airspeed is 142 knots at 7500 ft pressure altitude, on a true course of 094°, with the winds aloft of 160° at 25 knots. If Tim's altimeter setting is 29.99"" and the OAT is 15°C, what is Tim's groundspeed? [[DIVIDER]] Use information from problem 1. Tim decides to over-fly AZO and return to MKE.",,Time problems with hours/min/sec
3,"If the aircraft burns 46.7 liters/hr and there is 52 Imperial Gallons on board, can the aircraft depart MKE, go to and over-fly AZO, return to MKE, and have one hour of reserve fuel?","Yes, he'll have 22 minutes extra on top of the hour of reserve fuel","Yes, he'll have 37 minutes extra on top of the hour of reserve fuel","Yes, he'll have one hour extra on top of the hour of reserve fuel","No, he'll have to consume some of his reserve fuel",B,"Yes, he'll have 37 minutes extra on top of the hour of reserve fuel",,multiple_choice,,"Use information from problems 1 and 2. [[DIVIDER]] Referenced question 1: Tim is flying from General Mitchell International (MKE) in Milwaukee, WI to Kalamazoo/Battle Creek Regional (AZO) in Battle Creek, MI a distance of 281 nautical miles. His indicated airspeed is 142 knots at 7500 ft pressure altitude, on a true course of 094°, with the winds aloft of 160° at 25 knots. If Tim's altimeter setting is 29.99"" and the OAT is 15°C, what is Tim's groundspeed? [[DIVIDER]] Problem 2 setup: Tim decides to over-fly AZO and return to MKE. [[DIVIDER]] Referenced question 2: If the winds aloft switch to 115° at 15 knots, giving him a groundspeed of 325 km/hr, what is the total flight time for the entire trip?",,Fuel burn / fuel required
4,"You are traveling in a standard atmosphere at 7500 feet on a true course of 147°. The wind correction angle is 7° L and the groundspeed is 146 knots. If the winds aloft are 080° at 20 knots, what is your indicated airspeed?",122.5 mph,141 mph,162 mph,261 km/hr,B,141 mph,,multiple_choice,,,,Airspeed / Mach
5,"Departing from an airport (elevation 99 feet), you are to cross over a ridge (elevation 2400 feet) by 500 feet. If your groundspeed is 112 knots and you maintain a 800 feet/minute climb, how far from the ridge are you when you liftoff?",4.44 nautical miles,5.12 nautical miles,5.90 nautical miles,6.55 nautical miles,D,6.55 nautical miles,,multiple_choice,,,,Climb gradient
6,"Jim is going to operate an aircraft that weighs 2450 pounds with a CG of 87.4 inches. If Jim adds 140 kg of bags to station 120, what is the new CG?",87.8 inches,89.9 inches,91.1 inches,92.5 inches,C,91.1 inches,,multiple_choice,,,,Weight change
7,"Jeff wants to take Jane, who says, ""I weigh the equivalent of 19 US gallons of Avgas"" and her luggage (20 kg), Jill (125 lbs) and her luggage (20 lbs), and Jennifer (57 kg) with no luggage to Vegas. Jeff's aircraft, with him, the aircraft, and fuel, weighs 970 kg. If the max ramp and takeoff weight is 2560 lbs, can you take every one?","No, overweight by 7.2 pounds","No, overweight by 25 pounds","Yes, underweight by 97.6 pounds","Yes, underweight by 52.1 pounds",A,"No, overweight by 7.2 pounds",,multiple_choice,,,,Weight change
8,How much extra fuel can Jeff take to attain the new max ramp weight?,52.2 liters,45.9 liters,39.4 liters,31.1 liters,A,52.2 liters,,multiple_choice,,"Referenced question 7: Jeff wants to take Jane, who says, ""I weigh the equivalent of 19 US gallons of Avgas"" and her luggage (20 kg), Jill (125 lbs) and her luggage (20 lbs), and Jennifer (57 kg) with no luggage to Vegas. Jeff's aircraft, with him, the aircraft, and fuel, weighs 970 kg. If the max ramp and takeoff weight is 2560 lbs, can you take every one? [[DIVIDER]] Using information from question 7. Jeff switches to a new aircraft. The load and the aircraft weights are the same. However, the max ramp weight is 2650 lbs.",,Weight change
9,"After traveling 42.7 statute miles, Tina notices she is 9.1 kilometers right of course. If she has 101.1 nautical miles until her arrival point and her current true heading is 101°, what must Tina turn her true heading to in order to re-intercept her original course 20 nautical miles prior to her arrival point?",98.5°,89.5°,95.5°,92.5°,B,89.5°,,multiple_choice,,,,Off-Course
10,"JoAnn is 4° right of course after 42 minutes and 30 seconds into her flight. If JoAnn's groundspeed is 126 mph, how many nautical miles is she off course by?",5.2 nautical miles,4.7 nautical miles,3.8 nautical miles,3.1 nautical miles,A,5.2 nautical miles,,multiple_choice,,,,Off-Course
