number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"A news helicopter is hovering when it sees an airliner flying across its field of view from an 11 o'clock position to a 1 o'clock position in 61 seconds at the same altitude. If the aircraft are 4 SM apart, what is the airliner's airspeed?",238 knots,205 mph,270 knots,236 mph,D,236 mph,2.F.ii,multiple_choice,,,,Miscellaneous
2,"You're in Mexico and the fuel truck pulls up to ask how much fuel you need. You know you want 2,500 LBS of Jet A, but he needs to know what it is in Liters. What do you tell him? Assume a gallon of Jet A weighs 6.7 pounds.",1577,373,985,1412,D,1412,1.B.ii,multiple_choice,,,,Conversions
3,"The Cherokee you rented has a usable fuel capacity of 36 U.S. gallons. How far can you fly in still air, landing with FAA VFR day fuel reserves? You lean to burn 15.785 kg/hour and cruise at 115 mph.",571.9 NM,262.3 SM,657.8 NM,622.5 NM,A,571.9 NM,2.A.iii,multiple_choice,,,,Fuel burn / fuel required
4,You're 2 inches out of CG. How much weight do you need to move to station 110 from station 50 to get back into CG? Total aircraft weight is 6850 LBS.,50 KG,104 KG,114 KG,120 KG,B,104 KG,2.J.ii,multiple_choice,,,,Weight shift
5,"Tuning in the ASOS, you hear current winds of 230° at 17 KTS, gusting to 29 KTS. What is the steady headwind component on runway 18L?",12.7 MPH,13 KTS,14.6 KTS,15 MPH,A,12.7 MPH,3.E.i,multiple_choice,,,,Crosswind component
6,ATC assigns you Mach 0.70 at FL340. What is your indicated airspeed assuming ISA?,232 KIAS,405 KIAS,239 KIAS,387 KIAS,A,232 KIAS,2.G.ii,multiple_choice,,,,Airspeed / Mach
7,"From above, If you are then assigned to descend and maintain FL240 at ISA, at 0.70 Mach how much will your IAS change?",58 KIAS,42 KIAS,29 KIAS,19 KIAS,A,58 KIAS,2.G.ii.2,multiple_choice,,Referenced question 6: ATC assigns you Mach 0.70 at FL340. What is your indicated airspeed assuming ISA?,,Airspeed / Mach
8,"You are orbiting a fire at 3 NM and 12,000'. If you make 9 full circles around the fire, how many nautical miles did you travel?",188.4,98.4,169.6,84.8,C,169.6,2.N.ii,multiple_choice,,,,DME arc
9,"Hurricane Sandy reported as low as 943 Mb, what is that in inches of mercury?","28.24"" Hg","28.21"" Hg","27.81"" Hg","27.84"" Hg",D,"27.84"" Hg",1.E.i,multiple_choice,,,,Conversions
10,"You have decided to upgrade your old aluminum prop to a new composite one! The old prop weighed 62 LBS while the composite model weights 41 LBS. Prior to the swap your aircraft weighed 1475 LBS with a CG of 11.63"". If the prop is at -61"" what will the new CG fall after the swap?","10.92""","12.34""","12.68""","10.58""",C,"12.68""",2.K.i,multiple_choice,,,,Weight change
11,"To adjust the CG after the change you decide to move 15 LBS of gear from the baggage area at 100"" to under the front seat at 15"". What is your final CG location?","13.56""","11.80""","11.46""","12.34""",B,"11.80""",2.J.i,multiple_choice,,"Referenced question 10: You have decided to upgrade your old aluminum prop to a new composite one! The old prop weighed 62 LBS while the composite model weights 41 LBS. Prior to the swap your aircraft weighed 1475 LBS with a CG of 11.63"". If the prop is at -61"" what will the new CG fall after the swap?",,Weight shift
12,The propeller manufacturer advertises a 17% reduction in takeoff distance. If your takeoff distance was 763' what do you anticipate for your new takeoff distance?,633',892',706',687',A,633',1.G.i,multiple_choice,,,,Multiplication / division
13,The winds are reported from 240° at 17 knots while you are on final for runway 22. If you are 14 KM away how long will it take you to reach the runway if you are flying 90 KTAS?,6 minutes 54 seconds,6 minutes 9 seconds,7 minutes 30 seconds,5 minutes 37 seconds,B,6 minutes 9 seconds,2.A.ii,multiple_choice,,,,Time problems with hours/min/sec
14,What descent rate would be required if you wanted to maintain a 3° descent?,318 FPM,477 FPM,392 FPM,552 FPM,C,392 FPM,2.C.i,multiple_choice,,Referenced question 13: The winds are reported from 240° at 17 knots while you are on final for runway 22. If you are 14 KM away how long will it take you to reach the runway if you are flying 90 KTAS?,,Rate of descent
15,"You are flying your Glasair on a quick cross country flight at 4,500' MSL, where the temperature is 12°C, and your altimeter set to the local setting of 30.15"". Cruise speed is an impressive 245 KIAS. The cruise portion of your flight is 79 NM and takes only 16 minutes. Following your GPS course of 052° true, you see that you are flying with a 4° crab to the left. What were the true winds you experienced in cruise?",250° at 23 KTS,210° at 38 KTS,260° at 38 KTS,245° at 56 KTS,C,260° at 38 KTS,3.B.ii,multiple_choice,,,,Wind correction
16,"You are 59 NM into your 153 NM flight when your passenger starts having chest pains. Knowing it will take you 3 minutes to complete the calculations, would it be faster to turn back to your origin or continue to the destination? You are cruising at 8,500' (ISA) and 117 KIAS. The winds aloft at your altitude are 290° at 22 KTS and you are flying a true course of 131°.",It is a little over 2 minutes faster to continue to the destination.,It is about 2 and a half minutes faster to turn back.,It is just under 4 minutes faster to continue to the destination.,It is about 5 and a half minutes faster to turn back.,A,It is a little over 2 minutes faster to continue to the destination.,2.A.iii,multiple_choice,,,,Equal time to point
17,"Each wing of your 1959 Cessna 182 is 16 feet long and 3 feet wide. If you take off at 2600 LBS and make an immediate 50° bank turn, what is the wing loading in the turn?",0.281 pounds per square inch,0.292 pounds per square inch,0.301 pounds per square inch,3.507 pounds per square inch,B,0.292 pounds per square inch,3.F.iv,multiple_choice,,,,Miscellaneous
18,"The descent angle on your instrument approach into Aspen is a hair-raising 6.6°. You are approaching at 112 KIAS on a true course of 151°. You have a direct headwind of 23 knots and begin your descent at 11,700' with an OAT of -2°C. If the altimeter setting is 30.41"", what descent rate will you use? Assume constant TAS in descent.",750 FPM,1290 FPM,1350 FPM,1450 FPM,B,1290 FPM,2.C.iii,multiple_choice,,,,Rate of descent
19,"With you, a passenger, and full fuel, your aircraft weighs in at 902 kilograms with a CG of 43.7"". How much baggage can you carry in your cargo compartment (73.2"" aft) without exceeding the CG limit of 45""?",8.9 LBS,87.5 LBS,91.5 LBS,202.5 LBS,C,91.5 LBS,2.K.ii,multiple_choice,,,,Weight change
20,"While on a cross country you have been keeping track of your progress using VOR radials. If it takes you 5 minutes to cross 17 radials and your ground speed is 119 knots, how far away is the VOR?",35 NM,40.5 NM,17.6 NM,26.7 NM,A,35 NM,2.F.i,multiple_choice,,,,Distance to VOR
21,Reference the previous question. How far would you have traveled if you flew an arc between the radials at that DME instead of your course?,12.0 NM,10.4 NM,5.2 NM,9.7 NM,B,10.4 NM,2.N.i.2,multiple_choice,,"Referenced question 20: While on a cross country you have been keeping track of your progress using VOR radials. If it takes you 5 minutes to cross 17 radials and your ground speed is 119 knots, how far away is the VOR?",,DME arc
22,While doing those calculations you realize that you are 4 NM left of course. If you have flown 48 NM already how many degrees must you turn to parallel your planned course?,3.2°,4.1°,5°,6.3°,C,5°,2.E.i,multiple_choice,,,,60:1 Rule
23,"Reference the previous question. If your planned course was 022°, what course do you need to fly to re-intercept 10 NM prior to your destination which is 64 NM away?",17.6°,26.4°,12.6°,31.4°,D,31.4°,2.E.i.2,multiple_choice,,Referenced question 22: While doing those calculations you realize that you are 4 NM left of course. If you have flown 48 NM already how many degrees must you turn to parallel your planned course?,,60:1 Rule
24,"As you start up your Cessna, a grasshopper is holding onto the end of the propeller blade for dear life. At an idle speed of 800 RPM, how fast is the grasshopper traveling if your propeller diameter is 54""?",1.06'/sec.,1.21'/sec.,21.2'/sec.,188'/sec.,D,188'/sec.,2.N.iii,multiple_choice,,,,Multiplication / division
