number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"You are flying an approach over some buildings that requires a steeper than normal glide path of 3.5°. As you try to calculate the required descent rate you reference your ground speed of 145 kts. The tower reported wind is a 15 kt headwind, what is the required rate of descent to maintain the glide path?",371.0 fpm,803.8 fpm,896.6 fpm,768.5 fpm,C,896.6 fpm,,multiple_choice,,,,Rate of descent
2,As the Concorde approaches land it must slow from its supersonic speed. If it is at FL400 how much lower will the airspeed indicator read after having slowed from 2.0 Mach to .85 Mach assuming IAS=CAS and the temperature is ISA?,647 kts,478 kts,328 kts,248 kts,C,328 kts,,multiple_choice,,,,Airspeed / Mach
3,Under the same conditions how many miles would it travel per second at 2.0 Mach cruise? (Assume no wind condition),1.87 nm/s,.089 nm/s,.133 nm/s,.313 nm/s,D,.313 nm/s,,multiple_choice,,Referenced question 2: As the Concorde approaches land it must slow from its supersonic speed. If it is at FL400 how much lower will the airspeed indicator read after having slowed from 2.0 Mach to .85 Mach assuming IAS=CAS and the temperature is ISA?,,Airspeed / Mach
4,"At the airport you are flying over (elevation 1,265') where the AWOS is reporting a temperature of 10°C and altimeter of 29.67"" Hg. At your cruise altitude of 7,500' MSL the temperature is -10°C. What is your true altitude?","7,265'","7,760'","6,645'","6,000'",A,"7,265'",,multiple_choice,,,,Miscellaneous
5,"Your fully loaded aircraft weighs 2,160 lbs with a CG of 48"". If you then load 35 US gallons of fuel at an average station of 36"", what will the resultant aircraft CG be?","49.06""","47.89""","48.11""","46.94""",D,"46.94""",,multiple_choice,,,,Weight change
6,"If your front seat passenger (168 lbs at 34"") then decides they want to sit in the back seat (62"") what will be your CG after they have moved?","44.96""","48.92""","47.14""","51.04""",B,"48.92""",,multiple_choice,,"Referenced question 5: Your fully loaded aircraft weighs 2,160 lbs with a CG of 48"". If you then load 35 US gallons of fuel at an average station of 36"", what will the resultant aircraft CG be?",,Weight shift
7,You start out by flying a 210° heading but realize you have drifted 5° right of your intended course. To correct you turn to a heading of 190° and hold a 2° right wind correction angle. If your planned airspeed is 125 kts what are the winds aloft?,177°@18 kts,196°@34 kts,007°@18 kts,016°@34 kts,B,196°@34 kts,,multiple_choice,,,,Wind correction
8,Using those winds as you turn to the next leg of your flight with a course of 140° how long do you expect it will take to fly the 25 nm leg?,10.6 minutes,13.6 minutes,11.8 minutes,14.5 minutes,D,14.5 minutes,,multiple_choice,,Referenced question 7: You start out by flying a 210° heading but realize you have drifted 5° right of your intended course. To correct you turn to a heading of 190° and hold a 2° right wind correction angle. If your planned airspeed is 125 kts what are the winds aloft?,,Time problems with hours/min/sec
9,"In cruise at 3,500' MSL you are indicating 105 kts where the indicated temperature is 30°C. If the local altimeter setting is 29.62"" Hg what is your true airspeed?",96 ktas,102 ktas,108 ktas,114 ktas,D,114 ktas,,multiple_choice,,,,Airspeed / Mach
10,"From the previous question, this is less performance than you were hoping for and makes you wonder: what is the density altitude?","5,800'","6,300'","6,900'","7,100'",B,"6,300'",,multiple_choice,,"Referenced question 9: In cruise at 3,500' MSL you are indicating 105 kts where the indicated temperature is 30°C. If the local altimeter setting is 29.62"" Hg what is your true airspeed?",,Density altitude
11,"You are cruising at an indicated altitude of 10,500 feet MSL. You notice you are passing over Dixon, WY (elev. 6,549) and tune in the AWOS to get the latest weather. It is reporting a temperature of 32°C and an altimeter setting of 29.77"" Hg. Assuming a standard temperature lapse rate, what is your true altitude?","10,421' MSL","10,924' MSL","11,236' MSL","11,712' MSL",B,"10,924' MSL",,multiple_choice,,,,Miscellaneous
12,"It's a beautiful sunny afternoon and you're out for a short flight in your Piper Cub with your friend. Your friend asks how fast you are going, as the cars appear to be passing you. You notice that it takes you 1 min and 32 seconds to cover 1 statute mile. What is your ground speed?",39.2 kts,65.1 mph,39.2 mph,65.1 kts,C,39.2 mph,,multiple_choice,,,,Time problems with hours/min/sec
13,"On your long cross-country flight for your private pilot license, you determine you have drifted 5 nautical miles south of your desired course. If you have 82 nautical miles remaining on your 133 nautical mile flight, how many degrees must you turn to regain your course 10 nautical miles before your destination?",5.9°,8.2°,9.3°,10.1°,D,10.1°,,multiple_choice,,,,Off-Course
14,"You are trying to figure out if you will be able to clear the construction crane just off the departure end of runway 36 at your home airport which has an elevation of 1,233 feet MSL. The ATIS is reporting the winds to be 320° at 13 knots, altimeter of 30.65"" Hg, and the temperature is 18°C. The NOTAM says that the crane is 844 feet tall and is located just 1.5 NM from the end of the runway. If your best angle of climb speed is 75 KIAS, what rate of climb will you need to clear the crane?",533 fpm,617 fpm,671 fpm,729 fpm,B,617 fpm,,multiple_choice,,,,Climb gradient
15,"You're sitting around bored at home one day and wonder how far out you could fly on a course of 283° and still make it back to the airport at your normal cruise speed of 144 KTAS, which you know results in a fuel burn of 19.3 gph. The winds are forecast to be 230° true at 38 mph and you have 54 gallons of fuel on board.",194 sm,206 sm,215 sm,223 sm,D,223 sm,,multiple_choice,,,,Radius of action
16,"You are watching the inflight moving map on your flight to Japan. The flight statistics say that you are cruising at 36,000 feet where the temperature is a balmy -58°C and your ground speed is 544 mph. Assuming calm winds, what Mach number are you traveling at?",0.877,0.853,0.834,0.827,D,0.827,,multiple_choice,,,,Airspeed / Mach
17,"You will be taking a short flight today from your home airport to a nearby airport for lunch. The true course to your destination is 322° and the distance is 133 NM. If you plan to fly at 105 KIAS at 7,500 feet on a standard day where the winds are 033° true at 39 knots, how much fuel will you need to meet day VFR reserves for this flight if you consume 11.2 gph of fuel?",78.6 liters,73.4 liters,69.2 liters,88.4 liters,A,78.6 liters,,multiple_choice,,,,Fuel burn / fuel required
18,"What is the density altitude at an airport elevation of 8,392 feet, with an altimeter setting of 29.81"" Hg, and a temperature of 94°F?","11,300'","12,200'","13,000'","13,800'",B,"12,200'",,multiple_choice,,,,Density altitude
19,"It took you 1 hour 42 minutes to fly 322 NM at 8,500 feet where you had an average temperature of -14°C and your altimeter was set to 30.28"" Hg. What was your indicated airspeed? Assume calm wind.",175 mph,182 mph,190 mph,198 mph,D,198 mph,,multiple_choice,,,,Airspeed / Mach
20,"You depart your home airport at a weight of 3,284 pounds and a CG of 55.28"" on a flight. The flight will take you 533 NM and your ground speed will be 173 knots. If you burn fuel at the rate of 18.6 gph from station 83.1"", how much will your CG shift when you land?",".322""","3.22""","32.2""","322""",B,"3.22""",,multiple_choice,,,,Weight shift
21,"You are cruising at FL370 at Mach 0.78; the air temperature is -49°C. If your MMO is Mach 0.85, how many knots IAS could you accelerate before reaching MMO?",7 kias,21 kias,26 kias,41 kias,B,21 kias,,multiple_choice,,,,Airspeed / Mach
22,"While practicing DME arcs with your instructor, you fly inbound on the 120 radial, then turn right to arc Northeast on the 14 DME arc. If you fly on the arc for exactly 14 minutes, and your TAS is 124 knots, what radial are you crossing when you exit the arc? The wind is calm.",002 radial,007 radial,238 radial,356 radial,A,002 radial,,multiple_choice,,,,DME arc
23,"Refer to the previous question. If you had GPS in your airplane and were able to fly directly from the entry point of the DME arc to the exit point, how much time would you save?",0.5 minutes,2 minutes,2.5 minutes,7 minutes,C,2.5 minutes,,multiple_choice,,"Referenced question 22: While practicing DME arcs with your instructor, you fly inbound on the 120 radial, then turn right to arc Northeast on the 14 DME arc. If you fly on the arc for exactly 14 minutes, and your TAS is 124 knots, what radial are you crossing when you exit the arc? The wind is calm.",,DME arc
24,"As you are preparing for your morning survey run, you see that your assignment is to fly a 247 true course from the airport at 4,500' for as long as possible before returning to the field. Your airplane indicates 108 knots on a standard day in cruise while burning 9.1 GPH, and the tanks hold 47 gallons of usable fuel. Winds aloft at 4,500 are 190@29 knots, and ISA conditions prevail. How far can you fly if you leave with full tanks and land with a 45 minute reserve?",227 nm,243 nm,265 nm,297 nm,B,243 nm,,multiple_choice,,,,Radius of action
25,"While flying in the Swiss Alps, your departure procedure calls for a minimum climb gradient of 310'/km from the surface to 3,400 meters MSL. Assuming calm wind, what is the minimum climb rate you must maintain if you climb at 105 KTAS?",1004'/min,542'/min,1772'/min,328'/min,A,1004'/min,,multiple_choice,,,,Climb gradient
26,"Your airplane is loaded up to 3690 lbs with a CG of 47.8"". The aft limit is 47"", so you want to add ballast to the nose compartment until the airplane is within limits. You have some gallon-sized jugs of water in your car, and a quick Google search tells you that the density of water is 0.065 lbs/ounce (liquid). How many gallons do you add to the nose compartment at a station of -22.6""?",1 gallon,5 gallons,6 gallons,16 gallons,C,6 gallons,,multiple_choice,,,,Weight shift
27,"You cross the VOR at 15:17:56. You track the 040 radial outbound, and at 15:20:14 you are at 5 DME. If you are flying at 159 KTAS, and your wind correction angle is 4° right, what are the winds aloft?",015@30 kts.,045@30 kts.,060@30 kts.,070@30 kts.,C,060@30 kts.,,multiple_choice,,,,Wind correction
28,"You begin your takeoff roll from a stop on runway 31, and lift off at 68 KTAS 9 seconds later. Wind is 350@14 knots. What was your rate of ground speed acceleration during the takeoff roll?",6.3 ft/sec²,9.3 ft/sec²,10.7 ft/sec²,12.7 ft/sec²,C,10.7 ft/sec²,,multiple_choice,,,,Acceleration
29,"Your airplane cruises at 197 KTAS while burning 29 GPH. If your truck can go 207 miles on one 25 gallon tank of gas, which one is more fuel efficient, and by how much?","The truck, by 0.5 miles/gallon","The truck, by 1.5 miles/gallon","The airplane, by 0.5 miles/gallon","The airplane, by 1.5 miles/gallon",A,"The truck, by 0.5 miles/gallon",,multiple_choice,,,,Fuel burn / fuel required
30,What is the square root of 302?,9.1,12.7,17.4,20.8,C,17.4,,multiple_choice,,,,Miscellaneous
31,"While flying in Alaska, you are concerned about terrain clearance because of the extremely cold temperatures. If you are flying at 8,500', the altimeter setting is 30.47, and the OAT is -25°C, how far below indicated altitude are you actually flying?",700',750',800',850',B,750',,multiple_choice,,,,Miscellaneous
32,"Your aircraft is loaded to 1016 kg with a CG of 32.4. What is your takeoff CG after the aircraft is serviced with 73 liters of 100LL at a station of 48""?","32.8""","33.2""","36.3""","40.1""",B,"33.2""",,multiple_choice,,,,Weight change
33,"The winds aloft forecast for 9000' reads: 2963+04. If you fly at 9000' and turn directly into the wind, what indicated airspeed will bring your ground speed to 0? Altimeter setting is 29.75.",54 kias,56 kias,58 kias,61 kias,A,54 kias,,multiple_choice,,,,Wind correction
34,"You are flying a true course of 239, and the winds aloft are 260@28 kts. After leveling off, you lean the mixture according to the max power procedure and find that you cruise at 148 KTAS while burning 10.3 GPH. You decide to try the lean-of-peak max range procedure and find that you are now cruising at 135 KTAS while burning 7.4 GPH. How much range have you gained if you have 29 gallons left in the tanks?",79 nm,88 nm,98 nm,113 nm,A,79 nm,,multiple_choice,,,,Fuel burn / fuel required
35,"While you are tracking your true course of 347°, and the GPS shows a right crosswind component of 23 knots. If you are cruising at 93 KTAS and the variation is 7° W, what heading are you flying?",354°,359°,003°,008°,D,008°,,multiple_choice,,,,Courses and headings
36,"After a long flight with strong headwinds, it looks like you will be landing with your minimum 45 minute reserve, planned at your cruise fuel burn of 19 GPH. After traffic forces you to execute a go around, you realize that your flaps will not retract, and you are burning a frightening 26.5 GPH. How long will your reserve fuel last you now?",19.4 minutes,27.3 minutes,32.3 minutes,33.4 minutes,C,32.3 minutes,,multiple_choice,,,,Fuel burn / fuel required
37,"As you pass abeam a VOR, you notice that you cross from the 120 radial to the 110 radial in 1.9 minutes. If your ground speed is 133 knots, how far away is the VOR?",11.4 nm,15.2 nm,25.2 nm,70.0 nm,C,25.2 nm,,multiple_choice,,,,Distance to VOR
38,"You are instructed to cross NIFAA at 12,000', and you are currently cruising at M0.72 at FL320 in a standard atmosphere with calm winds. You plan your standard descent profile of 2,500 FPM, but just as you reach your top of descent, ATC assigns 280 knots indicated. What vertical speed is required now? Assume the acceleration is instantaneous, and speed is constant in the descent.",1664 fpm,2826 fpm,2931 fpm,3104 fpm,B,2826 fpm,,multiple_choice,,,,Rate of descent
39,"As you are flying, you notice a large wildfire in front of you. After reporting the fire to ATC, you turn 60° to the right to get around the smoke. Once you are abeam the fire, you turn left to intercept your original course at a 60° angle. If you rejoin your course 9 NM past where you started deviating, how much distance did you travel during the deviation?",13.5 nm,15.75 nm,18 nm,24 nm,C,18 nm,,multiple_choice,,,,Miscellaneous
40,"Just after takeoff, you notice your oil temperature getting slightly high. Since it is still in the green range, you decide to continue, but you want to make sure you know your options. Your trip is 97 nm on a 114 true course, with winds aloft forecast to be 340@38 kts. Your planned cruise is 128 KTAS, burning 9.8 GPH. How far from your departure airport will it be faster to continue to the destination than to turn back?",35 nm,38 nm,57 nm,59 nm,B,38 nm,,multiple_choice,,,,Equal time to point
