number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,"You are cruising at 17,000 ft MSL with a groundspeed of 180 mph. The winds are 240@19 knots and the altimeter is 29.42"" Hg. If your true course is 160°, what is your true airspeed?",158 knots,161 knots,164 knots,167 knots,B,161 knots,,multiple_choice,,,
2,"You are at 16,000 ft MSL, a groundspeed of 156 knots, and are 120 statute miles from PROTO (a point over the ground). If you must cross PROTO at 7,000 ft and would like to descend at 500 fpm, how far do you travel before you must start down?",46.7 Nautical Miles,57.5 Nautical Miles,73.3 Statute Miles,46.7 Statute Miles,B,57.5 Nautical Miles,,multiple_choice,,,
3,A person weighing 72 kilograms wants to fly with you. What is their weight (in lbs)?,15.8 lbs,99.4 lbs,32.7 lbs,158.4 lbs,D,158.4 lbs,,multiple_choice,,,
4,"You are flying along at 12,000 ft MSL with an altimeter setting of 30.12"" Hg. If your groundspeed is 140 mph, the true course is 140°, and the winds aloft are 100@45 km/hr, what is your true airspeed?",102 knots,117 knots,129 knots,141 knots,D,141 knots,,multiple_choice,,,
5,Your fuel tank capacity is 140 liters of AVGAS. Your tanks are currently holding 120 pounds of AVGAS. How many more US Gallons are needed to fill the tank?,11,13,15,17,D,17,,multiple_choice,,,
6,"If you were to add 90 lbs at station 120 to an aircraft that weighs 1864 kilograms (with a current CG of 83.6 inches), what is the new CG?",84.4 inches,82.8 inches,84.9 inches,83.5 inches,A,84.4 inches,,multiple_choice,,,
7,"Cruising at FL180, with a true airspeed of 207 mph and true heading of 181°, you notice you are drifting (4° R). Then you turn to a true heading of 267°. After turning you notice you are drifting (1° L). What are the winds aloft?",070@13 knots,250@13 knots,221@18 knots,149@29 knots,A,070@13 knots,,multiple_choice,,,
8,Your indicated airspeed is 207 knots. You are cruising at FL230 with a temperature of -21°C. What is your Mach number?,0.335,0.49,0.385,0.43,B,0.49,,multiple_choice,,,
9,"Scott crosses radial 172° at 16:23:32 and then crosses radial 182° at 16:30:01. If the winds are 320@25 knots, he maintains a true airspeed of 145 knots, and a true course of 267°, what is the distance to station?",197.5 Nautical Miles,110.2 Nautical Miles,75.9 Nautical Miles,154.5 Kilometers,D,154.5 Kilometers,,multiple_choice,,,
10,"The winds are 245@36 knots, the true course outbound is 120°, and the fuel tank has 36 US gallons of AVGAS. If your fuel burn is 33.2 liters/hour and want to return with 45 minutes of reserve fuel, what is your time to turn? Assuming a true airspeed of 136 knots.",84.5 minutes,66.0 minutes,98.2 minutes,129.1 minutes,A,84.5 minutes,,multiple_choice,,,
11,"Traveling between Yakima, WA and Walla Walla, WA (distance 84 nautical miles) with a true heading of 100°, you realize you are 4.2 nautical miles to the south of course 1/3 of the way through the trip. What will be the new true heading to fly directly to Walla Walla?",93.6°,105.4°,98.2°,96.1°,D,96.1°,,multiple_choice,103.6°,,
12,"Your aircraft weighs 1946 lbs. You move your flight bag (30 lbs) from up in the front (station 62) to the rear cargo (station 101). If the old CG was 88.1 inches, what is the new CG?",88.7 inches,87.5 inches,89.1 inches,87.1 inches,A,88.7 inches,,multiple_choice,,,
13,"You are cruising at 5000 ft MSL with an altimeter setting of 29.42"" Hg. The outside air temperature is -10°C. Your airspeed indicator reads 162 mph. If you turn to a true heading of 333° and drift 8° L. You turn to a true heading of 040° and drift 4° L. What are the winds aloft?",067@18 knots,247@18 knots,147@9 knots,287@24 knots,A,067@18 knots,,multiple_choice,,,
14,"Your Mach meter reads 0.82. If you are at FL290 with an outside air temperature of -25°C, what are the true airspeed (TAS) and indicated airspeed (IAS) if the altimeter setting is 29.92"" Hg?",502 KTAS and 302 KIAS,492 KTAS and 280 KIAS,550 KTAS and 411 KIAS,536 KTAS and 376 KIAS,A,502 KTAS and 302 KIAS,,multiple_choice,,,
15,"You are flying from Ocala, FL to Tallahassee, FL (distance 97 nautical miles). At 36.2 nautical miles into the flight you realize you are 1.2 nautical miles North of your true course of 281°. Your true airspeed is 154 knots and you look down at the GPS to see a groundspeed of 167 knots. If you maintained an initial true heading of 281° (which is also your true course), what are the winds aloft?",075@16 knots,124@14 knots,140@15 knots,191@11 knots,B,124@14 knots,,multiple_choice,,,
16,"Preparing to depart on a trip, you load up the aircraft. The aircraft weighs 2770 lbs with a CG of 81.2 inches. You decide to move 75 lbs from the rear baggage area (station 112) to the nose baggage area (station 27). What is the new CG?",78.9 inches,79.6 inches,76.9 inches,83.5 inches,A,78.9 inches,,multiple_choice,,,
17,"If it takes 12 minutes to cross from radial 142° to radial 166°, what is the time to station?",26 minutes,28 minutes,30 minutes,32 minutes,C,30 minutes,,multiple_choice,,,
18,Your groundspeed out is 145 knots. Your true airspeed is 122 knots. Your WCA is 5° L and true course out is 122°. What are the winds aloft?,328@26 knots,283@26 knots,319@26 knots,271@26 knots,A,328@26 knots,,multiple_choice,,,
19,"Using the above information (question #18) and knowing you have 5 hours and 12 minutes of fuel onboard, what is the time to turn if you will return to your original station?",2 hours and 23 minutes,126 minutes,187 minutes,153 minutes,B,126 minutes,,multiple_choice,,Referenced question 18: Your groundspeed out is 145 knots. Your true airspeed is 122 knots. Your WCA is 5° L and true course out is 122°. What are the winds aloft?,
20,How long does it take to travel the original routing?,229.5 minutes,249.5 minutes,259.5 minutes,279.5 minutes,D,279.5 minutes,,multiple_choice,,"At 7:30 am, Tim is departing Dallas-Fort Worth (1000 ft MSL) for Portland, OR (0 ft MSL). His routing essentially takes him direct to Denver Intl. (DIA), 900 nautical miles, then direct PDX, an additional 1150 statute miles. ATC allows him the option to fly direct to PDX, 1400 nautical miles. The pressure everywhere is 29.92"" Hg. Climb and descent winds are calm. Cruise winds aloft = 280@80 knots. His performance is as follows: [[NEXT_LINE]] Climb True Airspeed = 360 knots, [[NEXT_LINE]] Cruise Airspeed 0.79 Mach, and [[NEXT_LINE]] Descent True Airspeed = 470 knots. Temperature at FL390 is -35°C. True Course DFW to DIA is 340°, True Course DIA to PDX is 295°, and True Course DFW to PDX is 315°. Rate of Climb is 1000 fpm and Rate of Descent is 1500 fpm.",
21,How long does it take to travel the new routing?,169 minutes,181 minutes,196 minutes,208 minutes,D,208 minutes,,multiple_choice,,"At 7:30 am, Tim is departing Dallas-Fort Worth (1000 ft MSL) for Portland, OR (0 ft MSL). His routing essentially takes him direct to Denver Intl. (DIA), 900 nautical miles, then direct PDX, an additional 1150 statute miles. ATC allows him the option to fly direct to PDX, 1400 nautical miles. The pressure everywhere is 29.92"" Hg. Climb and descent winds are calm. Cruise winds aloft = 280@80 knots. His performance is as follows: [[NEXT_LINE]] Climb True Airspeed = 360 knots, [[NEXT_LINE]] Cruise Airspeed 0.79 Mach, and [[NEXT_LINE]] Descent True Airspeed = 470 knots. Temperature at FL390 is -35°C. True Course DFW to DIA is 340°, True Course DIA to PDX is 295°, and True Course DFW to PDX is 315°. Rate of Climb is 1000 fpm and Rate of Descent is 1500 fpm.",
