number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"You fly for 87 minutes at a speed of 159 mph and find yourself 9 nm off course. If you have another 133 nm to go, what is your correction to parallel?",2.3°,2.7°,4.0°,4.7°,B,2.7°,,multiple_choice,,,,Off-Course
2,"In the above question, what is the total correction to your destination?",3.2°,4.7°,6.8°,7.7°,C,6.8°,,multiple_choice,,"Referenced question 1: You fly for 87 minutes at a speed of 159 mph and find yourself 9 nm off course. If you have another 133 nm to go, what is your correction to parallel?",,Off-Course
3,Given: [[NEXT_LINE]] Winds aloft: 203° @ 23 knots [[NEXT_LINE]] WCA: 10° R [[NEXT_LINE]] TAS: 121 knots [[NEXT_LINE]] MH: 135° [[NEXT_LINE]] Variation: 7° W [[NEXT_LINE]] Distance flown: 211 sm [[NEXT_LINE]] Fuel flow: 8.4 gph [[NEXT_LINE]] Deviation: -4° [[NEXT_LINE]] How much gas was used for this flight?,12.4 US gal,12.9 US gal,13.3 US gal,13.9 US gal,C,13.3 US gal,,multiple_choice,,,,Fuel burn / fuel required
4,An airplane descends from 9500 feet to 2800 feet at a rate of 830 fpm. It traveled 34.7 sm during the descent. What was its ground speed?,415 kph,423 kph,429 kph,434 kph,A,415 kph,,multiple_choice,,,,Rate of descent
5,"You fly 1 hour and 53 minutes covering 319 sm with a TAS of 151 knots If your TC is 256° and your TH is 247°, what is the wind speed aloft?",17 mph,18 knots,21 mph,24 knots,D,24 knots,,multiple_choice,,,,Wind correction
6,"You decide to live on the edge and fly a Cessna 172 from Palm Beach International, Florida to Grand Bahama International, Bahamas. Using the following information, how far from Grand Bahama will you be when it will take just as long to continue to Grand Bahama as it will to turn around and go back to Palm Beach? [[NEXT_LINE]] Distance between airports: 76 nm [[NEXT_LINE]] Pressure Altitude: 7,000' MSL [[NEXT_LINE]] Indicated Airspeed: 116 KIAS [[NEXT_LINE]] OAT: 6°C [[NEXT_LINE]] True Course from Palm Beach: 095° [[NEXT_LINE]] True Wind: 302° at 39 mph [[NEXT_LINE]] Fuel On Board/Fuel Flow: 48 US gallons / 63 lb./hr.",-8°F,-11°F,-11°C,-13°C,B,-11°F,,multiple_choice,,,,Miscellaneous
7,"Surface winds from the last METAR were reported to be 350@23 knots. You plan to take off runway 5. If the variation at the field is 16° east, what is your crosswind component?",20 knots left,19 knots left,16 knots right,23 knots right,A,20 knots left,,multiple_choice,,,,Crosswind component
8,You have loaded your aircraft to weigh 3319 lbs. The problem is that your CG of 68.7 inches is 1.1 inches forward of the limit. How many pounds need to be moved from the current CG to station 110.3 to bring you back within limits?,75 lbs.,81 lbs.,88 lbs.,93 lbs.,C,88 lbs.,,multiple_choice,,,,Weight shift
9,Winds aloft forecast: [[TABLE]] TAS 137 mph; TC 165°; Deviation +3°; Cruise alt. 3500'; MH 179°. What would the variation be?,6° W,9° E,9° W,6° E,C,9° W,,multiple_choice,,,"{""type"":""table"",""headers"":[""Altitude"",""Winds Aloft Forecast""],""rows"":[[""3000'"",""2014""],[""6000'"",""2620""]]}",Courses and headings
10,"Given: [[NEXT_LINE]] Winds 168° @ 36 knots [[NEXT_LINE]] Altimeter setting 30.18"" [[NEXT_LINE]] Cruise alt. 6500' [[NEXT_LINE]] TC 246° [[NEXT_LINE]] IAS 162 mph [[NEXT_LINE]] OAT 61°F [[NEXT_LINE]] What is your TAS?",152 knots,158 knots,170 knots,181 knots,B,158 knots,,multiple_choice,,,,Airspeed / Mach
